Private ^jj++++=Private-sector
- ^zz++++=EXTRAWORD
sector ^nn++++=EXTRAWORD
health ^nn++++=health
care ^nn++++=care
entrepreneurs ^nns++++=entrepreneurs
are ^vb+ber+aux++=are
well ^rb++++=well
embedded ^vbd+++xvbn+=embedded
within ^in++++=within
health ^nn++++=health
service ^nn++++=service
provision ^nn++++=provision
in ^in++++=in
Lmics ^np+++??+=LMICs.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
does ^vbz+doz+aux++=does
the ^ati++++=the
arrival ^nn++++=arrival
of ^in++++=of
private ^jj+atrb+++=private
investors ^nns++++=investors
( ^zz++++=(as
as ^ql++++=EXTRAWORD
distinct ^jj++++=distinct
even ^rb++++=even
from ^in++++=from
Ppps ^np+++??+=PPPs)
) ^zz++++=EXTRAWORD
in ^in++++=in
mhealth ^nn+++??+=mHealth
signal ^nn++++=signal
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
requirements ^nns+nom+++=requirements
for ^in++++=for
accountability ^nn+nom+++=accountability,
, ^zz++++=EXTRAWORD
ethical ^jj+atrb+++=ethical
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
data ^nns++++=data
security ^nn+nom+++=security?
? ^zz++++=EXTRAWORD
The ^ati++++=The
digital ^jj+atrb+++=digital
health ^nn++++=health
regulatory ^nn++++=regulatory
architecture ^nn++++=architecture
has ^vbz+hvz+aux++=has
provided ^vprf+++xvbnx+=provided
little ^ap++++=little
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
to ^in++++=to
date ^nn++++=date,
, ^zz++++=EXTRAWORD
aside ^rp++++=aside
from ^in++++=from
guidelines ^nns+++??+=guidelines
and ^cc++++=and
tools ^nns++++=tools
for ^in++++=for
implementation ^nn+nom+++=implementation
and ^cc++++=and
evaluation ^nn+nom+++=evaluation.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
private ^jj+atrb+++=private
sector ^nn++++=sector
with ^in++++=with
its ^pp$+it+++=its
fundamental ^jj+atrb+++=fundamental
ethos ^nn++++=ethos
and ^cc++++=and
comparative ^jj+atrb+++=comparative
market ^nn++++=market-driven
- ^zz++++=EXTRAWORD
driven ^vbd+++xvbn+=EXTRAWORD
expertise ^nn++++=expertise
is ^vbz+bez+aux++=is
well ^rb++splt++=well
placed ^vwbn+++xvbn+=placed
to ^in++++=to
decipher ^jjr+atrb+++=decipher
economic ^jj+atrb+++=economic
opportunity ^nn+nom+++=opportunity
from ^in++++=from
need ^nn++++=need.
. ^zz++++=EXTRAWORD
