Going ^vbg+++xvbg+=Going
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
guideline ^nn+++??+=guideline
organizations ^nns+nom+++=organizations
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
come ^vb++++=come
together ^nn+nom+++=together
to ^to++++=to
reach ^vbi++++=reach
consensus ^nn++++=consensus
on ^in++++=on
recommendations ^nns+nom+++=recommendations
for ^in++++=for
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Hba ^np+++??+=HbA
1c ^cd++++=1C
and ^cc++++=and
on ^in++++=on
standard ^jj+atrb+++=standard
definitions ^nns+nom+++=definitions
for ^in++++=for
prediabetes ^nns+++??+=prediabetes.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
everyone ^pn++++=everyone
with ^in++++=with
prediabetes ^nns+++??+=prediabetes
will ^md+prd+++=will
develop ^vb++++=develop
diabetes ^nn++++=diabetes;
; ^zz++++=EXTRAWORD
some ^dti++++=some
5 ^zz++++=5-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
risk ^nn++++=risk
estimates ^nns+nom+++=estimates
range ^nn++++=range
from ^in++++=from
as ^in++++=as
low ^jj++++=low
as ^ql++++=as
7 ^zz++++=7%
% ^zz++++=EXTRAWORD
to ^to++++=to
as ^cs+sub+++=as
high ^jj++++=high
as ^ql++++=as
50 ^cd++++=50%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
variability ^nn+nom+++=variability
in ^in++++=in
risk ^nn++++=risk
estimates ^nns+nom+++=estimates
is ^vbz+bez+aux++=is
directly ^rb++splt++=directly
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
heterogeneity ^nn+nom+++=heterogeneity
in ^in++++=in
definitions ^nns+nom+++=definitions.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
settings ^nns++++=settings,
, ^zz++++=EXTRAWORD
glucose ^nn++++=glucose
testing ^vwbg+++xvbg+=testing
may ^md+pos+++=may
be ^vb+be+aux++=be
preferred ^vpsv++agls+xvbnx+=preferred
over ^in++++=over
Hba ^np+++??+=HbA
1c ^cd++++=1C
for ^in++++=for
prediabetes ^nns+++??+=prediabetes
screening ^vwbg+++xvbg+=screening,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
if ^cs+cnd+++=if
Hba ^np+++??+=HbA
1c ^cd++++=1C
testing ^nvbg+++xvbg+=testing
is ^vbz+bez+vrb++=is
too ^ql++++=too
costly ^jj++++=costly
or ^cc++++=or
not ^xnot++not++=not
available ^jj++++=available.
. ^zz++++=EXTRAWORD
Point ^nn++++=Point-of-care
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
assays ^nns+++??+=assays
for ^in++++=for
Hba ^np+++??+=HbA
1c ^cd++++=1C
are ^vb+ber+aux++=are
not ^xnot++not++=not
widely ^rb++++=widely
recommended ^vbd+vsua++xvbn+=recommended
for ^in++++=for
the ^ati++++=the
diagnosis ^nn++++=diagnosis
of ^in++++=of
diabetes ^nn++++=diabetes
because ^cs+cos+++=because
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
concerns ^nns++++=concerns
regarding ^in++++=regarding
proficiency ^nn++++=proficiency
testing ^vwbg+++xvbg+=testing
and ^cc++++=and
some ^dti++++=some
assays ^vbz+++??+=assays
do ^vb+do+aux++=do
not ^xnot++not++=not
meet ^vb++++=meet
existing ^jj+atrb++xvbg+=existing
quality ^nn+nom+++=quality
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
point ^nn++++=point-of-care
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
assays ^nns+++??+=assays
are ^vb+ber+aux++=are
certified ^vpsv++by+xvbnx+=certified
by ^in++++=by
the ^ati++++=the
National ^jj+atrb+++=National
Glycohemoglobin ^np+++??+=Glycohemoglobin
Standardization ^np+nom++??+=Standardization
Program ^np+++??+=Program
and ^cc++++=and
demonstrate ^nn+nom+++=demonstrate
excellent ^jj+atrb+++=excellent
comparability ^nn+nom+++=comparability
to ^in++++=to
traditional ^jj+atrb+++=traditional
laboratory ^nn++++=laboratory
assays ^nns+++??+=assays
( ^zz++++=(
60 ^cd++++=60
) ^zz++++=).
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
rapid ^jj+atrb+++=rapid
point ^nn++++=point-of-care
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
tests ^nns++++=tests
may ^md+pos+++=may
provide ^vb+vsua+++=provide
an ^at++++=an
opportunity ^nn+nom+++=opportunity
for ^in++++=for
broader ^jjr++++=broader
Hba ^np+++??+=HbA
1c ^cd++++=1C
- ^zz++++=-based
based ^xvbn+++xvbn+=EXTRAWORD
screening ^vbg+++xvbg+=screening
and ^cc++++=and
identification ^nn+nom+++=identification
of ^in++++=of
prediabetes ^nns+++??+=prediabetes
and ^cc++++=and
diabetes ^nn++++=diabetes
in ^in++++=in
some ^dti++++=some
populations ^nns+nom+++=populations,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
settings ^nns++++=settings
where ^wrb+who+++=where
obtaining ^jj+++xvbg+=obtaining
traditional ^jj+atrb+++=traditional
fasting ^jj+atrb++xvbg+=fasting
venous ^jj+atrb+++=venous
samples ^nns++++=samples
might ^md+pos+++=might
not ^xnot++not++=not
be ^vb+be+vrb++=be
feasible ^jj+pred+++=feasible.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+aux++=is
also ^rb++splt++=also
compelling ^nvbg+++xvbg+=compelling
evidence ^nn+nom+++=evidence
for ^in++++=for
a ^at++++=a
role ^nn++++=role
for ^in++++=for
glycated ^jj+atrb++xvbn+=glycated
albumin ^nn++++=albumin
and ^cc++++=and
fructosamine ^nn+++??+=fructosamine
as ^ql++++=as
useful ^jj+atrb+++=useful
complementary ^jj+atrb+++=complementary
or ^cc+phrs+++=or
alternative ^jj+atrb+++=alternative
tests ^nns++++=tests
when ^wrb+who+++=when
Hba ^np+++??+=HbA
1c ^cd++++=1C
testing ^nvbg+++xvbg+=testing
is ^vbz+bez+vrb++=is
problematic ^jj+pred+++=problematic
or ^cc+cls+++=or
when ^wrb+who+++=when
glucose ^nn++++=glucose
and ^cc++++=and
Hba ^np+++??+=HbA
1c ^cd++++=1C
test ^nn++++=test
results ^nns++++=results
conflict ^nn++++=conflict
( ^zz++++=(
82 ^cd++++=82
, ^zz++++=,
98 ^cd++++=98
, ^zz++++=,
100 ^cd++++=100
) ^zz++++=).
. ^zz++++=EXTRAWORD
To ^in++++=To
date ^nn++++=date,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
no ^at++++=no
clinical ^jj+atrb+++=clinical
organizations ^nns+nom+++=organizations
have ^vb+hv+aux++=have
provided ^vprf+++xvbnx+=provided
guidance ^nn+nom+++=guidance
on ^in++++=on
how ^wrb+who+++=how
these ^dt+dem+++=these
tests ^nns++++=tests
might ^md+pos+++=might
be ^vb+be+aux++=be
used ^vbd+++xvbn+=used
in ^in++++=in
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
