Places ^nns++++=Places
can ^md+pos+++=can
be ^vb+be+aux++=be
defined ^vpsv++by+xvbnx+=defined
by ^in++++=by
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
physical ^jj+atrb+++=physical
site ^nn++++=site
and ^cc++++=and
situational ^jj+atrb+++=situational
characteristics ^nns++++=characteristics
as ^cc++++=as
well ^rb++++=well
as ^cs+sub+++=as
perceived ^jj+++xvbn+=perceived,
, ^zz++++=EXTRAWORD
culturally ^rb++++=culturally
embedded ^vbd+++xvbn+=embedded
functions ^nns+nom+++=functions
and ^cc++++=and
properties ^nns++++=properties.
. ^zz++++=EXTRAWORD
Scannell ^np+++??+=Scannell
& ^zz++++=&
Gifford ^np+++??+=Gifford
( ^zz++++=(
152 ^cd++++=152
) ^zz++++=)
define ^vb++++=define
three ^cd++++=three
key ^jjb+atrb+++=key
dimensions ^nns++++=dimensions
of ^in++++=of
place ^nn++++=place
attachment ^nn+nom+++=attachment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
personal ^jj+atrb+++=personal
dimension ^nn++++=dimension
of ^in++++=of
place ^nn++++=place
attachment ^nn+nom+++=attachment
refers ^vbz++++=refers
to ^in++++=to
its ^pp$+it+++=its
individually ^rb++++=individually
or ^cc++++=or
collectively ^jj+atrb+++=collectively
determined ^jj+atrb++xvbn+=determined
meanings ^nns++++=meanings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
psychological ^jj+atrb+++=psychological
dimension ^nn++++=dimension
includes ^vb++++=includes
the ^ati++++=the
affective ^nn++++=affective,
, ^zz++++=EXTRAWORD
cognitive ^jj++++=cognitive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
behavioral ^jj+atrb+++=behavioral
components ^nns++++=components
of ^in++++=of
attachment ^nn+nom+++=attachment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
place ^nn++++=place
dimension ^nn++++=dimension
emphasizes ^vbz+vpub+++=emphasizes
the ^ati++++=the
place ^nn++++=place
characteristics ^nns++++=characteristics
of ^in++++=of
attachment ^nn+nom+++=attachment,
, ^zz++++=EXTRAWORD
including ^in++++=including
spatial ^jj+atrb+++=spatial
level ^nn++++=level,
, ^zz++++=EXTRAWORD
specificity ^nn+nom+++=specificity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
prominence ^nn+nom+++=prominence
of ^in++++=of
social ^jj+atrb+++=social
or ^cc+phrs+++=or
physical ^jj+atrb+++=physical
elements ^nns+nom+++=elements.
. ^zz++++=EXTRAWORD
