Unlike ^in++++=Unlike
access ^nn++++=access
to ^in++++=to
any ^dti++++=any
other ^ap++++=other
health ^nn++++=health
service ^nn++++=service,
, ^zz++++=EXTRAWORD
access ^nn++++=access
to ^in++++=to
safe ^jj+atrb+++=safe
abortion ^nn+nom+++=abortion
is ^vbz+bez+aux++=is
highly ^rb+amp+splt++=highly
politicized ^vpsv++agls+xvbnx+=politicized.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
service ^nn++++=service
that ^tht+rel+++=that
only ^rb+down+++=only
women ^nns++++=women
need ^nn++++=need
and ^cc++++=and
is ^vbz+bez+aux++=is
regulated ^vpsv++by+xvbnx+=regulated
by ^in++++=by
laws ^nns++++=laws
in ^in++++=in
a ^at++++=a
majority ^nn+nom+++=majority
of ^in++++=of
the ^ati++++=the
world ^nn++++=world's
's ^$++++=EXTRAWORD
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Criminalization ^np+nom++??+=Criminalization
and ^cc++++=and
other ^ap++++=other
legal ^jj+atrb+++=legal
restrictions ^nns+nom+++=restrictions
on ^in++++=on
abortions ^nns+nom+++=abortions
do ^vb+do+aux++=do
not ^xnot++not++=not
reduce ^vb++++=reduce
the ^ati++++=the
rates ^nns++++=rates;
; ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
serve ^vb++++=serve
to ^to++++=to
increase ^vbi++++=increase
incidences ^nns+nom+++=incidences
of ^in++++=of
unsafe ^nn++++=unsafe,
, ^zz++++=EXTRAWORD
clandestine ^jj+atrb+++=clandestine
procedures ^nns++++=procedures.
. ^zz++++=EXTRAWORD
