Next ^ap++++=Next,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
the ^ati++++=the
de ^&fw++++=de-lexical
- ^zz++++=EXTRAWORD
lexical ^jj++++=EXTRAWORD
make ^vb++++=make
collocations ^vbz+++??+=collocations
did ^vbd+dod+aux++=did
not ^xnot++not++=not
differ ^vb++++=differ
among ^in++++=among
proficiency ^nn++++=proficiency
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overall ^jjb+atrb+++=overall
proportion ^nn++++=proportion
of ^in++++=of
learners ^nns++++=learners
use ^nn++++=use
of ^in++++=of
de ^&fw++++=de-lexical
- ^zz++++=EXTRAWORD
lexical ^jj++++=EXTRAWORD
make ^vb++++=make
collocations ^nns+++??+=collocations
was ^vbd+bedz+aux++=was
compared ^vpsv++agls+xvbnx+=compared
against ^in++++=against
that ^dt+dem+++=that
of ^in++++=of
native ^jj+atrb+++=native
English ^jj+atrb+++=English
speakers ^nns++++=speakers
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Table ^nn++++=Table
5 ^zz++++=5
) ^zz++++=).
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
can ^md+pos+++=can
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
significant ^jj+atrb+++=significant
difference ^nn++++=difference
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
de ^&fw++++=de-lexical
- ^zz++++=EXTRAWORD
lexical ^jj++++=EXTRAWORD
make ^vb++++=make
between ^in++++=between
learners ^nns++++=learners
and ^cc++++=and
speakers ^nns++++=speakers
of ^in++++=of
native ^jj++++=native
English ^jj++++=English.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
learners ^nns++++=learners
can ^md+pos+++=can
expect ^vb+vprv+++=expect
a ^at++++=a
long ^rb++++=long
learning ^vbg+vprv++xvbg+=learning
process ^nn++++=process
when ^wrb+who+++=when
acquiring ^vbg+++xvbg+=acquiring
the ^ati++++=the
de ^&fw++++=de-lexical
- ^zz++++=EXTRAWORD
lexical ^jj++++=EXTRAWORD
make ^vb++++=make
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
reach ^vb++++=reach
a ^at++++=a
native ^jj++++=native-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
fluency ^nn++++=fluency
in ^in++++=in
collocation ^nn++++=collocation
use ^nn++++=use.
. ^zz++++=EXTRAWORD
