As ^ql++++=As
state ^vb+vpub+++=state
verbs ^nns++++=verbs
and ^cc++++=and
activity ^nn++++=activity
verbs ^nns++++=verbs
lack ^nn++++=lack
natural ^jj+atrb+++=natural
endpoints ^nns+++??+=endpoints
( ^zz++++=(
Vendler ^np++++=Vendler,
, ^zz++++=EXTRAWORD
1957 ^cd+date+++=1957
) ^zz++++=)
for ^in++++=for
readers ^nns++++=readers
to ^to++++=to
specify ^vbi+vsua+++=specify
the ^ati++++=the
time ^nn++++=time
range ^nn++++=range,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
in ^in++++=in
( ^zz++++=(
a ^at++++=a
) ^zz++++=)
can ^md+pos+++=can
only ^rb+down+++=only
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
as ^ql++++=as
the ^ati++++=the
depreciatory ^nn+++??+=depreciatory
, ^zz++++=,
restrictive ^jj++++=restrictive
or ^cc+phrs+++=or
emphatic ^jj++++=emphatic
just ^rb+cnj+++=just
, ^zz++++=,
serving ^vbg+++xvbg+=serving
as ^ql++++=as
a ^at++++=a
tool ^nn++++=tool
to ^in++++=to
downplay ^nn+++??+=downplay,
, ^zz++++=EXTRAWORD
limit ^vb++++=limit
or ^cc+phrs+++=or
emphasize ^vb++++=emphasize
the ^ati++++=the
things ^nns++++=things
that ^tht+rel+obj++=that
Amy ^np+++??+=Amy
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
goes ^vbz++++=goes
for ^in+ppvb+++=for
activity ^nn++++=activity
verbs ^nns++++=verbs,
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
( ^zz++++=(
b ^zz++++=b
) ^zz++++=).
. ^zz++++=EXTRAWORD
Without ^in++++=Without
a ^at++++=a
clear ^jj+atrb+++=clear
temporal ^jj+atrb+++=temporal
boundary ^nn++++=boundary,
, ^zz++++=EXTRAWORD
readers ^nns++++=readers
could ^md+pos+++=could
hardly ^rb+down+splt++=hardly
derive ^vb++++=derive
the ^ati++++=the
specificatory ^nn+++??+=specificatory
sense ^nn++++=sense
of ^in++++=of
just ^rb+emph+++=just
from ^in++++=from
the ^ati++++=the
verb ^nn++++=verb
live ^vb++++=live
. ^zz++++=.
Verbs ^nns++++=Verbs
in ^in++++=in
( ^zz++++=(
c ^zz++++=c
) ^zz++++=)
and ^cc++++=and
( ^zz++++=(
d ^zz++++=d
) ^zz++++=),
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
present ^vb++++=present
an ^at++++=an
action ^nn++++=action
that ^tht+rel+subj++=that
includes ^vb++++=includes
an ^at++++=an
endpoint ^nn+++??+=endpoint.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
just ^rb+emph+++=just
comes ^vbz++++=comes
into ^in+ppvb+++=into
play ^nn++++=play,
, ^zz++++=EXTRAWORD
readers ^nns++++=readers
can ^md+pos+++=can
draw ^vb++++=draw
the ^ati++++=the
marginal ^jj+atrb+++=marginal
phase ^nn++++=phase
between ^in++++=between
the ^ati++++=the
endpoint ^nn+++??+=endpoint
of ^in++++=of
the ^ati++++=the
event ^nn++++=event
( ^zz++++=(
won ^vbd+++xvbn+=won
a ^at++++=a
game ^nn++++=game
and ^cc++++=and
wrote ^vbd+vprv++xvbn+=wrote
a ^at++++=a
letter ^nn++++=letter
) ^zz++++=)
and ^cc++++=and
the ^ati++++=the
present ^jj+atrb+++=present
time ^nn++++=time
of ^in++++=of
statement ^nn++++=statement
and ^cc++++=and
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
where ^wrb+who+++=where
the ^ati++++=the
specificatory ^nn++++=specificatory
just ^rb+emph+++=just
derives ^vbz++++=derives
its ^pp$+it+++=its
meaning ^nn++++=meaning.
. ^zz++++=EXTRAWORD
