Despite ^in++++=Despite
the ^ati++++=the
high ^jj+atrb+++=high
frequency ^nn++++=frequency
of ^in++++=of
[ ^zz++++=[X
x ^zz++++=EXTRAWORD
+ ^zz++++=+
be ^vb+be+vrb++=be
+ ^zz++++=+
just ^rb+emph+++=just
like ^in++++=like
+ ^zz++++=+
Y ^zz++++=Y]
] ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
younger ^jjr++++=younger
Taiwanese ^np+++??+=Taiwanese
efl ^nn+++??+=efl
learner ^nn++++=learner
corpus ^nn++++=corpus,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
all ^abn++++=all
instances ^nns++++=instances
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
appropriately ^rb++++=appropriately.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
instances ^nns++++=instances
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
confusion ^nn++++=confusion
between ^in++++=between
just ^rb+emph+++=just
like ^in++++=like
and ^cc++++=and
such ^abl++++=such
as ^cs+sub+++=as;.
; ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
these ^dt+dem+++=these
questionable ^jj+atrb+++=questionable
uses ^nns++++=uses
is ^vbz+bez+aux++=is
given ^vpsv++agls+xvbnx+=given
in ^in++++=in
Example ^nn++++=Example
17 ^cd++++=17.
. ^zz++++=EXTRAWORD
( ^zz++++=(
17 ^cd++++=17
) ^zz++++=)
? ^zz++++=?
I ^pp1a+pp1+++=I
like ^vb++++=like
Italy ^np++++=Italy
s ^zz++++=s
food ^nn++++=food
, ^zz++++=,
just ^rb+emph+++=just
like ^in++++=like
pizza ^nn++++=pizza
. ^zz++++=.
( ^zz++++=(
lttc ^nn++++=lttc-elc
- ^zz++++=EXTRAWORD
elc ^nn++++=EXTRAWORD
) ^zz++++=)
