All ^abn++++=All
five ^cd++++=five
studies ^nns++++=studies
of ^in++++=of
depression ^nn++++=depression
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
informal ^jj+atrb+++=informal
care ^nn++++=care
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
lower ^jjr+atrb+++=lower
levels ^nns++++=levels
of ^in++++=of
depression ^nn++++=depression
compared ^vbd+++xvbn+=compared
with ^in++++=with
formal ^jj+atrb+++=formal
care ^nn++++=care.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
differences ^nns++++=differences
in ^in++++=in
the ^ati++++=the
raw ^jj+atrb+++=raw
associations ^nns++++=associations
between ^in++++=between
the ^ati++++=the
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
studies ^nns++++=studies
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
informal ^jj+atrb+++=informal
care ^nn++++=care
provision ^nn++++=provision
was ^vbd+bedz+aux++=was
negatively ^rb++splt++=negatively
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
depression ^nn++++=depression
( ^zz++++=(
9 ^zz++++=9
, ^zz++++=,
16 ^cd++++=16
, ^zz++++=,
37 ^cd++++=37
, ^zz++++=,
108 ^cd++++=108
) ^zz++++=),
, ^zz++++=EXTRAWORD
with ^in++++=with
Pot ^nn++++=Pot
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
89 ^cd++++=89
) ^zz++++=)
alone ^rb++++=alone
finding ^vbg+++xvbg+=finding
no ^at++++=no
association ^nn++++=association.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
studies ^nns++++=studies
( ^zz++++=(
16 ^cd++++=16
, ^zz++++=,
89 ^cd++++=89
, ^zz++++=,
108 ^cd++++=108
) ^zz++++=)
found ^vbd+vprv++xvbn+=found
a ^at++++=a
positive ^jj+atrb+++=positive
association ^nn++++=association
between ^in++++=between
formal ^jj+atrb+++=formal
care ^nn++++=care
provision ^nn++++=provision
and ^cc++++=and
depression ^nn++++=depression
outcomes ^nns+++??+=outcomes,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
Costa ^np++++=Costa-Font
- ^zz++++=EXTRAWORD
font ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
37 ^cd++++=37
) ^zz++++=)
found ^vpsv++agls+xvbn+=found
a ^at++++=a
negative ^jj+atrb+++=negative
association ^nn++++=association.
. ^zz++++=EXTRAWORD
