Use ^nn++++=Use
of ^in++++=of
control ^nn++++=control
groups ^nns++++=groups
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
when ^wrb+who+++=when
evaluating ^jj+atrb++??+=evaluating
interventions ^nns++++=interventions
with ^in++++=with
refugee ^nn++++=refugee
populations ^nns++++=populations.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
high ^jj+atrb+++=high
prevalence ^nn+++??+=prevalence
of ^in++++=of
mental ^jj+atrb+++=mental
health ^nn++++=health
problems ^nns++++=problems
among ^in++++=among
refugee ^nn++++=refugee
youth ^nn++++=youth
and ^cc++++=and
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
services ^nns++++=services,
, ^zz++++=EXTRAWORD
conducting ^vbg+++xvbg+=conducting
randomized ^nn+++??+=randomized
controlled ^vwbn+++xvbn+=controlled
trials ^nns++++=trials
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
ethical ^jj+pred+++=ethical
or ^cc+phrs+++=or
feasible ^jj++++=feasible
in ^in++++=in
some ^dti++++=some
settings ^nns++++=settings.
. ^zz++++=EXTRAWORD
Using ^vbg+++xvbg+=Using
a ^at++++=a
wait ^vb++++=wait-list
- ^zz++++=EXTRAWORD
list ^nn++++=EXTRAWORD
control ^nn++++=control
study ^nn++++=study
design ^nn++++=design
is ^vbz+bez+vrb++=is
one ^cd1++++=one
strategy ^nn++++=strategy
to ^to++++=to
ensure ^vbi+vprv+++=ensure
access ^nn++++=access
to ^in++++=to
services ^nns++++=services
but ^cc++++=but
maintain ^vb+vpub+++=maintain
a ^at++++=a
more ^rbr++++=more
rigorous ^jj+atrb+++=rigorous
evaluation ^nn++++=evaluation
of ^in++++=of
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
interventions ^nns++++=interventions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
role ^nn++++=role
of ^in++++=of
the ^ati++++=the
therapeutic ^jj+atrb+++=therapeutic
alliance ^nn++++=alliance
also ^rb++++=also
contributes ^vbz++++=contributes
to ^in++++=to
the ^ati++++=the
success ^nn++++=success
or ^cc++++=or
failure ^nn++++=failure
of ^in++++=of
interventions ^nns++++=interventions.
. ^zz++++=EXTRAWORD
Studies ^nns++++=Studies
frequently ^rb++++=frequently
do ^vb+do+aux++=do
not ^xnot++not++=not
report ^vb++++=report
a ^at++++=a
detailed ^jj+atrb+++=detailed
description ^nn++++=description
of ^in++++=of
interveners ^nns+++??+=interveners
or ^cc++++=or
take ^vb++++=take
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
intervener ^nn+++??+=intervener
into ^in++++=into
account ^nn++++=account
when ^wrb+who+++=when
examining ^jj+atrb++xvbg+=examining
intervention ^nn++++=intervention
effectiveness ^nn++++=effectiveness.
. ^zz++++=EXTRAWORD
Using ^vbg+++xvbg+=Using
mixed ^jj+++xvbn+=mixed-methods
- ^zz++++=EXTRAWORD
methods ^nns++++=EXTRAWORD
study ^nn++++=study
designs ^nns++++=designs
that ^tht+rel+subj++=that
include ^vb++++=include
a ^at++++=a
qualitative ^jj+atrb+++=qualitative
evaluation ^nn++++=evaluation
of ^in++++=of
service ^nn++++=service
providers ^nns+++??+=providers
can ^md+pos+++=can
provide ^vb+vsua+++=provide
more ^rbr++++=more
information ^nn++++=information
on ^in++++=on
when ^wrb+who+++=when
and ^cc++++=and
in ^in++++=in
what ^wdt+who+++=what
ways ^nns++++=ways
the ^ati++++=the
therapeutic ^jj+atrb+++=therapeutic
relationship ^nn++++=relationship
can ^md+pos+++=can
be ^vb+be+aux++=be
supported ^vpsv++agls+xvbnx+=supported
and ^cc+phrs+++=and
improved ^vpsv++agls+xvbn+=improved
upon ^in++++=upon
for ^in++++=for
acceptability ^nn++++=acceptability
and ^cc++++=and
effectiveness ^nn++++=effectiveness
( ^zz++++=(
7 ^zz++++=7
) ^zz++++=).
. ^zz++++=EXTRAWORD
