Alternatively ^rb+cnj+++=Alternatively,
, ^zz++++=EXTRAWORD
multistate ^nn+nom+++=multistate
studies ^nns++++=studies
offer ^nn++++=offer
insight ^nn++++=insight
on ^in++++=on
average ^jj+atrb+++=average
state ^nn++++=state-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
effects ^nns++++=effects
of ^in++++=of
managed ^vbd+++xvbn+=managed
care ^nn++++=care
on ^in++++=on
high ^jj++++=high-risk
- ^zz++++=EXTRAWORD
risk ^vb++++=EXTRAWORD
populations ^nns+nom+++=populations.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
results ^nns++++=results
vary ^vb++++=vary
by ^in++++=by
high ^jj++++=high-risk
- ^zz++++=EXTRAWORD
risk ^vb++++=EXTRAWORD
populations ^nns+nom+++=populations
and ^cc++++=and
even ^rb++++=even
within ^in++++=within
high ^jj++++=high-risk
- ^zz++++=EXTRAWORD
risk ^vb++++=EXTRAWORD
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
multistate ^nn+nom+++=multistate
study ^nn++++=study
found ^vbd+vprv++xvbn+=found
improved ^vbd+++xvbn+=improved
quality ^nn+nom+++=quality
with ^in++++=with
reductions ^nns+nom+++=reductions
in ^in++++=in
readmissions ^nns+++??+=readmissions
for ^in++++=for
children ^nns++++=children
with ^in++++=with
type ^nn++++=type
1 ^zz++++=1
diabetes ^nn++++=diabetes
( ^zz++++=(
18 ^cd++++=18
) ^zz++++=),
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
a ^at++++=a
national ^nn++++=national
study ^vb++++=study
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
self ^nn++++=self-reported
- ^zz++++=EXTRAWORD
reported ^vbd+vpub+tht0+xvbn+=EXTRAWORD
quality ^nn+nom+++=quality
varied ^vwbn+++xvbn+=varied
by ^in++++=by
the ^ati++++=the
severity ^nn+nom+++=severity
of ^in++++=of
health ^nn++++=health
risk ^nn++++=risk
conditions ^nns+nom+++=conditions
among ^in++++=among
seniors ^nns++++=seniors
and ^cc++++=and
disabled ^jj+atrb+++=disabled
individuals ^nns+nom+++=individuals
( ^zz++++=(
16 ^cd++++=16
) ^zz++++=).
. ^zz++++=EXTRAWORD
A ^at++++=A
study ^nn++++=study
using ^vwbg+++xvbg+=using
state ^nn++++=state-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
data ^nns++++=data
reported ^vbd+vpub++xvbn+=reported
some ^dti++++=some
association ^nn+nom+++=association
between ^in++++=between
prescription ^nn+nom+++=prescription
utilization ^nn+nom+++=utilization
for ^in++++=for
serious ^jj+atrb+++=serious
mental ^jj+atrb+++=mental
illnesses ^nns+nom+++=illnesses
and ^cc++++=and
managed ^vbd+++xvbn+=managed-care
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
penetration ^nn+nom+++=penetration
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
most ^ql+emph+++=most
states ^vbz+vpub+++=states
carved ^vbd+++xvbn+=carved
out ^rp+pl+++=out
pharmaceutical ^jj+atrb+++=pharmaceutical
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
the ^ati++++=the
authors ^nns++++=authors
argued ^vwbn+vpub++xvbn+=argued
that ^tht+vcmp+++=that
the ^ati++++=the
results ^nns++++=results
reflect ^vb+vprv+++=reflect
a ^at++++=a
failure ^nn++++=failure
to ^to+ncmp+++=to
coordinate ^nn+nom+++=coordinate
medication ^nn+nom+++=medication
adherence ^nn+nom+++=adherence
by ^in++++=by
Hmos ^np+++??+=HMOs,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
a ^at++++=a
decrease ^nn++++=decrease
in ^in++++=in
necessary ^jj+atrb+++=necessary
psychiatric ^jj+atrb+++=psychiatric
medications ^nns+nom+++=medications
( ^zz++++=(
43 ^cd++++=43
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
account ^nn++++=account,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
for ^in++++=for
variation ^nn+nom+++=variation
in ^in++++=in
access ^nn++++=access
to ^to++++=to
prescribing ^vbg+++xvbg+=prescribing
providers ^nns+nom+++=providers,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
also ^rb++splt++=also
explain ^vb+vpub+++=explain
differences ^nns+nom+++=differences
in ^in++++=in
medication ^nn+nom+++=medication
utilization ^nn+nom+++=utilization.
. ^zz++++=EXTRAWORD
