Our ^pp$+pp1+++=Our
findings ^nns++++=findings
could ^md+pos+++=could
have ^vb+hv+vrb++=have
strong ^jj+atrb+++=strong
implications ^nns+nom+++=implications
for ^in++++=for
cardiovascular ^nn+++??+=cardiovascular
disease ^nn++++=disease
control ^nn++++=control
in ^in++++=in
China ^np++++=China,
, ^zz++++=EXTRAWORD
in ^in++++=in
line ^in"++++=line
with ^in"++++=with
what ^wdt+who+++=what
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
Usa ^np++++=USA,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^jj+atrb++xvbn+=EXTRAWORD
Stroke ^nn++++=Stroke
Belt ^nn++++=Belt
( ^zz++++=(ie,
ie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
region ^nn++++=region
in ^in++++=in
southeastern ^jj+++xvbn+=southeastern
Usa ^np++++=USA
that ^tht+rel+subj++=that
had ^vb+hv+vrb++=had
an ^at++++=an
usually ^rb+down+++=usually
high ^jj+atrb+++=high
incidence ^nn+nom+++=incidence
of ^in++++=of
stroke ^nn++++=stroke
and ^cc++++=and
other ^ap++++=other
forms ^nns++++=forms
of ^in++++=of
cardiovascular ^nn+++??+=cardiovascular
disease ^nn++++=disease).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Comprehensive ^jj+atrb+++=Comprehensive
population ^nn+nom+++=population-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
risk ^vb++++=risk
assessments ^nns+nom+++=assessments,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
population ^nn+nom+++=population
screening ^vwbg+++xvbg+=screening
projects ^nns++++=projects,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
essential ^nn++++=essential,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
successful ^jj+atrb+++=successful
strategies ^nns+++??+=strategies
for ^in++++=for
cardiovascular ^nn+++??+=cardiovascular
disease ^nn++++=disease
control ^vb++++=control
developed ^vbd+++xvbn+=developed
in ^in++++=in
high ^jj++++=high-risk
- ^zz++++=EXTRAWORD
risk ^vb++++=EXTRAWORD
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Daqing ^np+++??+=Daqing
Model ^nn++++=Model
on ^in++++=on
diabetes ^nn++++=diabetes
( ^zz++++=(in
in ^in++++=EXTRAWORD
northeast ^nn+++??+=northeast
China ^np++++=China)
) ^zz++++=EXTRAWORD
or ^cc++++=or
the ^ati++++=the
Kailuan ^np+++??+=Kailuan
Model ^nn++++=Model
on ^in++++=on
hypertension ^nn+++??+=hypertension
( ^zz++++=(in
in ^in++++=EXTRAWORD
north ^np+pl+++=north
China ^np++++=China),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
serve ^vb++++=serve
as ^ql++++=as
references ^nns+nom+++=references.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
clustering ^nn++++=clustering
of ^in++++=of
cardiovascular ^nn+++??+=cardiovascular
disease ^nn++++=disease
risk ^nn++++=risk
factors ^nns++++=factors
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
effective ^jj+atrb+++=effective
interventions ^nns+nom+++=interventions
require ^vb+vsua+++=require
a ^at++++=a
targeted ^jj+++xvbn+=targeted
and ^cc++++=and
multi ^nn+++??+=multi-faceted
- ^zz++++=EXTRAWORD
faceted ^jj+atrb++xvbn+=EXTRAWORD
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
For ^in++++=For
such ^abl++++=such
an ^at++++=an
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primary ^jj+atrb+++=primary
care ^nn++++=care
setting ^vwbg+++xvbg+=setting
rather ^rb++++=rather
than ^in++++=than
specialty ^nn+++??+=specialty
care ^nn++++=care
seems ^vbz+seem+++=seems
more ^rbr++++=more
appropriate ^jj++++=appropriate,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
social ^jj++++=social
prescribing ^jj+++xvbg+=prescribing
( ^zz++++=(ie,
ie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
health ^nn++++=health
professionals ^nns+nom+++=professionals
refer ^vb++++=refer
patients ^nns++++=patients
to ^to++++=to
support ^vbi++++=support
in ^in++++=in
the ^ati++++=the
community ^nn+nom+++=community
to ^to++++=to
improve ^vbi++++=improve
their ^pp$+pp3+++=their
health ^nn++++=health
and ^cc++++=and
wellbeing ^jj+++xvbg+=wellbeing)
) ^zz++++=EXTRAWORD
and ^cc++++=and
community ^nn+nom+++=community
engagement ^nn+nom+++=engagement;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
hence ^rb+cnj+++=hence
be ^vb+be+vrb++=be
crucial ^jj+pred+++=crucial
for ^in++++=for
future ^jjb+atrb+++=future
health ^nn++++=health-care
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
reform ^nn++++=reform
to ^to++++=to
mitigate ^nn+nom+++=mitigate
the ^ati++++=the
gaps ^nns++++=gaps
in ^in++++=in
access ^nn++++=access
and ^cc++++=and
quality ^nn+nom+++=quality
of ^in++++=of
