Considering ^vbg+++xvbg+=Considering
the ^ati++++=the
complex ^jj+atrb+++=complex
interplay ^nn++++=interplay
between ^in++++=between
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
level ^nn++++=level
of ^in++++=of
education ^nn++++=education,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
birth ^nn++++=birth
cohort ^nn++++=cohort
in ^in++++=in
shaping ^xvbg+++xvbg+=shaping
cognitive ^nn+++??+=cognitive
ageing ^vwbg+++xvbg+=ageing
trajectories ^nns+++??+=trajectories,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
longitudinal ^jj+atrb+++=longitudinal
data ^nns++++=data
on ^in++++=on
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
born ^vwbn+++xvbn+=born
between ^in++++=between
1930 ^cd+date+++=1930
and ^cc++++=and
1955 ^cd+date+++=1955
in ^in++++=in
analyses ^nns++++=analyses
stratified ^jj++++=stratified
by ^in++++=by
birth ^nn++++=birth
cohort ^nn++++=cohort
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
education ^nn++++=education
in ^in++++=in
sex ^nn++++=sex
differences ^nns++++=differences
in ^in++++=in
memory ^nn++++=memory
and ^cc++++=and
fluency ^nn++++=fluency
performance ^nn++++=performance
and ^cc++++=and
decline ^nn++++=decline.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
hypothesis ^nn++++=hypothesis
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
male ^jj+atrb+++=male
advantages ^nns++++=advantages
in ^in++++=in
cognition ^nn++++=cognition
would ^md+prd+++=would
be ^vb+be+vrb++=be
attenuated ^jj+pred+++=attenuated
in ^in++++=in
later ^rbr+tm+++=later
birth ^nn++++=birth
cohorts ^nns++++=cohorts
due ^jj++++=due
to ^in+jcmp+++=to
secular ^jj+atrb+++=secular
changes ^nns++++=changes
in ^in++++=in
access ^nn++++=access
to ^in++++=to
education ^nn++++=education.
. ^zz++++=EXTRAWORD
