When ^wrb+who+++=When
analysing ^vbg+++xvbg+=analysing
the ^ati++++=the
measures ^nns++++=measures
that ^tht+rel+++=that
contributed ^jj+++xvbn+=contributed
to ^in++++=to
social ^jj+atrb+++=social
isolation ^nn++++=isolation
and ^cc++++=and
combining ^vbg+++xvbg+=combining
results ^nns++++=results
for ^in++++=for
coronary ^jj+atrb+++=coronary
heart ^nn++++=heart
disease ^nn++++=disease
or ^cc++++=or
stroke ^nn++++=stroke
as ^in++++=as
the ^ati++++=the
first ^od++++=first
event ^nn++++=event
( ^zz++++=(because
because ^cs+cos+++=EXTRAWORD
Rrs ^np+++??+=RRs
were ^vbd+bed+vrb++=were
similar ^jj+pred+++=similar
for ^in++++=for
both ^abx++++=both
conditions ^nns++++=conditions),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
remained ^vprf+++xvbn+=remained
little ^ap++++=little
evidence ^nn++++=evidence
of ^in++++=of
an ^at++++=an
association ^nn++++=association
between ^in++++=between
social ^jj+atrb+++=social
isolation ^nn++++=isolation
and ^cc++++=and
risk ^nn++++=risk
of ^in++++=of
hospital ^nn++++=hospital
admission ^nn++++=admission
as ^in++++=as
the ^ati++++=the
first ^od++++=first
event ^nn++++=event
( ^zz++++=(
figure ^nn++++=figure
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
By ^in++++=By
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
for ^in++++=for
death ^nn++++=death
as ^in++++=as
the ^ati++++=the
first ^od++++=first
event ^nn++++=event,
, ^zz++++=EXTRAWORD
the ^ati++++=the
risk ^nn++++=risk
was ^vbd+bedz+vrb++=was
significantly ^rb++++=significantly
greater ^jjr+pred+++=greater
for ^in++++=for
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
alone ^rb++++=alone
versus ^in++++=versus
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
( ^zz++++=(RR
rr ^nn+++??+=EXTRAWORD
1 ^zz++++=1
60 ^cd++++=60
[ ^zz++++=[95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
1 ^zz++++=1
46 ^cd++++=46
1 ^zz++++=1
75 ^cd++++=75])
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
with ^in++++=with
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
little ^ap++++=little
contact ^nn++++=contact
with ^in++++=with
family ^nn++++=family,
, ^zz++++=EXTRAWORD
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
groups ^nns++++=groups
versus ^in++++=versus
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
more ^rbr++++=more
contact ^nn++++=contact
with ^in++++=with
family ^nn++++=family,
, ^zz++++=EXTRAWORD
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
groups ^nns++++=groups
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
27 ^cd++++=27
[ ^zz++++=[1
1 ^zz++++=EXTRAWORD
16 ^cd++++=16
1 ^zz++++=1
38 ^cd++++=38];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
test ^nn++++=test
for ^in++++=for
heterogeneity ^nn+++??+=heterogeneity,
, ^zz++++=EXTRAWORD
p=0 ^nn+++??+=p=0
002 ^nn+++??+=002;
; ^zz++++=EXTRAWORD
figure ^nn++++=figure
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
No ^at++++=No
material ^nn++++=material
differences ^nns++++=differences
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
studies ^nns++++=studies
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
with ^in++++=with
regard ^nn++++=regard
to ^in++++=to
these ^dt+dem+++=these
associations ^nns++++=associations
with ^in++++=with
the ^ati++++=the
measures ^nns++++=measures
that ^tht+rel+++=that
contributed ^jj+++xvbn+=contributed
to ^in++++=to
the ^ati++++=the
index ^nn++++=index
of ^in++++=of
social ^jj+atrb+++=social
isolation ^nn++++=isolation
( ^zz++++=(
appendix ^nn++++=appendix
p ^zz++++=p
9 ^zz++++=9
) ^zz++++=).
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
difference ^nn++++=difference
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
the ^ati++++=the
associations ^nns++++=associations
by ^in++++=by
sex ^nn++++=sex
( ^zz++++=(
appendix ^nn++++=appendix
p ^zz++++=p
10 ^cd++++=10
) ^zz++++=).
. ^zz++++=EXTRAWORD
