Active ^jj+atrb+++=Active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
was ^vbd+bedz+aux++=was
defined ^vpsv++tht0+xvbnx+=defined
as ^ql++++=as
interventions ^nns+nom+++=interventions
implemented ^vwbn+++xvbn+=implemented
in ^in++++=in
a ^at++++=a
community ^nn+nom+++=community
that ^tht+rel+subj++=that
endeavoured ^vbd+++xvbn+=endeavoured
to ^in++++=to
systematically ^rb++++=systematically
screen ^vb++++=screen
people ^nns++++=people
for ^in++++=for
tuberculosis ^nn++++=tuberculosis.
. ^zz++++=EXTRAWORD
A ^at++++=A
tuberculosis ^nn++++=tuberculosis
screen ^nn++++=screen
could ^md+pos+++=could
take ^vb++++=take
any ^dti++++=any
form ^nn++++=form
but ^cc++++=but
required ^vbd+++xvbn+=required
a ^at++++=a
personal ^jj+atrb+++=personal
interaction ^nn+nom+++=interaction
between ^in++++=between
a ^at++++=a
screener ^jjr++++=screener
and ^cc++++=and
the ^ati++++=the
person ^nn++++=person
being ^xvbg+++xvbg+=being
screened ^vpsv++agls+xvbn+=screened
( ^zz++++=(eg,
eg ^nn+cnj++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
leaflet ^nn+nom+++=leaflet
distribution ^nn+nom+++=distribution
alone ^rb++++=alone
would ^md+prd+++=would
not ^xnot++not++=not
meet ^vb++++=meet
this ^dt+dem+++=this
definition ^nn+nom+++=definition).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
interventions ^nns+nom+++=interventions
are ^vb+ber+vrb++=are
examples ^nns++++=examples
of ^in++++=of
active ^jj+atrb+++=active
case ^nn++++=case-finding:
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
: ^zz++++=EXTRAWORD
mobile ^jj+atrb+++=mobile
tuberculosis ^nn++++=tuberculosis
screening ^vwbg+++xvbg+=screening
or ^cc++++=or
diagnostic ^jj+atrb+++=diagnostic
clinics ^nns++++=clinics
or ^cc++++=or
sputum ^nn+++??+=sputum
drop ^vb++++=drop
off ^rb+phrv+++=off
points ^nns++++=points;
; ^zz++++=EXTRAWORD
mobilisation ^nn+nom+++=mobilisation
and ^cc++++=and
training ^nn++++=training
of ^in++++=of
community ^nn+nom+++=community
health ^nn++++=health
workers ^nns+nom+++=workers
and ^cc++++=and
volunteers ^nns+nom+++=volunteers
as ^ql++++=as
screeners ^nns+nom+++=screeners
to ^to++++=to
detect ^vbi++++=detect
tuberculosis ^nn++++=tuberculosis
symptoms ^nns++++=symptoms
and ^cc++++=and
potentially ^rb++++=potentially
do ^vb+do+vrb++=do
tuberculosis ^nn++++=tuberculosis
diagnostic ^nn++++=diagnostic
tests ^nns++++=tests
in ^in++++=in
community ^nn+nom+++=community
members ^nns+nom+++=members;
; ^zz++++=EXTRAWORD
door ^nn++++=door-to-door
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
tuberculosis ^nn++++=tuberculosis
screening ^vwbg+++xvbg+=screening
with ^in++++=with
symptom ^nn++++=symptom
interview ^nn++++=interview,
, ^zz++++=EXTRAWORD
sputum ^nn+++??+=sputum
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
both ^abx++++=both.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
included ^vbd+++xvbn+=included
tuberculosis ^nn++++=tuberculosis
screening ^vwbg+++xvbg+=screening
in ^in++++=in
closed ^jj+atrb++xvbn+=closed
community ^nn+nom+++=community
settings ^nns++++=settings
( ^zz++++=(eg,
eg ^nn+cnj++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
prisons ^nns++++=prisons)
) ^zz++++=EXTRAWORD
or ^cc++++=or
occupational ^jj+atrb+++=occupational
groups ^nns++++=groups
( ^zz++++=(eg,
eg ^nn+cnj++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
among ^in++++=among
miners ^nns++++=miners).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tuberculosis ^np+++??+=Tuberculosis
screening ^vwbg+++xvbg+=screening
interventions ^nns+nom+++=interventions
delivered ^vwbn+++xvbn+=delivered
at ^rb++++=at
permanent ^jj+atrb+++=permanent
health ^nn++++=health
facilities ^nns+nom+++=facilities
and ^cc++++=and
for ^in++++=for
contacts ^nns++++=contacts
of ^in++++=of
people ^nns++++=people
with ^in++++=with
tuberculosis ^nn++++=tuberculosis
did ^vbd+dod+aux++=did
not ^xnot++not++=not
constitute ^vb++++=constitute
active ^jj+atrb+++=active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
interventions ^nns+nom+++=interventions
for ^in++++=for
this ^dt+dem+++=this
review ^nn++++=review.
. ^zz++++=EXTRAWORD
