Tuberculosis ^np+++??+=Tuberculosis
active ^jj+atrb+++=active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
interventions ^nns++++=interventions
are ^vb+ber+vrb++=are
necessarily ^rb++++=necessarily
highly ^rb+amp+++=highly
context ^nn++++=context-dependent.
- ^zz++++=EXTRAWORD
dependent ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Different ^jj+atrb+++=Different
methods ^nns++++=methods
of ^in++++=of
delivering ^xvbg+++xvbg+=delivering
tuberculosis ^nn++++=tuberculosis
active ^jj+atrb+++=active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
and ^cc++++=and
different ^jj+atrb+++=different
diagnostic ^nn+++??+=diagnostic
algorithms ^nns+++??+=algorithms
( ^zz++++=(eg,
eg ^nn+cnj++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
initial ^jj++++=initial
screening ^xvbg+++xvbg+=screening
using ^vbg+++xvbg+=using
symptom ^nn++++=symptom
interview ^nn++++=interview
vs ^in++++=vs
using ^xvbg+++xvbg+=using
chest ^nn++++=chest
x ^zz++++=x-ray)
- ^zz++++=EXTRAWORD
ray ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
might ^md+pos+++=might
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
in ^in++++=in
different ^jj+atrb+++=different
settings ^nns++++=settings,
, ^zz++++=EXTRAWORD
depending ^vbg+++xvbg+=depending
on ^in++++=on
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
resources ^nns++++=resources
available ^jj+atrb+++=available,
, ^zz++++=EXTRAWORD
physical ^jj+atrb+++=physical
geography ^nn++++=geography,
, ^zz++++=EXTRAWORD
health ^nn++++=health
systems ^nns++++=systems
capacity ^nn++++=capacity,
, ^zz++++=EXTRAWORD
expected ^vpbn+vprv++xvbn+=expected
prevalence ^nn+++??+=prevalence
of ^in++++=of
tuberculosis ^nn++++=tuberculosis
( ^zz++++=(ie,
ie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
pre ^nn+++??+=pre-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
probability ^nn++++=probability
of ^in++++=of
tuberculosis ^nn++++=tuberculosis),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
prevalence ^nn+++??+=prevalence
of ^in++++=of
drug ^nn++++=drug
resistant ^jj+atrb+++=resistant
tuberculosis ^nn++++=tuberculosis,
, ^zz++++=EXTRAWORD
prevalence ^nn+++??+=prevalence
of ^in++++=of
Hiv ^np+++??+=HIV,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laboratory ^nn++++=laboratory
infrastructure ^nn+++??+=infrastructure
and ^cc++++=and
capacity ^nn++++=capacity.
. ^zz++++=EXTRAWORD
In ^in++++=In
areas ^nns++++=areas
with ^in++++=with
high ^jj+atrb+++=high
Hiv ^np+++??+=HIV
prevalence ^nn+++??+=prevalence,
, ^zz++++=EXTRAWORD
Xpert ^np+++??+=Xpert
Mtb ^np+++??+=MTB/Rif
might ^md+pos+++=might
be ^vb+be+vrb++=be
a ^at++++=a
more ^rbr++++=more
appropriate ^jj+atrb+++=appropriate
diagnostic ^nn+++??+=diagnostic
test ^nn++++=test
than ^in++++=than
sputum ^nn+++??+=sputum
smear ^vb++++=smear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
false ^jj+atrb+++=false
negatives ^nns++++=negatives
from ^in++++=from
symptom ^nn++++=symptom
screening ^vwbg+++xvbg+=screening
might ^md+pos+++=might
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
be ^vbi++vrb++=be
more ^rbr++++=more
common ^jj+pred+++=common.
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
studies ^nns++++=studies
should ^md+nec+++=should
describe ^vb++++=describe
their ^pp$+pp3+++=their
context ^nn++++=context
and ^cc++++=and
intervention ^nn++++=intervention
in ^in++++=in
as ^ql++++=as
much ^ap++++=much
detail ^nn++++=detail
as ^in++++=as
possible ^jj++++=possible
and ^cc++++=and
fully ^rb+amp+++=fully
report ^vb++++=report
all ^abn++++=all
numerators ^nns+++??+=numerators
and ^cc++++=and
denominators ^nns+++??+=denominators
for ^in++++=for
total ^jj+atrb+++=total
population ^nn++++=population
targeted ^nn+++??+=targeted,
, ^zz++++=EXTRAWORD
number ^nn++++=number
of ^in++++=of
individuals ^nns++++=individuals
screened ^vwbn+++xvbn+=screened,
, ^zz++++=EXTRAWORD
number ^nn++++=number
requiring ^vwbg+vsua++xvbg+=requiring
a ^at++++=a
diagnostic ^nn+++??+=diagnostic
test ^nn++++=test,
, ^zz++++=EXTRAWORD
number ^nn++++=number
receiving ^vwbg+++xvbg+=receiving
a ^at++++=a
diagnostic ^nn+++??+=diagnostic
test ^nn++++=test,
, ^zz++++=EXTRAWORD
number ^nn++++=number
testing ^vwbg+++xvbg+=testing
positive ^jj++++=positive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
number ^nn++++=number
starting ^vwbg+++xvbg+=starting
treatment ^nn++++=treatment.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
appropriate ^jj++++=appropriate,
, ^zz++++=EXTRAWORD
false ^jj+atrb+++=false
positive ^jj+atrb+++=positive
results ^nns++++=results
should ^md+nec+++=should
also ^rb++++=also
be ^vb+be+aux++=be
reported ^vbn+vpub+++=reported.
. ^zz++++=EXTRAWORD
