Funding ^np+++??+=Funding:
: ^zz++++=EXTRAWORD
Zoe ^np++++=Zoe
Global ^jj++++=Global,
, ^zz++++=EXTRAWORD
Department ^nn++++=Department
of ^in++++=of
Health ^nn++++=Health
( ^zz++++=(UK),
uk ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Wellcome ^np+++??+=Wellcome
Trust ^nn++++=Trust,
, ^zz++++=EXTRAWORD
Engineering ^nn++++=Engineering
and ^cc++++=and
Physical ^jj+atrb+++=Physical
Sciences ^nns++++=Sciences
Research ^nn++++=Research
Council ^nn++++=Council
( ^zz++++=(UK),
uk ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
National ^jj+atrb+++=National
Institute ^nn++++=Institute
for ^in++++=for
Health ^nn++++=Health
Research ^nn++++=Research
( ^zz++++=(UK),
uk ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Medical ^jj+atrb+++=Medical
Research ^nn++++=Research
Council ^nn++++=Council
 ^zz++++=(UK),
Uk ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
Alzheimer ^np++++=Alzheimer's
s ^$++++=EXTRAWORD
Society ^nn++++=Society.
 ^zz++++=EXTRAWORD
