Study ^nn++++=Study
recruitment ^nn+nom+++=recruitment
initially ^rb+tm+++=initially
took ^vbd+++xvbn+=took
place ^nn++++=place
from ^in++++=from
Jan ^np++++=Jan
19 ^cd++++=19
to ^in++++=to
Feb ^nr++++=Feb
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021.
. ^zz++++=EXTRAWORD
Owing ^in+cmpx+++=Owing
to ^in"++++=to
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
vaccine ^nn++++=vaccine
hesitancy ^nn++++=hesitancy
compared ^vbd+++xvbn+=compared
with ^in++++=with
Oceans ^nns++++=OCEANS-II,
- ^zz++++=EXTRAWORD
ii ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
recruitment ^nn+nom+++=recruitment
of ^in++++=of
vaccine ^nn++++=vaccine-hesitant
- ^zz++++=EXTRAWORD
hesitant ^jj+atrb+++=EXTRAWORD
individuals ^nns+nom+++=individuals
was ^vbd+bedz+aux++=was
extended ^vpsv++agls+xvbnx+=extended
to ^in++++=to
Feb ^nr++++=Feb
18 ^cd++++=18,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Uk ^np++++=UK
vaccination ^nn+nom+++=vaccination
programme ^nn++++=programme
started ^vbd+++xvbn+=started
on ^in++++=on
Dec ^jj++++=Dec
8 ^zz++++=8,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
for ^in++++=for
which ^whp+rel+pied++=which
a ^at++++=a
priority ^nn+nom+++=priority
list ^nn++++=list
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
( ^zz++++=(eg,
eg ^nn+cnj++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
older ^jjr+atrb+++=older
adults ^nns++++=adults,
, ^zz++++=EXTRAWORD
clinically ^rb++++=clinically
extremely ^rb+amp+++=extremely
vulnerable ^jj+atrb+++=vulnerable
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
front ^nn++++=front-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
health ^nn++++=health
and ^cc++++=and
social ^jj+atrb+++=social
care ^nn++++=care
staff ^nn++++=staff).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
By ^in++++=By
Jan ^np++++=Jan
19 ^cd++++=19,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
study ^nn++++=study
recruitment ^nn+nom+++=recruitment
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
4 ^zz++++=4
609 ^cd++++=609
740 ^cd++++=740
first ^od++++=first-dose
- ^zz++++=EXTRAWORD
dose ^nn++++=EXTRAWORD
vaccinations ^nns+nom+++=vaccinations
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given
in ^in++++=in
the ^ati++++=the
Uk ^np++++=UK
and ^cc++++=and
460 ^cd++++=460
625 ^cd++++=625
second ^od++++=second
doses ^nns++++=doses.
. ^zz++++=EXTRAWORD
Nearly ^rb+down+++=Nearly
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
uk ^np++++=UK
adult ^jj+atrb+++=adult
population ^nn+nom+++=population
had ^vbd+hvd+aux++=had
received ^vwbn+++xvbn+=received
a ^at++++=a
vaccination ^nn+nom+++=vaccination.
. ^zz++++=EXTRAWORD
