To ^to++++=To
limit ^vbi++++=limit
and ^cc++++=and
reverse ^nn++++=reverse
the ^ati++++=the
falling ^jj+atrb++xvbg+=falling
life ^nn++++=life
expectancy ^nn++++=expectancy,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
urgent ^jj+atrb+++=urgent
need ^nn++++=need
for ^in++++=for
pro ^nn++++=pro-equity
- ^zz++++=EXTRAWORD
equity ^nn++++=EXTRAWORD
economic ^jj+atrb+++=economic
and ^cc+phrs+++=and
social ^jj+atrb+++=social
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
greater ^jjr+atrb+++=greater
investment ^nn++++=investment
in ^in++++=in
public ^jj+atrb+++=public
health ^nn++++=health
and ^cc++++=and
health ^nn++++=health
care ^nn++++=care
especially ^rb++++=especially
in ^in++++=in
communities ^nns++++=communities
with ^in++++=with
low ^jj+atrb+++=low
life ^nn++++=life
expectancy ^nn++++=expectancy.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Uk ^np++++=UK's
's ^$++++=EXTRAWORD
post ^nn++++=post-Covid
- ^zz++++=EXTRAWORD
covid ^nn+++??+=EXTRAWORD
Build ^nn++++=Build
Back ^rp++++=Back
Better ^jjr+atrb+++=Better
agenda ^nn++++=agenda
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
explicitly ^rb++++=explicitly
address ^vb++++=address
equity ^nn++++=equity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
complementary ^jj+atrb+++=complementary
levelling ^nn++++=levelling
up ^rp++++=up
funding ^jj+atrb++??+=funding
plans ^nns++++=plans
to ^to+ncmp+++=to
address ^vb++++=address
geographical ^jj+atrb+++=geographical
inequalities ^nns++++=inequalities
by ^in++++=by
investing ^xvbg+++xvbg+=investing
in ^in++++=in
infrastructure ^nn+++??+=infrastructure,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
the ^ati++++=the
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^vbd+++xvbn+=EXTRAWORD
left ^vbd+++xvbn+=left-behind
