Interpretation ^nn+nom+++=Interpretation:
: ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
results ^nns++++=results
for ^in++++=for
adult ^jj+atrb+++=adult
mortality ^nn+nom+++=mortality
suggest ^vb+vpub+++=suggest
child ^nn++++=child
protection ^nn+nom+++=protection
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
policy ^nn++++=policy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
health ^nn++++=health
services ^nns++++=services
following ^vwbg+++xvbg+=following
care ^nn++++=care
graduation ^nn+nom+++=graduation
are ^vb+ber+vrb++=are
insufficient ^jj+pred+++=insufficient
to ^to+jcmp+++=to
mitigate ^nn+nom+++=mitigate
the ^ati++++=the
adverse ^jj+atrb+++=adverse
experiences ^nns+nom+++=experiences
that ^tht+rel+subj++=that
might ^md+pos+++=might
have ^vb+hv+aux++=have
preceded ^vprf+++xvbnx+=preceded
placement ^nn+nom+++=placement
into ^in++++=into
care ^nn++++=care
and ^cc++++=and
those ^dt+dem+++=those
that ^dt+pdem+++=that
might ^md+pos+++=might
accompany ^vb++++=accompany
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
