Children ^nns++++=Children
with ^in++++=with
experience ^nn+nom+++=experience
of ^in++++=of
state ^nn++++=state
care ^nn++++=care
had ^vb+hv+vrb++=had
double ^jj++++=double
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
total ^jj+atrb+++=total
mortality ^nn+nom+++=mortality
and ^cc++++=and
three ^cd++++=three
times ^nns++++=times
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
suicide ^nn++++=suicide
in ^in++++=in
adulthood ^nn+nom+++=adulthood
than ^in++++=than
did ^vbd+dod+vrb++=did
unexposed ^jj+atrb++xvbn+=unexposed
children ^nns++++=children.
. ^zz++++=EXTRAWORD
The ^ati++++=The
association ^nn+nom+++=association
between ^in++++=between
care ^nn++++=care
and ^cc++++=and
total ^jj+atrb+++=total
mortality ^nn+nom+++=mortality
was ^vbd+bedz+vrb++=was
apparent ^jj+pred+++=apparent
into ^in++++=into
later ^rbr+tm+++=later
adulthood ^nn+nom+++=adulthood,
, ^zz++++=EXTRAWORD
such ^abl++++=such
that ^dt+dem+++=that
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
exclusively ^rb++++=exclusively
occur ^vb++++=occur
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
immediately ^rb+tm+++=immediately
following ^jj+atrb++xvbg+=following
care ^nn++++=care
graduation ^nn+nom+++=graduation;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
also ^rb++++=also
of ^in++++=of
higher ^jjr+atrb+++=higher
magnitude ^nn++++=magnitude
in ^in++++=in
higher ^jjr++++=higher-quality
- ^zz++++=EXTRAWORD
quality ^nn+nom+++=EXTRAWORD
studies ^nns++++=studies
and ^cc++++=and
of ^in++++=of
similar ^jj+atrb+++=similar
strength ^nn++++=strength
in ^in++++=in
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
attenuated ^jj++++=attenuated,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
association ^nn+nom+++=association
remained ^vbd+++xvbn+=remained
following ^jj+atrb++xvbg+=following
statistical ^jj+atrb+++=statistical
adjustment ^nn+nom+++=adjustment
for ^in++++=for
other ^ap++++=other
early ^jj++++=early-life
- ^zz++++=EXTRAWORD
life ^nn++++=EXTRAWORD
characteristics ^nns++++=characteristics
known ^vbd+++xvbn+=known
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
both ^abx++++=both
entry ^nn++++=entry
into ^in++++=into
care ^nn++++=care
and ^cc++++=and
risk ^nn++++=risk
of ^in++++=of
mortality ^nn+nom+++=mortality
in ^in++++=in
later ^rbr+tm+++=later
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Importantly ^rb+cnj+++=Importantly,
, ^zz++++=EXTRAWORD
in ^in++++=in
selected ^nn++++=selected
published ^vbd+++xvbn+=published
studies ^nns++++=studies
and ^cc++++=and
also ^rb++++=also
individual ^jj+atrb+++=individual
participant ^nn+nom+++=participant
analyses ^nns++++=analyses
of ^in++++=of
the ^ati++++=the
Uk ^np++++=UK
birth ^nn++++=birth
cohort ^nn++++=cohort
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
covariates ^nns+nom+++=covariates
included ^vprf+++xvbn+=included
an ^at++++=an
array ^nn++++=array
of ^in++++=of
indicators ^nns++++=indicators
of ^in++++=of
early ^jj++++=early-life
- ^zz++++=EXTRAWORD
life ^nn++++=EXTRAWORD
adversity ^nn+nom+++=adversity
additional ^jj++++=additional
to ^in++++=to
care ^nn++++=care,
, ^zz++++=EXTRAWORD
including ^in++++=including
physical ^jj+atrb+++=physical
neglect ^nn++++=neglect,
, ^zz++++=EXTRAWORD
parental ^jj+atrb+++=parental
contact ^nn++++=contact
with ^in++++=with
the ^ati++++=the
prison ^nn++++=prison
service ^nn++++=service,
, ^zz++++=EXTRAWORD
parental ^jj+atrb+++=parental
separation ^nn+nom+++=separation
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
divorce ^vb++++=divorce
or ^cc++++=or
death ^nn++++=death,
, ^zz++++=EXTRAWORD
a ^at++++=a
family ^nn++++=family
history ^nn++++=history
of ^in++++=of
mental ^jj+atrb+++=mental
illness ^nns+nom+++=illness
or ^cc++++=or
substance ^nn+nom+++=substance
abuse ^nn++++=abuse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poor ^jj+atrb+++=poor
socioeconomic ^nn++++=socioeconomic
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
The ^ati++++=The
approximate ^nn++++=approximate
doubling ^vwbg+++xvbg+=doubling
of ^in++++=of
risk ^nn++++=risk
of ^in++++=of
total ^jj+atrb+++=total
mortality ^nn+nom+++=mortality
for ^in++++=for
people ^nns++++=people
with ^in++++=with
pre ^nn+++??+=pre-adult
- ^zz++++=EXTRAWORD
adult ^nn++++=EXTRAWORD
exposure ^nn++++=exposure
to ^in++++=to
care ^nn++++=care
is ^vbz+bez+vrb++=is
broadly ^rb+down+++=broadly
commensurate ^jj+pred+++=commensurate
with ^in++++=with
that ^dt+dem+++=that
apparent ^jj++++=apparent
for ^in++++=for
early ^jj++++=early-life
- ^zz++++=EXTRAWORD
life ^nn++++=EXTRAWORD
socioeconomic ^nn++++=socioeconomic
disadvantage ^nn+nom+++=disadvantage,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
social ^jj+atrb+++=social
engagement ^nn+nom+++=engagement,
, ^zz++++=EXTRAWORD
low ^jj+atrb+++=low
mental ^jj+atrb+++=mental
ability ^nn+nom+++=ability,
, ^zz++++=EXTRAWORD
psychological ^jj+atrb+++=psychological
distress ^nns+nom+++=distress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
obesity ^nn+nom+++=obesity.
. ^zz++++=EXTRAWORD
