A ^at++++=A
39 ^cd++++=39-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
Black ^jj+atrb+++=Black
woman ^nn++++=woman
with ^in++++=with
a ^at++++=a
history ^nn++++=history
of ^in++++=of
immune ^jj+atrb+++=immune
thrombocytopenia ^nn+++??+=thrombocytopenia,
, ^zz++++=EXTRAWORD
- ^zz++++=-thalassemia,
thalassemia ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lactose ^nn++++=lactose
intolerance ^nn+nom+++=intolerance
presented ^vwbn+++xvbn+=presented
with ^in++++=with
hypocalcemia ^nn+++??+=hypocalcemia.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
a ^at++++=a
normal ^jj+atrb+++=normal
calcium ^nn++++=calcium
level ^nn++++=level
at ^in++++=at
33 ^cd++++=33
years ^nns++++=years
of ^in++++=of
age ^nn++++=age
and ^cc++++=and
new ^jj++++=new-onset
- ^zz++++=EXTRAWORD
onset ^nn++++=EXTRAWORD
hypocalcemia ^nn+++??+=hypocalcemia
at ^rb++++=at
37 ^cd++++=37
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
at ^in++++=at
which ^whp+rel+pied++=which
time ^nn++++=time
she ^pp3a+pp3+++=she
presented ^vbd+++xvbnx+=presented
with ^in++++=with
muscle ^nn++++=muscle
cramps ^nns+++??+=cramps,
, ^zz++++=EXTRAWORD
tingling ^vbg+nom++xvbg+=tingling
in ^in++++=in
the ^ati++++=the
arms ^nns++++=arms
and ^cc++++=and
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
perioral ^jj+atrb+++=perioral
numbness ^nns+nom+++=numbness,
, ^zz++++=EXTRAWORD
lethargy ^nn++++=lethargy,
, ^zz++++=EXTRAWORD
disorientation ^nn+nom+++=disorientation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
weakness ^nns+nom+++=weakness.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
family ^nn++++=family
history ^nn++++=history
of ^in++++=of
autoimmune ^nn+++??+=autoimmune
disorders ^nns+nom+++=disorders
or ^cc++++=or
abnormalities ^nns+nom+++=abnormalities
in ^in++++=in
mineral ^nn++++=mineral
metabolism ^nn+nom+++=metabolism.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
her ^pp$+pp3+++=her
recent ^jj+atrb+++=recent
presentation ^nn+nom+++=presentation,
, ^zz++++=EXTRAWORD
an ^at++++=an
initial ^jj+atrb+++=initial
biochemical ^jj+atrb+++=biochemical
evaluation ^nn+nom+++=evaluation
showed ^vbd+vprv++xvbn+=showed
markedly ^rb++++=markedly
low ^jj+atrb+++=low
levels ^nns++++=levels
of ^in++++=of
total ^jj+atrb+++=total
serum ^nn++++=serum
calcium ^nn++++=calcium
( ^zz++++=(5.5
5.5 ^cd++++=EXTRAWORD
mg ^nnu++++=mg
per ^nnu++++=per
deciliter ^jjr++++=deciliter
[ ^zz++++=[1.4
1.4 ^cd++++=EXTRAWORD
mmol ^nn+++??+=mmol
per ^nnu++++=per
liter] ^nn+++??+=liter]),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
an ^at++++=an
elevated ^jj+atrb++xvbn+=elevated
phosphorus ^nns+++??+=phosphorus
level ^nn++++=level
( ^zz++++=(5.8
5.8 ^cd++++=EXTRAWORD
mg ^nnu++++=mg
per ^nnu++++=per
deciliter ^jjr++++=deciliter
[ ^zz++++=[1.9
1.9 ^cd++++=EXTRAWORD
mmol ^nn+++??+=mmol
per ^nnu++++=per
liter] ^nn+++??+=liter]),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
low ^jj+atrb+++=low
magnesium ^nn++++=magnesium
level ^nn++++=level
( ^zz++++=(2.9
2.9 ^cd++++=EXTRAWORD
mg ^nnu++++=mg
per ^nnu++++=per
deciliter ^jjr++++=deciliter
[ ^zz++++=[1.2
1.2 ^cd++++=EXTRAWORD
mmol ^nn+++??+=mmol
per ^nnu++++=per
liter] ^nn+++??+=liter]),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
high ^np++++=high
Pth ^np+++??+=PTH
level ^nn++++=level
( ^zz++++=(1362
1362 ^cd++++=EXTRAWORD
pg ^nn+++??+=pg
per ^nnu++++=per
milliliter ^jjr++++=milliliter),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
low ^jj++++=low
25 ^cd++++=25-hydroxyvitamin
- ^zz++++=EXTRAWORD
hydroxyvitamin ^nn+++??+=EXTRAWORD
D ^zz++++=D
level ^nn++++=level
( ^zz++++=(14
14 ^cd++++=EXTRAWORD
ng ^nn+++??+=ng
per ^nnu++++=per
milliliter ^jjr++++=milliliter
[ ^zz++++=[34.9
34.9 ^cd++++=EXTRAWORD
nmol ^nn+++??+=nmol
per ^nnu++++=per
liter] ^nn+++??+=liter]).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
serum ^nn++++=serum
levels ^nns++++=levels
of ^in++++=of
urea ^nn+++??+=urea
nitrogen ^nn++++=nitrogen,
, ^zz++++=EXTRAWORD
creatinine ^nn+++??+=creatinine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thyrotropin ^nn+++??+=thyrotropin
were ^vbd+bed+vrb++=were
normal ^jj+pred+++=normal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
albumin ^nn++++=albumin
level ^nn++++=level
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low
( ^zz++++=(3.2
3.2 ^cd++++=EXTRAWORD
mg ^nnu++++=mg
per ^nnu++++=per
deciliter ^jjr++++=deciliter).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
T ^zz++++=T
scores ^nns++++=scores
on ^in++++=on
tests ^nns++++=tests
of ^in++++=of
