Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
conducted ^vbd+++xvbn+=conducted
a ^at++++=a
trial ^nn++++=trial
to ^to++++=to
assess ^vbi++++=assess
whether ^cs+who+++=whether
a ^at++++=a
ctdna ^nn+++??+=ctDNA-guided
- ^zz++++=EXTRAWORD
guided ^vbd+++xvbn+=EXTRAWORD
approach ^nn++++=approach
could ^md+pos+++=could
reduce ^vb++++=reduce
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
adjuvant ^nn+++??+=adjuvant
chemotherapy ^nn+++??+=chemotherapy
without ^in++++=without
compromising ^jj+atrb+++=compromising
recurrence ^nn++++=recurrence
risk ^nn++++=risk.
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
with ^in++++=with
stage ^nn++++=stage
Ii ^np+++??+=II
colon ^nn++++=colon
cancer ^nn++++=cancer
were ^vbd+bed+aux++=were
randomly ^rb++splt++=randomly
assigned ^vpsv++agls+xvbnx+=assigned
in ^in++++=in
a ^at++++=a
2:1 ^cd++++=2:1
ratio ^nn++++=ratio
to ^in++++=to
have ^vbi++vrb++=have
treatment ^nn++++=treatment
decisions ^nns++++=decisions
guided ^vwbn+++xvbn+=guided
by ^in++++=by
either ^dtx++++=either
ctdna ^nn+++??+=ctDNA
results ^nns++++=results
or ^cc++++=or
standard ^jj+atrb+++=standard
clinicopathological ^nn+++??+=clinicopathological
features ^nns++++=features.
. ^zz++++=EXTRAWORD
For ^in++++=For
ctdna ^nn+++??+=ctDNA-guided
- ^zz++++=EXTRAWORD
guided ^vbd+++xvbn+=EXTRAWORD
management ^nn++++=management,
, ^zz++++=EXTRAWORD
a ^at++++=a
ctdna ^nn+++??+=ctDNA-positive
- ^zz++++=EXTRAWORD
positive ^jj+atrb+++=EXTRAWORD
result ^nn++++=result
at ^in++++=at
4 ^zz++++=4
or ^cc++++=or
7 ^zz++++=7
weeks ^nns++++=weeks
after ^cs+sub+++=after
surgery ^nn++++=surgery
prompted ^vbd+++xvbn+=prompted
oxaliplatin ^nn+++??+=oxaliplatin-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
or ^cc++++=or
fluoropyrimidine ^nn+++??+=fluoropyrimidine
chemotherapy ^nn+++??+=chemotherapy.
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
ctdna ^nn+++??+=ctDNA-negative
- ^zz++++=EXTRAWORD
negative ^jj++++=EXTRAWORD
were ^vbd+bed+aux++=were
not ^xnot++not++=not
treated ^vbd+++xvbn+=treated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
efficacy ^nn++++=efficacy
end ^nn++++=end
point ^nn++++=point
was ^vbd+bedz+vrb++=was
recurrence ^nn++++=recurrence-free
- ^zz++++=EXTRAWORD
free ^jj+atrb+++=EXTRAWORD
survival ^nn++++=survival
at ^in++++=at
2 ^zz++++=2
years ^nns++++=years.
. ^zz++++=EXTRAWORD
A ^at++++=A
Key ^jjb+atrb+++=key
Secondary ^jj+atrb+++=secondary
End ^nn++++=end
Point ^nn++++=point
Was ^vbd+bedz+vrb++=was
Adjuvant ^nn++++=adjuvant
Chemotherapy ^nn++++=chemotherapy
Use ^nn++++=use.
 ^zz++++=EXTRAWORD
