After ^cs+sub+++=After
diploids ^nns+++??+=diploids
were ^vbd+bed+aux++=were
generated ^vpsv++by+xvbnx+=generated
by ^in++++=by
mating ^nn++++=mating
and ^cc++++=and
auxotrophic ^jj+atrb+++=auxotrophic
selection ^nn+nom+++=selection,
, ^zz++++=EXTRAWORD
sporulation ^nn+nom+++=sporulation
was ^vbd+bedz+aux++=was
induced ^vpsv++by+xvbnx+=induced
by ^in++++=by
growing ^xvbg+++xvbg+=growing
yeast ^nn++++=yeast
to ^in++++=to
saturation ^nn+nom+++=saturation
at ^in++++=at
30 ^cd++++=30
C ^zz++++=C
in ^in++++=in
pre ^nn+++??+=pre-sporulation
- ^zz++++=EXTRAWORD
sporulation ^nn+nom+++=EXTRAWORD
media ^nns++++=media
( ^zz++++=(0.8%
0.8 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
yeast ^nn++++=yeast
extract ^nn++++=extract,
, ^zz++++=EXTRAWORD
0.3 ^nn+++??+=0.3%
% ^zz++++=EXTRAWORD
Bacto ^np+++??+=Bacto-peptone,
- ^zz++++=EXTRAWORD
peptone ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
dextrose ^nn+++??+=dextrose,
, ^zz++++=EXTRAWORD
100 ^cd++++=100
mg ^nnu++++=mg/L
adenine ^nn+++??+=adenine
sulfate ^nn+nom+++=sulfate).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Cultures ^nns++++=Cultures
were ^vbd+bed+aux++=were
washed ^vpsv++agls+xvbnx+=washed
briefly ^rb++++=briefly
in ^in++++=in
sterile ^jj+atrb+++=sterile
water ^nn++++=water
and ^cc++++=and
resuspended ^vpsv++agls+xvbn+=resuspended
in ^in++++=in
one ^cd1++++=one
volume ^nn++++=volume
enriched ^vbd+++xvbn+=enriched
sporulation ^nn+nom+++=sporulation
medium ^nn++++=medium
( ^zz++++=(10
10 ^cd++++=EXTRAWORD
g ^zz++++=g/L
potassium ^nn++++=potassium
acetate ^nn+nom+++=acetate,
, ^zz++++=EXTRAWORD
1 ^zz++++=1
g ^zz++++=g/L
yeast ^nn++++=yeast
extract ^nn++++=extract,
, ^zz++++=EXTRAWORD
0.5 ^nn+++??+=0.5
g ^zz++++=g/L
dextrose ^nn+++??+=dextrose,
, ^zz++++=EXTRAWORD
0.1 ^nn+++??+=0.1
g ^zz++++=g/L
supplement ^nn+nom+++=supplement).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
supplement ^nn++++=supplement
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
a ^at++++=a
mixture ^nn++++=mixture
of ^in++++=of
1:1:5 ^cd++++=1:1:5
( ^zz++++=(by
by ^in++++=EXTRAWORD
mass ^nn++++=mass)
) ^zz++++=EXTRAWORD
of ^in++++=of
uracil ^nn+++??+=uracil,
, ^zz++++=EXTRAWORD
histidine ^nn+++??+=histidine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leucine ^nn+++??+=leucine.
. ^zz++++=EXTRAWORD
Sporulation ^np+nom++??+=Sporulation
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
at ^rb++++=at
25 ^cd++++=25
C ^zz++++=C
for ^in++++=for
2 ^zz++++=2
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
at ^in++++=at
30 ^cd++++=30
C ^zz++++=C
for ^in++++=for
3 ^zz++++=3
days ^nns++++=days
( ^zz++++=(5
5 ^zz++++=EXTRAWORD
days ^nns++++=days
in ^in++++=in
total ^jj++++=total).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Cultures ^nns++++=Cultures
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
analyzed ^vpsv++agls+xvbnx+=analyzed
morphologically ^rb++++=morphologically
to ^to++++=to
determine ^vbi++++=determine
the ^ati++++=the
fraction ^nn+nom+++=fraction
of ^in++++=of
tetrads ^nns+++??+=tetrads
as ^ql++++=as
a ^at++++=a
fraction ^nn+nom+++=fraction
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
cell ^nn++++=cell
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
