Similarly ^rb+cnj+++=Similarly
built ^vbd+++xvbn+=built
interconnected ^xvbn+++xvbn+=interconnected
nodes ^nns++++=nodes
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
underlie ^vbi+++??+=underlie
the ^ati++++=the
formation ^nn+nom+++=formation
of ^in++++=of
diverse ^jj+atrb+++=diverse
condensates ^nns+nom+++=condensates
( ^zz++++=(
Figure ^np++++=Figure
1 ^zz++++=1
A ^at++++=A),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
such ^abl++++=such
wiring ^nn++++=wiring
may ^md+pos+++=may
confer ^vb++++=confer
a ^at++++=a
common ^jj+atrb+++=common
evolutionary ^jj+atrb+++=evolutionary
advantage ^nn+nom+++=advantage.
. ^zz++++=EXTRAWORD
Importantly ^rb+cnj+++=Importantly,
, ^zz++++=EXTRAWORD
G3bp ^np+++??+=G3BP
s ^zz++++=s
Ppi ^np+++??+=PPI
network ^nn++++=network
is ^vbz+bez+aux++=is
conserved ^vpsv++agls+xvbnx+=conserved
in ^in++++=in
simple ^jj+atrb+++=simple
metazoans ^nns+nom+++=metazoans
such ^abl++++=such
as ^ql++++=as
Drosophila ^np+++??+=Drosophila
( ^zz++++=(
Baumgartner ^np+nom+++=Baumgartner
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
Baumgartner ^np+nom++??+=Baumgartner,
, ^zz++++=EXTRAWORD
R ^zz++++=R.
. ^zz++++=EXTRAWORD
Stocker ^np+++??+=Stocker,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
Hafen ^np+++??+=Hafen,
, ^zz++++=EXTRAWORD
E ^zz++++=E.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Rna ^np+++??+=RNA-binding
- ^zz++++=EXTRAWORD
binding ^jj+atrb+++=EXTRAWORD
proteins ^nns+++??+=proteins
Fmr1 ^np+++??+=FMR1,
, ^zz++++=EXTRAWORD
rasputin ^nn+++??+=rasputin
and ^cc++++=and
caprin ^nn+++??+=caprin
act ^nn++++=act
together ^nn+nom+++=together
with ^in++++=with
the ^ati++++=the
Uba ^np+++??+=UBA
protein ^nn++++=protein
lingerer ^jjr++++=lingerer
to ^to++++=to
restrict ^vbi++++=restrict
tissue ^nn++++=tissue
growth ^nn++++=growth
in ^in++++=in
Drosophila ^np+++??+=Drosophila
melanogaster ^nn+nom+++=melanogaster
Plos ^np+++??+=PLoS
Genet ^np+++??+=Genet.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
9 ^zz++++=9
: ^zz++++=:e1003598
e1003598 ^nn+++??+=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(20)
20 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
data ^nns++++=data
suggest ^vb+vpub+++=suggest
a ^at++++=a
possible ^jj+atrb+++=possible
rationale ^nn++++=rationale
for ^in++++=for
such ^abl++++=such
node ^nn+++??+=node-node
- ^zz++++=EXTRAWORD
node ^nn+++??+=EXTRAWORD
connectivity ^nn+nom+++=connectivity
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
G3bp ^np+++??+=G3BP-UBAP2L
- ^zz++++=EXTRAWORD
ubap2l ^nn+++??+=EXTRAWORD
via ^in++++=via
Ntf2 ^np+++??+=NTF2)
) ^zz++++=EXTRAWORD
in ^in++++=in
affording ^xvbg+++xvbg+=affording
switch ^nn++++=switch-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
control ^nn++++=control
of ^in++++=of
Llps ^np+++??+=LLPS
by ^in++++=by
ligands ^nns+++??+=ligands
( ^zz++++=(
Choi ^np++++=Choi
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
18 ^cd++++=18.
. ^zz++++=EXTRAWORD
Choi ^np+++??+=Choi,
, ^zz++++=EXTRAWORD
J. ^np+++??+=J.-M.
- ^zz++++=EXTRAWORD
m ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Dar ^np+++??+=Dar,
, ^zz++++=EXTRAWORD
F ^zz++++=F.
. ^zz++++=EXTRAWORD
Pappu ^np+++??+=Pappu,
, ^zz++++=EXTRAWORD
R.v ^np+++??+=R.V.
. ^zz++++=EXTRAWORD
Lassi ^np+++??+=LASSI:
: ^zz++++=EXTRAWORD
A ^at++++=A
lattice ^nn++++=lattice
model ^nn++++=model
for ^in++++=for
simulating ^xvbg+++xvbg+=simulating
phase ^nn++++=phase
transitions ^nns+nom+++=transitions
of ^in++++=of
multivalent ^jj+atrb+++=multivalent
proteins ^nns+++??+=proteins
Plos ^np+++??+=PLoS
Comput ^np+++??+=Comput.
. ^zz++++=EXTRAWORD
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
