Hundreds ^cds++++=Hundreds
of ^in++++=of
cell ^nn++++=cell
surface ^nn++++=surface
receptors ^nns+++??+=receptors,
, ^zz++++=EXTRAWORD
notably ^rb++++=notably
G ^zz++++=G
protein ^nn++++=protein-coupled
- ^zz++++=EXTRAWORD
coupled ^xvbn+++xvbn+=EXTRAWORD
receptors ^nns+++??+=receptors
( ^zz++++=(GPCRs),
gpcrs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
signal ^nn++++=signal
via ^in++++=via
the ^ati++++=the
second ^od++++=second
messenger ^nn++++=messenger
cyclic ^jj+atrb+++=cyclic
adenosine ^nn+++??+=adenosine
monophosphate ^nn+++??+=monophosphate
( ^zz++++=(cAMP)
camp ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
its ^pp$+it+++=its
effector ^nn+++??+=effector
proteins ^nns+++??+=proteins,
, ^zz++++=EXTRAWORD
in ^in++++=in
particular ^jj+atrb+++=particular
protein ^nn++++=protein
kinase ^nn+++??+=kinase
A ^at++++=A
( ^zz++++=(PKA).
pka ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pathway ^nn++++=pathway
is ^vbz+bez+vrb++=is
central ^jj+pred+++=central
to ^in++++=to
key ^jjb+atrb+++=key
physiological ^jj+atrb+++=physiological
functions ^nns++++=functions
and ^cc++++=and,
, ^zz++++=EXTRAWORD
hence ^rb+cnj+++=hence,
, ^zz++++=EXTRAWORD
to ^in++++=to
many ^ap++++=many
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
it ^pp3+it+++=it
a ^at++++=a
highly ^rb+amp+++=highly
attractive ^jj+atrb+++=attractive
therapeutic ^jj+atrb+++=therapeutic
target ^nn++++=target
( ^zz++++=(
Nikolaev ^np++++=Nikolaev
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
31 ^cd++++=31.
. ^zz++++=EXTRAWORD
Nikolaev ^np+++??+=Nikolaev,
, ^zz++++=EXTRAWORD
V.o ^np+++??+=V.O.
. ^zz++++=EXTRAWORD
Moshkov ^np+++??+=Moshkov,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Lyon ^np+++??+=Lyon,
, ^zz++++=EXTRAWORD
A.r ^np+++??+=A.R.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Beta2 ^np+++??+=Beta2-adrenergic
- ^zz++++=EXTRAWORD
adrenergic ^nn+++??+=EXTRAWORD
receptor ^nn+++??+=receptor
redistribution ^nn++++=redistribution
in ^in++++=in
heart ^nn++++=heart
failure ^nn++++=failure
changes ^vbz++++=changes
camp ^npl++++=cAMP
compartmentation ^nn+++??+=compartmentation
Science ^nn++++=Science.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
327 ^cd++++=327
: ^zz++++=:1653-1657
1653 ^cd+date+++=EXTRAWORD
- ^zz++++=EXTRAWORD
1657 ^cd+date+++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(470)
470 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Gold ^nn++++=Gold
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
18 ^cd++++=18.
. ^zz++++=EXTRAWORD
Gold ^nn++++=Gold,
, ^zz++++=EXTRAWORD
M.g ^np++++=M.G.
. ^zz++++=EXTRAWORD
Gonen ^np+++??+=Gonen,
, ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
Scott ^np++++=Scott,
, ^zz++++=EXTRAWORD
J.d ^np++++=J.D.
. ^zz++++=EXTRAWORD
Local ^jj+atrb+++=Local
camp ^nn++++=cAMP
signaling ^nn+++??+=signaling
in ^in++++=in
disease ^nn++++=disease
at ^in++++=at
a ^at++++=a
glance ^nn++++=glance
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Cell ^nn++++=Cell
Sci ^np+++??+=Sci.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
126 ^cd++++=126
: ^zz++++=:4537-4543
4537 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
4543 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(60)
60 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Zaccolo ^np+++??+=Zaccolo,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
49 ^cd++++=49.
. ^zz++++=EXTRAWORD
Zaccolo ^np+++??+=Zaccolo,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
camp ^nn++++=cAMP
signal ^nn++++=signal
transduction ^nn+++??+=transduction
in ^in++++=in
the ^ati++++=the
heart ^nn++++=heart:
: ^zz++++=EXTRAWORD
understanding ^nvbg+++xvbg+=understanding
spatial ^jj+atrb+++=spatial
control ^nn++++=control
for ^in++++=for
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
novel ^nn++++=novel
therapeutic ^jj+atrb+++=therapeutic
strategies ^nns+++??+=strategies
Br ^np+++??+=Br.
. ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Pharmacol ^np+++??+=Pharmacol.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
158 ^cd++++=158
: ^zz++++=:50-60
50 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
60 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(119)
119 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
, ^zz++++=,
2011 ^cd++++=2011
50 ^cd++++=50.
. ^zz++++=EXTRAWORD
Zaccolo ^np+++??+=Zaccolo,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Spatial ^jj+atrb+++=Spatial
control ^nn++++=control
of ^in++++=of
camp ^nn++++=cAMP
signalling ^vwbg+++xvbg+=signalling
in ^in++++=in
health ^nn++++=health
and ^cc++++=and
disease ^nn++++=disease
Curr ^np+++??+=Curr.
. ^zz++++=EXTRAWORD
Opin ^np+++??+=Opin.
. ^zz++++=EXTRAWORD
Pharmacol ^np+++??+=Pharmacol.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
11 ^cd++++=11
: ^zz++++=:649-655
649 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
655 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(70)
70 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Perera ^np+++??+=Perera
and ^cc++++=and
Nikolaev ^np+++??+=Nikolaev,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
34 ^cd++++=34.
. ^zz++++=EXTRAWORD
Perera ^np+++??+=Perera,
, ^zz++++=EXTRAWORD
R.k ^np+++??+=R.K.
. ^zz++++=EXTRAWORD
Nikolaev ^np+++??+=Nikolaev,
, ^zz++++=EXTRAWORD
V.o ^np+++??+=V.O.
. ^zz++++=EXTRAWORD
Compartmentation ^np+++??+=Compartmentation
of ^in++++=of
camp ^nn++++=cAMP
signalling ^vwbg+++xvbg+=signalling
in ^in++++=in
cardiomyocytes ^nns+++??+=cardiomyocytes
in ^in++++=in
health ^nn++++=health
and ^cc++++=and
disease ^nn++++=disease
Acta ^np+++??+=Acta
Physiol ^np+++??+=Physiol.
. ^zz++++=EXTRAWORD
( ^zz++++=(Oxf.).
oxf. ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
207 ^cd++++=207
: ^zz++++=:650-662
650 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
662 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(55)
55 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
unclear ^nn+++??+=unclear
how ^wrb+who+++=how
the ^ati++++=the
huge ^jj+atrb+++=huge
number ^nn++++=number
of ^in++++=of
receptors ^nns+++??+=receptors
that ^tht+rel+obj++=that
change ^nn++++=change
global ^jj+atrb+++=global
cellular ^jj+atrb+++=cellular
camp ^nn++++=cAMP
levels ^nns++++=levels
can ^md+pos+++=can
result ^vb++++=result
in ^in++++=in
specific ^jj+atrb+++=specific
cellular ^jj+atrb+++=cellular
responses ^nns++++=responses.
. ^zz++++=EXTRAWORD
To ^to++++=To
explain ^vbi+vpub+++=explain
receptor ^nn+++??+=receptor-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
responses ^nns++++=responses
observed ^vbd+++xvbn+=observed
in ^in++++=in
experiments ^nns++++=experiments
and ^cc+cls+++=and
how ^wrb+who+++=how
these ^dt+dem+++=these
responses ^nns++++=responses
might ^md+pos+++=might
differ ^vb++++=differ
in ^in++++=in
different ^jj+atrb+++=different
regions ^nns++++=regions
of ^in++++=of
a ^at++++=a
cell ^nn++++=cell,
, ^zz++++=EXTRAWORD
many ^ap++++=many
researchers ^nns+++??+=researchers
have ^vb+hv+aux++=have
proposed ^vprf+++xvbnx+=proposed
camp ^npl++++=cAMP
compartmentalization ^nn+++??+=compartmentalization
( ^zz++++=(
Brunton ^np++++=Brunton
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1979 ^cd+date+++=1979
8 ^zz++++=8.
. ^zz++++=EXTRAWORD
Brunton ^np+++??+=Brunton,
, ^zz++++=EXTRAWORD
L.l ^np+++??+=L.L.
. ^zz++++=EXTRAWORD
Hayes ^np+++??+=Hayes,
, ^zz++++=EXTRAWORD
J.s ^np+++??+=J.S.
. ^zz++++=EXTRAWORD
Mayer ^np+++??+=Mayer,
, ^zz++++=EXTRAWORD
S.e ^np+++??+=S.E.
. ^zz++++=EXTRAWORD
Hormonally ^np+++??+=Hormonally
specific ^jj+atrb+++=specific
phosphorylation ^nn+++??+=phosphorylation
of ^in++++=of
cardiac ^jj+atrb+++=cardiac
troponin ^nn+++??+=troponin
I ^pp1a+pp1+++=I
and ^cc++++=and
activation ^nn+++??+=activation
of ^in++++=of
glycogen ^nn+++??+=glycogen
phosphorylase ^nn+++??+=phosphorylase
Nature ^nn++++=Nature.
. ^zz++++=EXTRAWORD
1979 ^cd+date+++=1979;
; ^zz++++=EXTRAWORD
280 ^cd++++=280
: ^zz++++=:78-80
78 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
80 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(71)
