Of ^in++++=Of
the ^ati++++=the
25 ^cd++++=25
samples ^nns++++=samples
with ^in++++=with
an ^at++++=an
Eys ^np+++??+=EYS
wt ^nn++++=wt
genotype ^nn+++??+=genotype,
, ^zz++++=EXTRAWORD
22 ^cd++++=22
were ^vbd+bed+vrb++=were
maternal ^jj+pred+++=maternal
only ^rb+down+++=only
at ^rb++++=at
Snps ^np+++??+=SNPs
contained ^vbd+++xvbn+=contained
within ^in++++=within
the ^ati++++=the
same ^ap++++=same
Pcr ^np+++??+=PCR
product ^nn++++=product
( ^zz++++=(rs66502009
rs66502009 ^nn+++??+=EXTRAWORD
and ^cc++++=and
rs12205397 ^nn+++??+=rs12205397),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
13 ^cd++++=13
of ^in++++=of
which ^whp+rel+pied++=which
were ^vbd+bed+vrb++=were
maternal ^jj+pred+++=maternal
only ^rb+down+++=only
also ^rb++++=also
at ^rb++++=at
flanking ^nn+++??+=flanking
Snps ^np+++??+=SNPs
10 ^cd++++=10
kb ^nn+++??+=kb
proximal ^nn+++??+=proximal
and ^cc++++=and
10 ^cd++++=10
kb ^nn+++??+=kb
distal ^jj++++=distal
of ^in++++=of
the ^ati++++=the
Cas9 ^np+++??+=Cas9
cleavage ^nn++++=cleavage
site ^nn++++=site,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
9 ^zz++++=9
showed ^vbd+vprv++xvbn+=showed
heterozygosity ^nn+++??+=heterozygosity
at ^rb++++=at
one ^cd1++++=one
or ^cc++++=or
both ^abx++++=both
10 ^cd++++=10
kb ^nn+++??+=kb
flanking ^nn+++??+=flanking
sites ^nns++++=sites
( ^zz++++=(
Table ^np++++=Table
S1 ^np+++??+=S1
) ^zz++++=).
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
Sanger ^np+++??+=Sanger
sequencing ^nn+++??+=sequencing
is ^vbz+bez+vrb++=is
susceptible ^jj+pred+++=susceptible
to ^in++++=to
allele ^nn+++??+=allele-dropout,
- ^zz++++=EXTRAWORD
dropout ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
performed ^vbd+++xvbn+=performed
on ^in++++=on-target
- ^zz++++=EXTRAWORD
target ^nn++++=EXTRAWORD
Ngs ^np+++??+=NGS
on ^in++++=on
Eys ^np+++??+=EYS
wt ^nn++++=wt
blastomeres ^nns+++??+=blastomeres
from ^in++++=from
five ^cd++++=five
embryos ^nns+++??+=embryos
and ^cc++++=and
confirmed ^vbd+vpub++xvbn+=confirmed
the ^ati++++=the
Eys ^np+++??+=EYS
wt ^nn++++=wt
genotype ^nn+++??+=genotype
( ^zz++++=(
Figure ^np++++=Figure
4 ^zz++++=4
C ^zz++++=C;
; ^zz++++=EXTRAWORD
Table ^nn++++=Table
S1 ^np+++??+=S1
) ^zz++++=).
. ^zz++++=EXTRAWORD
Paternal ^np+++??+=Paternal
reads ^vbz++++=reads
were ^vbd+bed+aux++=were
detected ^vpsv++agls+xvbnx+=detected
in ^in++++=in
one ^cd1++++=one
morula ^nn+++??+=morula
( ^zz++++=(morula
morula ^nn+++??+=EXTRAWORD
10 ^cd++++=10),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^in++++=at
reduced ^vbd+++xvbn+=reduced
representation ^nn++++=representation
compared ^vbd+++xvbn+=compared
with ^in++++=with
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
maternal ^jj+atrb+++=maternal
Eys ^np+++??+=EYS
wt ^nn++++=wt
allele ^nn++++=allele
because ^cs+cos+++=because
of ^in++++=of
mosaicism ^nn++++=mosaicism
( ^zz++++=(
figure ^nn++++=Figure
4 ^zz++++=4
c ^zz++++=C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
