Slidebook ^np+++??+=Slidebook
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
image ^nn++++=image
capture ^nn++++=capture
and ^cc++++=and
analysis ^nn++++=analysis
of ^in++++=of
fluorescence ^nn++++=fluorescence
intensity ^nn++++=intensity
and ^cc++++=and
recovery ^nn++++=recovery
after ^in++++=after
photobleaching ^nn++++=photobleaching
of ^in++++=of
the ^ati++++=the
in ^in++++=in
vitro ^nn++++=vitro
chromatin ^nn++++=chromatin
condensates ^nns++++=condensates
