Eastern ^jj+atrb+++=Eastern
equine ^jj+atrb+++=equine
encephalitis ^nns+++??+=encephalitis
virus ^nn++++=virus
( ^zz++++=(EEEV)
eeev ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
virulent ^jj+atrb+++=virulent
viruses ^nns++++=viruses
endemic ^jj++++=endemic
to ^in++++=to
North ^nr+pl+++=North
America ^np++++=America.
. ^zz++++=EXTRAWORD
No ^at++++=No
licensed ^jj+atrb+++=licensed
vaccines ^nns++++=vaccines
or ^cc++++=or
antiviral ^nn+++??+=antiviral
therapeutics ^nns+++??+=therapeutics
are ^vb+ber+vrb++=are
available ^jj+pred+++=available
to ^to++++=to
combat ^vbi++++=combat
this ^dt+dem+++=this
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
recently ^rb+tm+splt++=recently
shown ^vprf+++xvbnx+=shown
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
human ^jj+atrb+++=human
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
characterize ^vb++++=characterize
human ^jj+atrb+++=human
monoclonal ^nn+++??+=monoclonal
antibodies ^nns++++=antibodies
( ^zz++++=(mAbs)
mabs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
isolated ^jj+++xvbn+=isolated
from ^in++++=from
a ^at++++=a
survivor ^nn++++=survivor
of ^in++++=of
natural ^jj+atrb+++=natural
Eeev ^np+++??+=EEEV
infection ^nn++++=infection
with ^in++++=with
potent ^jj++++=potent
( ^zz++++=(<20
< ^zz++++=EXTRAWORD
20 ^cd++++=EXTRAWORD
pm ^nn+++??+=pM)
) ^zz++++=EXTRAWORD
inhibitory ^nn+++??+=inhibitory
activity ^nn++++=activity
of ^in++++=of
Eeev ^np+++??+=EEEV.
. ^zz++++=EXTRAWORD
Cryo ^np+++??+=Cryo-electron
- ^zz++++=EXTRAWORD
electron ^nn++++=EXTRAWORD
microscopy ^nn++++=microscopy
reconstructions ^nns+++??+=reconstructions
of ^in++++=of
two ^cd++++=two
highly ^rb+amp+++=highly
neutralizing ^nn+++??+=neutralizing
mabs ^nns+++??+=mAbs,
, ^zz++++=EXTRAWORD
Eeev ^np+++??+=EEEV-33
- ^zz++++=EXTRAWORD
33 ^cd++++=EXTRAWORD
and ^cc++++=and
Eeev ^np+++??+=EEEV-143,
- ^zz++++=EXTRAWORD
143 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
solved ^vpsv++agls+xvbnx+=solved
in ^in++++=in
complex ^nn++++=complex
with ^in++++=with
chimeric ^nn+++??+=chimeric
Sindbis ^np+++??+=Sindbis/EEEV
virions ^nns+++??+=virions
to ^to++++=to
7.2 ^cd++++=7.2
and ^cc++++=and
8.3 ^cd++++=8.3
, ^zz++++=,
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mabs ^nns+++??+=mAbs
recognize ^vb+vprv+++=recognize
two ^cd++++=two
distinct ^jj+atrb+++=distinct
antigenic ^jj+atrb+++=antigenic
sites ^nns++++=sites
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
critical ^jj+pred+++=critical
for ^in++++=for
inhibiting ^jj+atrb+++=inhibiting
viral ^nn+++??+=viral
entry ^nn++++=entry
into ^in++++=into
cells ^nns++++=cells.
. ^zz++++=EXTRAWORD
Eeev ^np+++??+=EEEV-33
- ^zz++++=EXTRAWORD
33 ^cd++++=EXTRAWORD
and ^cc++++=and
Eeev ^np+++??+=EEEV-143
- ^zz++++=EXTRAWORD
143 ^cd++++=EXTRAWORD
protect ^vb++++=protect
against ^in++++=against
disease ^nn++++=disease
following ^vwbg+++xvbg+=following
stringent ^jj+atrb+++=stringent
lethal ^jj+atrb+++=lethal
aerosol ^nn+++??+=aerosol
challenge ^vb++++=challenge
of ^in++++=of
mice ^nns++++=mice
with ^in++++=with
highly ^rb+amp+++=highly
pathogenic ^jj+atrb++??+=pathogenic
Eeev ^np+++??+=EEEV.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
studies ^nns++++=studies
provide ^vb+vsua+++=provide
insight ^nn++++=insight
into ^in++++=into
the ^ati++++=the
molecular ^jj+atrb+++=molecular
basis ^nn++++=basis
for ^in++++=for
the ^ati++++=the
neutralizing ^nn+++??+=neutralizing
human ^jj+atrb+++=human
antibody ^nn++++=antibody
response ^nn++++=response
against ^in++++=against
Eeev ^np+++??+=EEEV
and ^cc++++=and
can ^md+pos+++=can
facilitate ^vb++++=facilitate
development ^nn++++=development
of ^in++++=of
vaccines ^nns++++=vaccines
and ^cc++++=and
candidate ^nn++++=candidate
antibody ^nn++++=antibody
therapeutics ^nns++++=therapeutics.
. ^zz++++=EXTRAWORD
