Human ^jj+atrb+++=Human
triple ^jj+atrb+++=triple
negative ^jj+atrb+++=negative
breast ^nn++++=breast
cancer ^nn++++=cancer
cell ^nn++++=cell
lines ^nns++++=lines
Mda ^np+++??+=MDA-MB-231(RRID:
- ^zz++++=EXTRAWORD
mb ^nnu++++=EXTRAWORD
- ^zz++++=EXTRAWORD
231(rrid ^cd++++=EXTRAWORD
: ^zz++++=EXTRAWORD
Cvcl_0062 ^np+++??+=CVCL_0062),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
human ^jj+atrb+++=human
estrogen ^nn+++??+=estrogen
receptor ^nn+++??+=receptor
positive ^jj+atrb+++=positive
luminal ^nn+++??+=luminal
breast ^nn++++=breast
cancer ^nn++++=cancer
cell ^nn++++=cell
line ^nn++++=line
Mcf7 ^np+++??+=MCF7
( ^zz++++=(RRID:
rrid ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Cvcl_0031 ^np+++??+=CVCL_0031),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
human ^jj+atrb+++=human
prostate ^nn+++??+=prostate
cancer ^nn++++=cancer
cell ^nn++++=cell
line ^nn++++=line
Pc ^np+++??+=PC-3
- ^zz++++=EXTRAWORD
3 ^zz++++=EXTRAWORD
( ^zz++++=(RRID:
rrid ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Cvcl_0035 ^np+++??+=CVCL_0035),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hek293t ^np+++??+=HEK293T
cells ^nns++++=cells
( ^zz++++=(RRID:
rrid ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Cvcl_0063 ^np+++??+=CVCL_0063)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
Atcc ^np+++??+=ATCC.
. ^zz++++=EXTRAWORD
At ^in++++=AT-3
- ^zz++++=EXTRAWORD
3 ^zz++++=EXTRAWORD
cells ^nns++++=cells
( ^zz++++=(RRID:
rrid ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Cvcl_vr89 ^np+++??+=CVCL_VR89)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
gift ^nn++++=gift
from ^in++++=from
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
