Intra ^np+++??+=Intra-sample
- ^zz++++=EXTRAWORD
sample ^nn++++=EXTRAWORD
( ^zz++++=(alpha)
alpha ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
diversity ^nn++++=diversity
was ^vbd+bedz+aux++=was
measured ^vpsv++by+xvbnx+=measured
by ^in++++=by
using ^xvbg+++xvbg+=using
Species ^nns++++=Species
Richness ^nn++++=Richness
and ^cc++++=and
Shannon ^np+++??+=Shannon
s ^zz++++=s
Entropy ^nn++++=Entropy.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
took ^vbd+++xvbn+=took
species ^nn++++=species
richness ^nn++++=richness
as ^in++++=as
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
detected ^vbd+++xvbn+=detected
species ^nns++++=species
in ^in++++=in
a ^at++++=a
sample ^nn++++=sample
after ^cs+sub+++=after
rarefaction ^nn+++??+=rarefaction
to ^to++++=to
1 ^zz++++=1
million ^cd++++=million
reads ^vbz++++=reads.
. ^zz++++=EXTRAWORD
Shannon ^np+++??+=Shannon
s ^zz++++=s
entropy ^nn++++=entropy
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
H ^zz++++=H
= ^zz++++==
a ^at++++=a
i ^pp1a+pp1+++=i
log ^&fo++++=log
2 ^zz++++=2
a ^at++++=a
i ^pp1a+pp1+++=i
where ^wrb+who+++=where
a ^at++++=a
i ^pp1a+pp1+++=i
is ^vbz+bez+vrb++=is
the ^ati++++=the
relative ^jj+atrb+++=relative
abundance ^nn++++=abundance
of ^in++++=of
taxon ^nn+++??+=taxon
i ^pp1a+pp1+++=i
in ^in++++=in
the ^ati++++=the
sample ^nn++++=sample.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
formulation ^nn++++=formulation
is ^vbz+bez+vrb++=is
robust ^jj+pred+++=robust
to ^in++++=to
sample ^nn++++=sample
read ^vbd+vprv++xvbn+=read
depth ^nn++++=depth
and ^cc++++=and
accounts ^nns++++=accounts
for ^in++++=for
the ^ati++++=the
relative ^jj+atrb+++=relative
size ^nn++++=size
of ^in++++=of
each ^dt++++=each
group ^nn++++=group
in ^in++++=in
diversity ^nn++++=diversity
estimation ^nn++++=estimation.
. ^zz++++=EXTRAWORD
For ^in++++=For
alpha ^nn++++=alpha
diversity ^nn++++=diversity
based ^vwbn+++xvbn+=based
on ^in++++=on
k ^zz++++=k
- ^zz++++=-mers
mers ^np++++=EXTRAWORD
or ^cc++++=or
pathways ^nns+++??+=pathways,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
simply ^rb++++=simply
substitute ^vb++++=substitute
the ^ati++++=the
relative ^jj+atrb+++=relative
abundance ^nn++++=abundance
of ^in++++=of
a ^at++++=a
species ^nn++++=species
for ^in++++=for
the ^ati++++=the
relative ^jj+atrb+++=relative
abundance ^nn++++=abundance
of ^in++++=of
the ^ati++++=the
relevant ^jj+atrb+++=relevant
type ^nn++++=type
of ^in++++=of
object ^nn++++=object.
. ^zz++++=EXTRAWORD
