Otus ^np+++??+=OTUs
( ^zz++++=(representative
representative ^nn++++=EXTRAWORD
Mags ^np+++??+=MAGs
from ^in++++=from
a ^at++++=a
cluster ^nn++++=cluster)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
chosen ^vpsv++agls+xvbnx+=chosen
with ^in++++=with
a ^at++++=a
two ^cd++++=two-step
- ^zz++++=EXTRAWORD
step ^vb++++=EXTRAWORD
clustering ^vbg+++xvbg+=clustering
strategy ^nn++++=strategy.
. ^zz++++=EXTRAWORD
Rough ^jj++++=Rough
single ^jj++++=single-linkage
- ^zz++++=EXTRAWORD
linkage ^nn++++=EXTRAWORD
clustering ^xvbg+++xvbg+=clustering
formed ^vprf+++xvbn+=formed
primary ^jj+atrb+++=primary
clusters ^nns++++=clusters
of ^in++++=of
Mags ^np+++??+=MAGs
based ^vwbn+++xvbn+=based
on ^in++++=on
Mash ^np+++??+=Mash
Ani ^np+++??+=ANI
( ^zz++++=(v2.1.1),
v2.1.1 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
intra ^rb++++=intra-cluster
- ^zz++++=EXTRAWORD
cluster ^nn++++=EXTRAWORD
identity ^nn++++=identity
at ^in++++=at
90 ^cd++++=90%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
Mash ^np+++??+=Mash
Ani ^np+++??+=ANI
can ^md+pos+++=can
be ^vb+be+vrb++=be
inaccurate ^jj+pred+++=inaccurate
for ^in++++=for
potentially ^rb++++=potentially
incomplete ^jj+atrb+++=incomplete
genomes ^nns+++??+=genomes
( ^zz++++=(
Olm ^np++++=Olm
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
61 ^cd++++=61.
. ^zz++++=EXTRAWORD
Olm ^np+++??+=Olm,
, ^zz++++=EXTRAWORD
M.r ^np+++??+=M.R.
. ^zz++++=EXTRAWORD
Brown ^jj++++=Brown,
, ^zz++++=EXTRAWORD
C.t ^np+++??+=C.T.
. ^zz++++=EXTRAWORD
Brooks ^nps++++=Brooks,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
drep ^nn+++??+=dRep:
: ^zz++++=EXTRAWORD
a ^at++++=a
tool ^nn++++=tool
for ^in++++=for
fast ^jj+atrb+++=fast
and ^cc+phrs+++=and
accurate ^jj+atrb+++=accurate
genomic ^nn+++??+=genomic
comparisons ^nns++++=comparisons
that ^tht+rel+subj++=that
enables ^vbz++++=enables
improved ^jj+atrb++xvbn+=improved
genome ^nn+++??+=genome
recovery ^nn++++=recovery
from ^in++++=from
metagenomes ^nns+++??+=metagenomes
through ^in++++=through
de ^&fw++++=de-replication
- ^zz++++=EXTRAWORD
replication ^nn+++??+=EXTRAWORD
Isme ^np+++??+=ISME
J ^zz++++=J.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
11 ^cd++++=11
: ^zz++++=:2864-2868
2864 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
