We ^pp1a+pp1+++=We
tested ^vbd+++xvbn+=tested
hippocampal ^nn+++??+=hippocampal
firing ^vwbg+++xvbg+=firing
rates ^nns++++=rates
for ^in++++=for
evidence ^nn++++=evidence
of ^in++++=of
encoding ^nn+++??+=encoding
other ^ap++++=other
relationships ^nns++++=relationships
related ^vbd+++xvbn+=related
to ^in++++=to
value ^nn++++=value,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
that ^dt+pdem+++=that
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
orbitofrontal ^nn+++??+=orbitofrontal
cortex ^nn++++=cortex
( ^zz++++=(
Kennerley ^np++++=Kennerley
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
30 ^cd++++=30.
. ^zz++++=EXTRAWORD
Kennerley ^np+++??+=Kennerley,
, ^zz++++=EXTRAWORD
S.w ^np++++=S.W.
. ^zz++++=EXTRAWORD
Behrens ^np+++??+=Behrens,
, ^zz++++=EXTRAWORD
T.e ^np+++??+=T.E.
. ^zz++++=EXTRAWORD
Wallis ^np++++=Wallis,
, ^zz++++=EXTRAWORD
J.d ^np++++=J.D.
. ^zz++++=EXTRAWORD
Double ^jj+atrb+++=Double
dissociation ^nn++++=dissociation
of ^in++++=of
value ^nn++++=value
computations ^nns++++=computations
in ^in++++=in
orbitofrontal ^nn+++??+=orbitofrontal
and ^cc++++=and
anterior ^jj+atrb+++=anterior
cingulate ^nn+++??+=cingulate
neurons ^nns+++??+=neurons
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Neurosci ^np+++??+=Neurosci.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
14 ^cd++++=14
: ^zz++++=:1581-1589
1581 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1589 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(347)
347 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Padoa ^np+++??+=Padoa-Schioppa,
- ^zz++++=EXTRAWORD
schioppa ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
52 ^cd++++=52.
. ^zz++++=EXTRAWORD
Padoa ^np+++??+=Padoa-Schioppa,
- ^zz++++=EXTRAWORD
schioppa ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
Neuronal ^np+++??+=Neuronal
origins ^nns++++=origins
of ^in++++=of
choice ^nn++++=choice
variability ^nn++++=variability
in ^in++++=in
economic ^jj+atrb+++=economic
decisions ^nns++++=decisions
Neuron ^np+++??+=Neuron.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
80 ^cd++++=80
: ^zz++++=:1322-1336
1322 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1336 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(105)
105 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
defined ^vbd+vprv++xvbn+=defined
three ^cd++++=three
additional ^jj+atrb+++=additional
value ^nn++++=value-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
parameters ^nns++++=parameters
that ^tht+rel+subj++=that
could ^md+pos+++=could
plausibly ^rb++++=plausibly
be ^vb+be+vrb++=be
encoded ^nn+++??+=encoded:
: ^zz++++=EXTRAWORD
value ^nn++++=value
sum ^nn++++=sum,
, ^zz++++=EXTRAWORD
Q ^zz++++=Q
sum ^nn++++=sum
, ^zz++++=,
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
sum ^nn++++=sum
of ^in++++=of
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
pictures ^nns++++=pictures
( ^zz++++=(
Q ^zz++++=Q
1 ^zz++++=1
+ ^zz++++=+
Q ^zz++++=Q
2 ^zz++++=2
+ ^zz++++=+
Q ^zz++++=Q
3 ^zz++++=3
) ^zz++++=),
, ^zz++++=EXTRAWORD
value ^nn++++=value
range ^nn++++=range,
, ^zz++++=EXTRAWORD
Q ^zz++++=Q
rng ^nn+++??+=rng
, ^zz++++=,
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
picture ^nn++++=picture
values ^nns++++=values
( ^zz++++=(
Q ^zz++++=Q
max ^np++++=max
Q ^zz++++=Q
min ^nnu++++=min
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
value ^nn++++=value
difficulty ^nn++++=difficulty,
, ^zz++++=EXTRAWORD
Q ^zz++++=Q
diff ^nn+++??+=diff
, ^zz++++=,
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
discriminability ^nn+++??+=discriminability
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
most ^ap+emph+++=most
valuable ^jj+atrb+++=valuable
pictures ^nns++++=pictures
( ^zz++++=(
Q ^zz++++=Q
max ^np++++=max
Q ^zz++++=Q
mid ^jjb++++=mid
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
regressors ^nns+++??+=regressors
were ^vbd+bed+aux++=were
linearly ^rb++splt++=linearly
related ^vpsv++agls+xvbnx+=related
to ^to++++=to
mean ^vbi+vprv+++=mean
firing ^nvbg+++xvbg+=firing
rates ^nns++++=rates
during ^in++++=during
the ^ati++++=the
fixation ^nn+++??+=fixation
epoch ^nn++++=epoch,
, ^zz++++=EXTRAWORD
Fr ^np+++??+=FR
fix ^vb++++=fix
, ^zz++++=,
as ^ql++++=as:
: ^zz++++=EXTRAWORD
= ^zz++++==
0 ^zz++++=0
+ ^zz++++=+
1 ^zz++++=1
+ ^zz++++=+
2 ^zz++++=2
+ ^zz++++=+
3 ^zz++++=3
The ^ati++++=The
variance ^nn++++=variance
inflation ^nn++++=inflation
factor ^nn++++=factor
for ^in++++=for
this ^dt+dem+++=this
