To ^in++++=To
analyze ^nn+++??+=analyze
the ^ati++++=the
trial ^nn++++=trial-by-trial
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
trial ^nn++++=EXTRAWORD
correlation ^nn++++=correlation
between ^in++++=between
licking ^xvbg+++xvbg+=licking
and ^cc++++=and
neuronal ^nn+++??+=neuronal
responses ^nns++++=responses,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
first ^od++++=first
calculated ^vbd+vprv++xvbn+=calculated
the ^ati++++=the
mean ^nn++++=mean
licking ^vwbg+++xvbg+=licking
rate ^nn++++=rate
and ^cc++++=and
the ^ati++++=the
mean ^jj+atrb+++=mean
activity ^nn++++=activity
( ^zz++++=(z-scored)
z ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
scored ^vbd+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
each ^dt++++=each
neuron ^nn+++??+=neuron
during ^in++++=during
a ^at++++=a
specified ^jj+atrb++xvbn+=specified
time ^nn++++=time
window ^nn++++=window
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cs ^np+++??+=CS,
, ^zz++++=EXTRAWORD
Us ^pp1o+pp1+++=US
or ^cc++++=or
baseline ^jj+atrb++??+=baseline
period ^nn++++=period)
) ^zz++++=EXTRAWORD
in ^in++++=in
each ^dt++++=each
trial ^nn++++=trial.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
subsequently ^rb+tm+++=subsequently
calculated ^vbd+vprv++xvbn+=calculated
the ^ati++++=the
pearson ^np++++=Pearson
correlation ^nn++++=correlation
coefficient ^nn++++=coefficient
between ^in++++=between
these ^dt+dem+++=these
two ^cd++++=two
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
