For ^in++++=For
each ^dt++++=each
combination ^nn++++=combination,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
collected ^vbd+++xvbn+=collected
the ^ati++++=the
posterior ^jj+atrb+++=posterior
probabilities ^nns++++=probabilities
per ^in++++=per
1 ^zz++++=1
Mb ^nnu++++=Mb
run ^vbd+++xvbn+=run
based ^vbd+++xvbn+=based
on ^in++++=on
the ^ati++++=the
gray ^np++++=gray
short ^jj++++=short-tailed
- ^zz++++=EXTRAWORD
tailed ^vbd+++xvbn+=EXTRAWORD
opossum ^nn+++??+=opossum's
's ^$++++=EXTRAWORD
coordinates ^nns++++=coordinates.
. ^zz++++=EXTRAWORD
To ^to++++=To
obtain ^vbi++++=obtain
Ils ^np+++??+=ILS
results ^nns++++=results
in ^in++++=in
the ^ati++++=the
orthologous ^nns+++??+=orthologous
coding ^vwbg+++xvbg+=coding
regions ^nns++++=regions,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
extracted ^vbd+++xvbn+=extracted
the ^ati++++=the
posterior ^jj+atrb+++=posterior
probabilities ^nns++++=probabilities
in ^in++++=in
the ^ati++++=the
coding ^jj+atrb++xvbg+=coding
regions ^nns++++=regions
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
coordinates ^nns++++=coordinates
of ^in++++=of
gray ^np++++=gray
short ^jj++++=short-tailed
- ^zz++++=EXTRAWORD
tailed ^vpsv++agls+xvbn+=EXTRAWORD
opossum ^nn++++=opossum.
. ^zz++++=EXTRAWORD
