Scientists ^nns+nom+++=Scientists
have ^vb+hv+aux++=have
identified ^vprf+++xvbnx+=identified
a ^at++++=a
growing ^jj+atrb++xvbg+=growing
category ^nn++++=category
of ^in++++=of
emerging ^xvbg+++xvbg+=emerging
contaminants ^nns+nom+++=contaminants
in ^in++++=in
water ^nn++++=water
due ^jj++++=due
to ^in+jcmp+++=to
modern ^jj+atrb+++=modern
anthropogenic ^nn++++=anthropogenic
processes ^nns+nom+++=processes
and ^cc++++=and
increased ^jj+atrb++xvbn+=increased
laboratory ^nn++++=laboratory
detection ^nn+nom+++=detection
capabilities ^nns+nom+++=capabilities.
. ^zz++++=EXTRAWORD
Emerging ^vbg+++xvbg+=Emerging
contaminants ^nns+nom+++=contaminants
are ^vb+ber+vrb++=are
substances ^nns+nom+++=substances
with ^in++++=with
a ^at++++=a
perceived ^jj+atrb++xvbn+=perceived
impact ^nn++++=impact
on ^in++++=on
human ^jj+atrb+++=human
or ^cc+phrs+++=or
environmental ^jj+atrb+++=environmental
health ^nn++++=health,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
without ^in++++=without
any ^dti++++=any
published ^jj+atrb++xvbn+=published
health ^nn++++=health
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
substances ^nns+nom+++=substances
include ^vb++++=include
perfluorinated ^jj+atrb++xvbn+=perfluorinated
compounds ^nns++++=compounds,
, ^zz++++=EXTRAWORD
water ^nn++++=water
disinfection ^nn+nom+++=disinfection
byproducts ^nns+++??+=byproducts,
, ^zz++++=EXTRAWORD
gasoline ^nn+++??+=gasoline
additives ^nns++++=additives,
, ^zz++++=EXTRAWORD
pharmaceutical ^jj+atrb+++=pharmaceutical
metabolites ^nns++++=metabolites,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nanoparticles ^nns+++??+=nanoparticles
( ^zz++++=(Lei
lei ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=),
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
microplastics ^nns++++=microplastics
( ^zz++++=(Richardson
richardson ^np++++=EXTRAWORD
& ^zz++++=&
Kimura ^np++++=Kimura,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=),
, ^zz++++=EXTRAWORD
plasticizers ^nns+nom+++=plasticizers,
, ^zz++++=EXTRAWORD
pesticides ^nns+++??+=pesticides,
, ^zz++++=EXTRAWORD
whitening ^jj+atrb++xvbg+=whitening
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
hormones ^nns++++=hormones,
, ^zz++++=EXTRAWORD
x ^zz++++=x-ray
- ^zz++++=EXTRAWORD
ray ^np++++=EXTRAWORD
contrast ^nn++++=contrast
media ^nns++++=media,
, ^zz++++=EXTRAWORD
artificial ^jj+atrb+++=artificial
sweeteners ^nns+nom+++=sweeteners,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flame ^nn++++=flame
retardants ^nns+nom+++=retardants
( ^zz++++=(Pal,
pal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He,
, ^zz++++=EXTRAWORD
Jekel ^np+++??+=Jekel,
, ^zz++++=EXTRAWORD
Reinhard ^np+++??+=Reinhard,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Gin ^nn++++=Gin,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
number ^nn++++=number
of ^in++++=of
regulated ^vbd+++xvbn+=regulated
chemical ^jj+atrb+++=chemical
pollutants ^nns+nom+++=pollutants,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
but ^cc++++=but
a ^at++++=a
tiny ^jj+atrb+++=tiny
fraction ^nn+nom+++=fraction
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
anthropogenic ^jj+atrb+++=anthropogenic
chemicals ^nns+nom+++=chemicals
present ^nn++++=present
in ^in++++=in
the ^ati++++=the
environment ^nn+nom+++=environment
( ^zz++++=(Daughton,
daughton ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
) ^zz++++=).
. ^zz++++=EXTRAWORD
