Brief ^jj+atrb+++=Brief
screener ^jjr+atrb+++=screener
items ^nns++++=items
can ^md+pos+++=can
provide ^vb+vsua+++=provide
alternatives ^nns++++=alternatives
to ^in++++=to
multiple ^jj++++=multiple-item
- ^zz++++=EXTRAWORD
item ^nn++++=EXTRAWORD
scales ^nns++++=scales
as ^in++++=as
an ^at++++=an
effective ^jj+atrb+++=effective
and ^cc+phrs+++=and
efficient ^jj+atrb+++=efficient
means ^nn++++=means
to ^to++++=to
capture ^vbi++++=capture
a ^at++++=a
summary ^nn+nom+++=summary
assessment ^nn+nom+++=assessment
of ^in++++=of
household ^nn++++=household
water ^nn++++=water
insecurity ^nn+nom+++=insecurity.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
research ^nn++++=research,
, ^zz++++=EXTRAWORD
a ^at++++=a
oneor ^nn++++=oneor
two ^cd++++=two-question
- ^zz++++=EXTRAWORD
question ^nn+nom+++=EXTRAWORD
screener ^jjr++++=screener
might ^md+pos+++=might
be ^vb+be+vrb++=be
sufficient ^jj+pred+++=sufficient
to ^to+jcmp+++=to
summarize ^vbi++++=summarize
basic ^jj+atrb+++=basic
issues ^nns++++=issues
of ^in++++=of
low ^jj+atrb+++=low
water ^nn++++=water
quantity ^nn+nom+++=quantity
and ^cc++++=and
quality ^nn+nom+++=quality.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
in ^in++++=in
Wutich ^np+++??+=Wutich
and ^cc++++=and
Brewis ^np+++??+=Brewis'
' ^zz++++=EXTRAWORD
( ^zz++++=(
2019 ^cd++++=2019
) ^zz++++=)
research ^nn++++=research,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
water ^nn++++=water
insecurity ^nn+nom+++=insecurity
is ^vbz+bez+vrb++=is
a ^at++++=a
minor ^jj++++=minor
rather ^rb++++=rather
than ^in++++=than
focal ^jj+atrb+++=focal
variable ^nn++++=variable,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
simply ^rb++++=simply
ask ^vb++++=ask:
: ^zz++++=EXTRAWORD
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
last ^jj+atrb+++=last
month ^nn++++=month,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
a ^at++++=a
time ^nn++++=time
when ^wrb+who+++=when
your ^pp$+pp2+++=your
household ^nn++++=household
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
enough ^dt++++=enough
water ^nn++++=water
for ^in++++=for
drinking ^xvbg+++xvbg+=drinking,
, ^zz++++=EXTRAWORD
cooking ^nvbg+++xvbg+=cooking,
, ^zz++++=EXTRAWORD
bathing ^nvbg+++xvbg+=bathing,
, ^zz++++=EXTRAWORD
handwashing ^jj+++xvbg+=handwashing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
household ^nn++++=household
tasks ^nns++++=tasks?
? ^zz++++=EXTRAWORD
[ ^zz++++=[quantity]
quantity ^nn+nom+++=EXTRAWORD
] ^zz++++=EXTRAWORD
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
last ^jj+atrb+++=last
month ^nn++++=month,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
you ^pp2+pp2+++=you
describe ^vb++++=describe
the ^ati++++=the
water ^nn++++=water
your ^pp$+pp2+++=your
household ^nn++++=household
used ^vwbn+++xvbn+=used
as ^ql++++=as
acceptable ^jj+atrb+++=acceptable
quality ^nn+nom+++=quality?
? ^zz++++=EXTRAWORD
[ ^zz++++=[quality]
quality ^nn+nom+++=EXTRAWORD
] ^zz++++=EXTRAWORD
While ^cs+sub+++=While
a ^at++++=a
water ^nn++++=water
insecurity ^nn+nom+++=insecurity
screener ^jjr++++=screener
provides ^vbz+vsua+++=provides
less ^rbr++++=less
precise ^jj+atrb+++=precise
measurement ^nn+nom+++=measurement
than ^in++++=than
scales ^nns++++=scales,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
easily ^rb++splt++=easily
deployed ^vpsv++agls+xvbnx+=deployed
cross ^jj++++=cross-culturally
- ^zz++++=EXTRAWORD
culturally ^rb++++=EXTRAWORD
and ^cc++++=and
has ^vbz+hvz+vrb++=has
a ^at++++=a
much ^ap++++=much
lower ^jjr+atrb+++=lower
respondent ^jj+atrb+++=respondent
burden ^nn++++=burden
than ^in++++=than
a ^at++++=a
scale ^nn++++=scale
if ^cs+cnd+++=if
detailed ^jj+atrb+++=detailed
water ^nn++++=water
insecurity ^nn+nom+++=insecurity
information ^nn+nom+++=information
is ^vbz+bez+aux++=is
not ^xnot++not++=not
required ^vbd+++xvbn+=required
( ^zz++++=(eg,
eg ^nn+cnj++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
included ^vbd+++xvbn+=included
in ^in++++=in
a ^at++++=a
study ^nn++++=study
as ^ql++++=as
a ^at++++=a
covariate ^nn+nom+++=covariate).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
