Along ^in++++=Along
this ^dt+dem+++=this
vein ^nn++++=vein
consideration ^nn+nom+++=consideration
of ^in++++=of
which ^whp+rel+pied++=which
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn+nom+++=EXTRAWORD
connections ^nns+nom+++=connections
might ^md+pos+++=might
be ^vb+be+vrb++=be
better ^jjr++++=better
positioned ^jj+++xvbn+=positioned
to ^to++++=to
help ^vbi++++=help
during ^in++++=during
times ^nns++++=times
of ^in++++=of
shortfall ^nn+++??+=shortfall
it ^pp3+it+++=it
would ^md+prd+++=would
also ^rb++++=also
be ^vb+be+vrb++=be
reasonable ^jj+pred+++=reasonable
to ^to+jcmp+++=to
consider ^nn+nom+++=consider
whether ^cs+who+++=whether
a ^at++++=a
diversified ^jj+atrb++xvbn+=diversified
risk ^nn++++=risk
management ^nn+nom+++=management
portfolio ^nn++++=portfolio
included ^vbd+++xvbn+=included
not ^xnot++not++=not
only ^rb+down+++=only
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn+nom+++=EXTRAWORD
connections ^nns+nom+++=connections
in ^in++++=in
various ^jj+atrb+++=various
locations ^nns+nom+++=locations,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
in ^in++++=in
various ^jj+atrb+++=various
professions ^nns++++=professions.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
drought ^nn++++=drought
strikes ^nns++++=strikes
the ^ati++++=the
entire ^jjb++++=entire
La ^&fw++++=La
Paz ^np+++??+=Paz
Department ^nn+nom+++=Department,
, ^zz++++=EXTRAWORD
connections ^nns+nom+++=connections
working ^vwbg+++xvbg+=working
in ^in++++=in
an ^at++++=an
industry ^nn++++=industry
other ^ap++++=other
than ^in++++=than
agriculture ^nn++++=agriculture
might ^md+pos+++=might
be ^vb+be+vrb++=be
best ^jjt++++=best
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
help ^vb++++=help
an ^at++++=an
individual ^nn+nom+++=individual
from ^in++++=from
a ^at++++=a
horticultural ^jj+atrb+++=horticultural
community ^nn+nom+++=community,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
live ^vb++++=live
in ^in++++=in
the ^ati++++=the
capital ^nn++++=capital
city ^nn++++=city
or ^cc++++=or
just ^rb+emph+++=just
down ^in++++=down
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
do ^vb+do+aux++=do
not ^xnot++not++=not
have ^vb+hv+vrb++=have
information ^nn+nom+++=information
on ^in++++=on
the ^ati++++=the
occupations ^nns+nom+++=occupations
of ^in++++=of
participants ^nns+nom+++=participants'
' ^zz++++=EXTRAWORD
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn+nom+++=EXTRAWORD
connections ^nns+nom+++=connections,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
strategy ^nn++++=strategy
for ^in++++=for
diversifying ^jj+atrb+++=diversifying
one ^cd1++++=one's
's ^vbz+bez+aux++0=EXTRAWORD
portfolio ^nn++++=portfolio
should ^md+nec+++=should
be ^vb+be+aux++=be
studied ^vprf+++xvbn+=studied
in ^in++++=in
future ^jjb+atrb+++=future
work ^nn++++=work.
. ^zz++++=EXTRAWORD
