Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
The ^ati++++=The
students ^nns++++=students
evaluated ^vwbn+++xvbn+=evaluated
in ^in++++=in
2018 ^cd++++=2018
were ^vbd+bed+vrb++=were
1.7 ^cd++++=1.7
cm ^nnu++++=cm
taller ^jjr++++=taller
than ^in++++=than
their ^pp$+pp3+++=their
peers ^nns++++=peers
tested ^vwbn+++xvbn+=tested
in ^in++++=in
2000 ^cd++++=2000.
. ^zz++++=EXTRAWORD
Body ^nn++++=Body
mass ^nn++++=mass
and ^cc++++=and
Bmi ^np+++??+=BMI
values ^nns++++=values
continued ^vbd+++xvbn+=continued
to ^to++++=to
decrease ^vbi++++=decrease
between ^in++++=between
2000 ^cd++++=2000
and ^cc++++=and
2006 ^cd++++=2006
( ^zz++++=(by
by ^in++++=EXTRAWORD
0.46 ^nn+++??+=0.46
kg ^nnu++++=kg
and ^cc++++=and
0.15 ^nn+++??+=0.15
kg ^nnu++++=kg/m
2 ^zz++++=2
per ^in++++=per
year ^nn++++=year
on ^in++++=on
average ^jj++++=average),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
a ^at++++=a
steady ^jj+atrb+++=steady
and ^cc+phrs+++=and
significant ^jj+atrb+++=significant
increase ^nn++++=increase
in ^in++++=in
both ^abx++++=both
parameters ^nns+nom+++=parameters
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
between ^in++++=between
2006 ^cd++++=2006
and ^cc++++=and
2018 ^cd++++=2018
( ^zz++++=(by
by ^in++++=EXTRAWORD
0.45 ^nn+++??+=0.45
kg ^nnu++++=kg
and ^cc++++=and
0.12 ^nn+++??+=0.12
kg ^nnu++++=kg/m
2 ^zz++++=2
per ^in++++=per
year ^nn++++=year
on ^in++++=on
average ^jj++++=average).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
motor ^nn++++=motor
tests ^nns++++=tests
were ^vbd+bed+aux++=were
strongly ^rb+amp+splt++=strongly
correlated ^vpsv++agls+xvbnx+=correlated
with ^in++++=with
body ^nn++++=body
mass ^nn++++=mass
and ^cc++++=and
Bmi ^np+++??+=BMI,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
continued ^vbd+++xvbnx+=continued
to ^to++++=to
improve ^vbi++++=improve
until ^in++++=until
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
a ^at++++=a
steady ^nn++++=steady
decline ^vb++++=decline
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
up ^rp++++=up
to ^to++++=to
2018 ^cd++++=2018
when ^wrb+who+++=when
the ^ati++++=the
students ^nns++++=students
scored ^vbd+++xvbn+=scored
lowest ^jjt++++=lowest
in ^in++++=in
motor ^nn++++=motor
tests ^nns++++=tests.
. ^zz++++=EXTRAWORD
