Recently ^rb+cnj+++=Recently,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
Washburn ^np++++=Washburn's
's ^$++++=EXTRAWORD
emphasis ^nn++++=emphasis
on ^in++++=on
antagonistic ^jj+atrb+++=antagonistic
selective ^jj+atrb+++=selective
pressures ^nns++++=pressures
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
critiqued ^vpsv++agls+xvbnx+=critiqued
from ^in++++=from
several ^ap++++=several
angles ^nns++++=angles
( ^zz++++=(Dunsworth
dunsworth ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
Stone ^nn++++=Stone,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Walrath ^np+++??+=Walrath,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
; ^zz++++=;
Warrener ^np+nom++??+=Warrener
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
; ^zz++++=;
Wells ^np++++=Wells
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
Collectively ^np+++??+=Collectively,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
authors ^nns++++=authors
have ^vb+hv+aux++=have
argued ^vprf+++xvbnx+=argued
that ^tht+vcmp+++=that
the ^ati++++=the
human ^jj+atrb+++=human
obstetrical ^jj+atrb+++=obstetrical
dilemma ^nn++++=dilemma
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
considered ^vpsv++agls+xvbnx+=considered
too ^ql++++=too
much ^ap++++=much
of ^in++++=of
a ^at++++=a
given ^jj+++xvbn+=given,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
women ^nns++++=women's
's ^vbz+bez+vrb++0=EXTRAWORD
pelvic ^jj+atrb+++=pelvic
variability ^nn+nom+++=variability
is ^vbz+bez+vrb++=is
unrelated ^jj+pred+++=unrelated
to ^in++++=to
the ^ati++++=the
efficiency ^nn++++=efficiency
of ^in++++=of
locomotion ^nn+nom+++=locomotion
( ^zz++++=(Warrener
warrener ^jjr++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=),
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
short ^jj+atrb+++=short
duration ^nn+nom+++=duration
of ^in++++=of
pregnancy ^nn++++=pregnancy
is ^vbz+bez+aux++=is
linked ^vpsv++agls+xvbnx+=linked
with ^in++++=with
maternal ^jj+atrb+++=maternal
energetic ^jj+atrb+++=energetic
constraints ^nns+++??+=constraints
on ^in++++=on
fetal ^jj+atrb+++=fetal
growth ^nn++++=growth
( ^zz++++=(Dunsworth
dunsworth ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=),
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
physical ^jj+atrb+++=physical
dimensions ^nns++++=dimensions
relevant ^jj++++=relevant
to ^in++++=to
childbirth ^nn++++=childbirth
vary ^vb++++=vary
in ^in++++=in
association ^nn+nom+++=association
with ^in++++=with
local ^jj+atrb+++=local
ecological ^jj+atrb+++=ecological
conditions ^nns+nom+++=conditions
( ^zz++++=(Wells
wells ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
childbirth ^nn++++=childbirth
complications ^nns+nom+++=complications
could ^md+pos+++=could
be ^vb+be+aux++=be
reduced ^vpsv++agls+xvbnx+=reduced
if ^cs+cnd+++=if
traditional ^jj+atrb+++=traditional
birthing ^jj+atrb++xvbg+=birthing
positions ^nns+nom+++=positions
and ^cc++++=and
social ^jj+atrb+++=social
strategies ^nns+++??+=strategies
were ^vbd+bed+aux++=were
more ^rbr++splt++=more
widely ^rb++++=widely
used ^vbd+++xvbn+=used
( ^zz++++=(Rosenberg
rosenberg ^np++++=EXTRAWORD
& ^zz++++=&
trevathan ^np+nom+++=Trevathan,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
stone ^nn++++=Stone,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
