Informed ^vbd+vpub++xvbn+=Informed
written ^vprf+++xvbn+=written
consent ^nn++++=consent
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
from ^in++++=from
all ^abn++++=all
participants ^nns++++=participants
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
guardians ^nns++++=guardians
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
aged ^jj+pred+++=aged
< ^zz++++=<18
18 ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Research ^nn++++=Research
ethics ^nn++++=ethics
approval ^nn++++=approval
was ^vbd+bedz+aux++=was
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
the ^ati++++=the
Nepal ^np++++=Nepal
Health ^nn++++=Health
Research ^nn++++=Research
Council ^nn++++=Council
( ^zz++++=(NHRC)
nhrc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(108/2012)
108 ^cd++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
University ^npl++++=University
College ^npl++++=College
London ^np++++=London
( ^zz++++=(UCL)
ucl ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Ethical ^jj+atrb+++=Ethical
Review ^nn++++=Review
Committee ^nn++++=Committee
( ^zz++++=(4198/001)
4198 ^cd++++=EXTRAWORD
for ^in++++=for
primary ^jj+atrb+++=primary
data ^nns++++=data
collection ^nn++++=collection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
Nhrc ^np+++??+=NHRC
( ^zz++++=(292/2018)
292 ^cd++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Ucl ^np+++??+=UCL
Ethical ^jj+atrb+++=Ethical
Review ^nn++++=Review
Committee ^nn++++=Committee
 ^zz++++=(0326/015)
326 ^np++++=EXTRAWORD
For ^in++++=for
The ^ati++++=the
Secondary ^jj+atrb+++=secondary
Analyses ^nns++++=analyses
Presented ^vbd+++xvbn+=presented
Here ^rn+pl+++=here.
 ^zz++++=EXTRAWORD
