Sex ^nn++++=Sex
differences ^nns++++=differences
in ^in++++=in
undernutrition ^nn+++??+=undernutrition
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
widely ^rb++splt++=widely
reported ^vpsv++agls+xvbn+=reported
in ^in++++=in
low ^jj++++=low
and ^cc+phrs+++=and
middle ^jjb++++=middle-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries
( ^zz++++=(Andersen
andersen ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
; ^zz++++=;
Martorell ^np+++??+=Martorell
& ^zz++++=&
Zongrone ^np+++??+=Zongrone,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
Schoenbuchner ^np+++??+=Schoenbuchner
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
; ^zz++++=;
Thurstans ^np+++??+=Thurstans
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
; ^zz++++=;
Victora ^np+++??+=Victora
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
; ^zz++++=;
Wamani ^np+++??+=Wamani
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
; ^zz++++=;
Young ^jj++++=Young
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Examination ^nn++++=Examination
of ^in++++=of
the ^ati++++=the
2016 ^cd++++=2016
( ^zz++++=(Ministry
ministry ^nn++++=EXTRAWORD
of ^in++++=of
Health ^nn++++=Health
Nepal ^np++++=Nepal,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
Era ^nn++++=ERA,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Icf ^np+++??+=ICF,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=)
Nepal ^np++++=Nepal
Dhs ^np+++??+=DHS
survey ^vb++++=survey
shows ^vbz+vprv+tht0++=shows
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
in ^in++++=in
our ^pp$+pp1+++=our
study ^nn++++=study,
, ^zz++++=EXTRAWORD
stunting ^nn+++??+=stunting
prevalence ^nn+++??+=prevalence
was ^vbd+bedz+vrb++=was
generally ^rb+down+++=generally
higher ^jjr+pred+++=higher
in ^in++++=in
boys ^nns++++=boys
than ^in++++=than
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
In ^in++++=In
our ^pp$+pp1+++=our
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
