Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
Camp ^nn++++=Camp
attendees ^nns+nom+++=attendees
displayed ^vbd+++xvbn+=displayed
very ^ql+amp+++=very
low ^jj+atrb+++=low
values ^nns++++=values
of ^in++++=of
height ^nn++++=height
and ^cc++++=and
hand ^nn++++=hand
grip ^nn++++=grip
strength ^nn++++=strength
in ^in++++=in
both ^abx++++=both
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
are ^vb+ber+vrb++=are
significantly ^rb++++=significantly
lower ^jjr+pred+++=lower
than ^in++++=than
contemporary ^nn+nom+++=contemporary
values ^nns++++=values,
, ^zz++++=EXTRAWORD
manifesting ^jj++++=manifesting
a ^at++++=a
secular ^jj+atrb+++=secular
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
