Sample ^nn++++=Sample
and ^cc++++=and
Method ^nn++++=Method:
: ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
revisited ^vwbn+++xvbn+=revisited
height ^nn++++=height
from ^in++++=from
archeological ^jj+atrb+++=archeological
data ^nns++++=data
( ^zz++++=(10
10 ^cd++++=EXTRAWORD
000 ^nn+++??+=000
1000 ^cd++++=1000
Bc ^&fo++++=BC),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
historical ^jj+atrb+++=historical
growth ^nn++++=growth
studies ^nns++++=studies
( ^zz++++=(1877
1877 ^cd+date+++=EXTRAWORD
1913 ^cd+date+++=1913).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
analyzed ^vbd+++xvbn+=analyzed
height ^nn++++=height,
, ^zz++++=EXTRAWORD
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
skinfold ^jj+atrb++??+=skinfold
thickness ^nns+nom+++=thickness
of ^in++++=of
1666 ^cd+date+++=1666
Indonesian ^np+++??+=Indonesian
schoolchildren ^vbd+++xvbn+=schoolchildren
from ^in++++=from
six ^cd++++=six
representative ^jj++++=representative
rural ^jj++++=rural
and ^cc+phrs+++=and
urban ^jj+atrb+++=urban
elementary ^jj+atrb+++=elementary
schools ^nns++++=schools
in ^in++++=in
Bali ^np+++??+=Bali
and ^cc++++=and
West ^np+pl+++=West
Timor ^np+++??+=Timor
With ^in++++=with
A ^at++++=a
Stunting ^jj+atrb+++=stunting
Prevalence ^nn+nom+++=prevalence
Of ^in++++=of
Up ^rp++++=up
To ^to++++=to
0 ^cd++++=50%.
 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
