Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
based ^xvbn+++xvbn+=based
on ^in++++=on
environmental ^jj+atrb+++=environmental
models ^nns++++=models,
, ^zz++++=EXTRAWORD
contemporary ^nn+nom+++=contemporary
expressions ^nns++++=expressions
of ^in++++=of
environmentallyor ^nn++++=environmentallyor
socially ^rb++++=socially-patterned
- ^zz++++=EXTRAWORD
patterned ^jj+atrb+++=EXTRAWORD
race ^nn++++=race
and ^cc++++=and
biology ^nn++++=biology
do ^vb+do+vrb++=do
not ^xnot++not++=not
extrapolate ^nn+nom+++=extrapolate
seamlessly ^jj++++=seamlessly
from ^in++++=from
these ^dt+dem+++=these
recurring ^jj+atrb+++=recurring
patterns ^nns++++=patterns
and ^cc++++=and
historical ^jj+atrb+++=historical
examples ^nns++++=examples.
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
convergence ^nn+nom+++=convergence
between ^in++++=between
current ^jj+atrb+++=current
models ^nns++++=models
and ^cc++++=and
the ^ati++++=the
pre ^nn+++??+=pre-modern
- ^zz++++=EXTRAWORD
modern ^jj+atrb+++=EXTRAWORD
ideas ^nns++++=ideas
that ^tht+ncmp+obj++=that
we ^pp1a+pp1+++=we
discuss ^vb++++=discuss
is ^vbz+bez+aux++=is
unfolding ^vbg+++xvbgx+=unfolding
despite ^in++++=despite
the ^ati++++=the
unique ^jj+atrb+++=unique
confluence ^nn+nom+++=confluence
of ^in++++=of
political ^jj++++=political,
, ^zz++++=EXTRAWORD
economic ^jj++++=economic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scientific ^jj+atrb+++=scientific
realities ^nns+nom+++=realities
that ^tht+rel+subj++=that
inspire ^vb++++=inspire
contemporary ^nn+nom+++=contemporary
postgenomic ^jj+atrb+++=postgenomic
scholarship ^nn+nom+++=scholarship
around ^rp++++=around
race ^nn++++=race.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
obviously ^rb+cnj+++=obviously,
, ^zz++++=EXTRAWORD
work ^nn++++=work
in ^in++++=in
fields ^nns++++=fields
like ^in++++=like
Dohad ^np+++??+=DOHaD
and ^cc++++=and
environmental ^jj+atrb+++=environmental
epigenetics ^nns++++=epigenetics
has ^vbz+hvz+vrb++=has
the ^ati++++=the
explicit ^jj+atrb+++=explicit
goal ^nn++++=goal
of ^in++++=of
clarifying ^xvbg+++xvbg+=clarifying
the ^ati++++=the
causes ^nns++++=causes
of ^in++++=of
preventable ^jj+atrb+++=preventable
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
Overwhelmingly ^np+++??+=Overwhelmingly,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
good ^jj+atrb+++=good
intentions ^nns+nom+++=intentions
to ^to++++=to
clarify ^vbi++++=clarify
pathways ^rb+cnj+++=pathways,
, ^zz++++=EXTRAWORD
reduce ^vb++++=reduce
societal ^jj+atrb+++=societal
impacts ^nns+++??+=impacts,
, ^zz++++=EXTRAWORD
