On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
Symul ^np+++??+=Symul
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
2020 ^cd++++=2020
) ^zz++++=)
found ^vbd+vprv++xvbn+=found
all ^abn++++=all
countries ^nns++++=countries
considered ^vwbn+vprv++xvbn+=considered
in ^in++++=in
their ^pp$+pp3+++=their
study ^nn++++=study
having ^vwbg+++xvbg+=having
elevated ^jj+atrb++xvbn+=elevated
sexual ^jj+atrb+++=sexual
activity ^nn+nom+++=activity
on ^in++++=on
weekends ^nns++++=weekends
and ^cc++++=and
decreased ^vbd+++xvbn+=decreased
sexual ^jj+atrb+++=sexual
activity ^nn+nom+++=activity
on ^in++++=on
weekdays ^nns++++=weekdays
and ^cc++++=and
elevated ^jj+atrb++xvbn+=elevated
sexual ^jj+atrb+++=sexual
activity ^nn+nom+++=activity
on ^in++++=on
holidays ^nns++++=holidays.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
importantly ^rb+cnj+++=importantly,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
locations ^nns+nom+++=locations,
, ^zz++++=EXTRAWORD
the ^ati++++=the
time ^nn++++=time
between ^in++++=between
Christmas ^np++++=Christmas
and ^cc++++=and
New ^jj+atrb+++=New
Year ^nn++++=Year
had ^vb+hv+vrb++=had
the ^ati++++=the
highest ^jjt+atrb+++=highest
level ^nn++++=level
of ^in++++=of
sexual ^jj+atrb+++=sexual
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
that ^tht+vcmp+++=that
sexual ^jj+atrb+++=sexual
activity ^nn+nom+++=activity
is ^vbz+bez+aux++=is
strongly ^rb+amp+splt++=strongly
structured ^vpsv++agls+xvbnx+=structured
around ^rp++++=around
holidays ^nns++++=holidays,
, ^zz++++=EXTRAWORD
weekends ^nns++++=weekends,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
locations ^nns+nom+++=locations,
, ^zz++++=EXTRAWORD
summer ^nn++++=summer
months ^nns++++=months.
. ^zz++++=EXTRAWORD
Compared ^j+++xvbn+=Compared
to ^in++++=to
annual ^jj+atrb+++=annual
vacations ^nns+nom+++=vacations
that ^tht+rel+subj++=that
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
more ^ql++++=more
spread ^vb+++xvbn+=spread
along ^in++++=along
the ^ati++++=the
year ^nn++++=year
( ^zz++++=(Grigolon
grigolon ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=),
, ^zz++++=EXTRAWORD
Christmas ^np++++=Christmas
vacations ^nns+nom+++=vacations
are ^vb+ber+vrb++=are
widely ^rb++++=widely
generalized ^jj+pred+++=generalized
and ^cc+phrs+++=and
focused ^jj+++xvbn+=focused
on ^in++++=on
specific ^jj+atrb+++=specific
days ^nns++++=days.
. ^zz++++=EXTRAWORD
As ^ql++++=As
weekends ^nns++++=weekends
are ^vb+ber+aux++=are
uniformly ^rb++splt++=uniformly
distributed ^vpsv++agls+xvbnx+=distributed
throughout ^in++++=throughout
the ^ati++++=the
year ^nn++++=year
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
explain ^vb+vpub+++=explain
monthly ^jj+atrb+++=monthly
seasonality ^nn+nom+++=seasonality,
, ^zz++++=EXTRAWORD
summer ^nn++++=summer
and ^cc++++=and
primary ^jj+atrb+++=primary
Christmas ^np++++=Christmas
holidays ^nns++++=holidays
may ^md+pos+++=may
be ^vb+be+vrb++=be
the ^ati++++=the
periods ^nns++++=periods
with ^in++++=with
the ^ati++++=the
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
affect ^vb++++=affect
birth ^nn++++=birth
seasonality ^nn+nom+++=seasonality.
. ^zz++++=EXTRAWORD
