Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
no ^at++++=no
matter ^nn++++=matter
what ^wdt+who+++=what
the ^ati++++=the
overall ^jjb+atrb+++=overall
seasonal ^jj+atrb+++=seasonal
pattern ^nn++++=pattern
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
high ^jj+atrb+++=high
educated ^jj+atrb++xvbn+=educated
women ^nns++++=women,
, ^zz++++=EXTRAWORD
married ^j+++xvbn+=married
and ^cc+phrs+++=and
pregnant ^jj++++=pregnant
with ^in++++=with
their ^pp$+pp3+++=their
second ^od++++=second
child ^nn++++=child
showed ^vbd+vprv++xvbn+=showed
higher ^jjr+atrb+++=higher
birth ^nn++++=birth
rates ^nns++++=rates
during ^in++++=during
the ^ati++++=the
spring ^nn++++=spring
and ^cc++++=and
a ^at++++=a
pattern ^nn++++=pattern
of ^in++++=of
depressed ^jj+atrb++xvbn+=depressed
birth ^nn++++=birth
rates ^nns++++=rates
in ^in++++=in
November ^nr+nom+++=November
and ^cc++++=and
December ^nr+nom+++=December
also ^rb++++=also
in ^in++++=in
Sweden ^np++++=Sweden
( ^zz++++=(Dahlberg
dahlberg ^nn+++??+=EXTRAWORD
& ^zz++++=&
Andersson ^np+++??+=Andersson,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=),
, ^zz++++=EXTRAWORD
Czech ^jj+atrb+++=Czech
Republic ^nn++++=Republic
( ^zz++++=(Bobak
bobak ^nn+++??+=EXTRAWORD
& ^zz++++=&
Gjonca ^np+++??+=Gjonca,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001
) ^zz++++=),
, ^zz++++=EXTRAWORD
Mexico ^np++++=Mexico
( ^zz++++=(Azcorra
azcorra ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=)
and ^cc++++=and
Iran ^np+++??+=Iran
( ^zz++++=(Khajavi
khajavi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
in ^in++++=in
France ^np++++=France
and ^cc++++=and
Holland ^np++++=Holland
the ^ati++++=the
dates ^nns++++=dates
of ^in++++=of
birth ^nn++++=birth
for ^in++++=for
second ^od++++=second
children ^nns++++=children
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
planned ^vpsv++agls+xvbnx+=planned
often ^rb++++=often
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring
( ^zz++++=(Prioux,
prioux ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1988 ^cd+date+++=1988
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
suggest ^vbi+vpub+++=suggest
that ^tht+vcmp+++=that
a ^at++++=a
higher ^jjr+atrb+++=higher
need ^nn++++=need,
, ^zz++++=EXTRAWORD
willing ^jj++++=willing
or ^cc++++=or
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
plan ^vb++++=plan
births ^nns++++=births
in ^in++++=in
spring ^nn++++=spring
and ^cc++++=and
to ^to++++=to
avoid ^vbi++++=avoid
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
year ^nn++++=year
arise ^vb++++=arise
specifically ^rb++++=specifically
in ^in++++=in
these ^dt+dem+++=these
sociodemographic ^nn++++=sociodemographic
groups ^nns++++=groups
of ^in++++=of
women ^nns++++=women.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
explanation ^nn+nom+++=explanation
would ^md+prd+++=would
not ^xnot++not++=not
alternatively ^rb+cnj+++=alternatively
but ^cc+phrs+++=but
additionally ^rb++++=additionally
explain ^vb+vpub+++=explain
the ^ati++++=the
differences ^nns+nom+++=differences
among ^in++++=among
different ^jj+atrb+++=different
sociodemographic ^nn++++=sociodemographic
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
A ^at++++=A
general ^jj+atrb+++=general
preference ^nn+nom+++=preference
for ^in++++=for
spring ^nn++++=spring
is ^vbz+bez+aux++=is
shown ^vpsv++agls+xvbnx+=shown
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature:
: ^zz++++=EXTRAWORD
for ^in++++=for
pregnancies ^nns++++=pregnancies
planned ^vwbn+++xvbn+=planned
between ^in++++=between
1970 ^cd+date+++=1970
and ^cc++++=and
1993 ^cd+date+++=1993,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
reported ^vpsv++agls+xvbnx+=reported
that ^tht+vcmp+++=that
in ^in++++=in
Spain ^np++++=Spain,
, ^zz++++=EXTRAWORD
Italy ^np++++=Italy
and ^cc++++=and
Denmark ^np++++=Denmark,
, ^zz++++=EXTRAWORD
women ^nns++++=women
preferred ^vbd+++xvbn+=preferred
to ^to+vcmp+++=to
give ^vbi++++=give
birth ^nn++++=birth
in ^in++++=in
spring ^nn++++=spring
( ^zz++++=(Basso
basso ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
France ^np++++=France,
, ^zz++++=EXTRAWORD
a ^at++++=a
proportion ^nn+nom+++=proportion
of ^in++++=of
couples ^nns++++=couples
( ^zz++++=(around
around ^rp++++=EXTRAWORD
one ^pn++++=one
in ^in++++=in
seven ^cd++++=seven)
) ^zz++++=EXTRAWORD
attempt ^nn++++=attempt
to ^to+ncmp+++=to
schedule ^vbi++++=schedule
their ^pp$+pp3+++=their
child ^nn++++=child's
's ^$++++=EXTRAWORD
birth ^nn++++=birth,
, ^zz++++=EXTRAWORD
