This ^dt+dem+++=This
study ^nn++++=study
utilized ^vbd+++xvbn+=utilized
both ^abx++++=both
femoral ^jj++++=femoral
and ^cc++++=and
tibial ^nn+++??+=tibial
lengths ^nns++++=lengths
as ^in++++=as
an ^at++++=an
internal ^jj+atrb+++=internal
control ^nn++++=control,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn++++=addition
to ^to++++=to
comparing ^vbi++++=comparing
results ^nns++++=results
for ^in++++=for
total ^jj+atrb+++=total
lower ^jjr+atrb+++=lower
limb ^nn++++=limb
length ^nn++++=length.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
from ^in++++=from
the ^ati++++=the
tibia ^nn++++=tibia
revealed ^vbd+vprv++xvbn+=revealed
more ^rbr++++=more
dramatic ^jj+atrb+++=dramatic
changes ^nns++++=changes
in ^in++++=in
both ^abx++++=both
bone ^nn++++=bone
length ^nn++++=length
and ^cc++++=and
D ^zz++++=D
index ^nn++++=index
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
than ^in++++=than
did ^vbd+dod+vrb++=did
the ^ati++++=the
femoral ^jj+atrb+++=femoral
data ^nns++++=data.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
interesting ^jj+pred+++=interesting
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
absolute ^jj+atrb+++=absolute
tibial ^nn+++??+=tibial
long ^rb++++=long
bone ^nn++++=bone
lengths ^nns++++=lengths
and ^cc++++=and
calculated ^vbd+vprv++xvbn+=calculated
D ^zz++++=D
index ^nn++++=index
values ^nns++++=values
for ^in++++=for
the ^ati++++=the
tibia ^nn++++=tibia
displayed ^vbd+++xvbn+=displayed
the ^ati++++=the
same ^ap++++=same
pattern ^nn++++=pattern
across ^in+pl+++=across
time ^nn++++=time
periods ^nns++++=periods.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
average ^jj+atrb+++=average
tibial ^nn+++??+=tibial
lengths ^nns++++=lengths
decreased ^vbd+++xvbn+=decreased
for ^in++++=for
males ^nns++++=males
and ^cc++++=and
females ^nns++++=females,
, ^zz++++=EXTRAWORD
so ^ql++++=so
did ^vbd+dod+vrb++=did
the ^ati++++=the
D ^zz++++=D
index ^nn++++=index
value ^nn++++=value
in ^in++++=in
the ^ati++++=the
late ^jj+atrb+++=late
pre ^nn+++??+=pre-Black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
Death ^nn++++=Death
period ^nn++++=period;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
in ^in++++=in
the ^ati++++=the
post ^nn++++=post-Black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
Death ^nn++++=Death
period ^nn++++=period,
, ^zz++++=EXTRAWORD
both ^abx++++=both
average ^jj+atrb+++=average
tibial ^nn+++??+=tibial
lengths ^nns++++=lengths
and ^cc++++=and
the ^ati++++=the
D ^zz++++=D
index ^nn++++=index
increased ^vbd+++xvbn+=increased.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
femoral ^jj+atrb+++=femoral
data ^nns++++=data,
, ^zz++++=EXTRAWORD
average ^jj++++=average
male ^jj++++=male
and ^cc+phrs+++=and
female ^jj+atrb+++=female
femoral ^jj+atrb+++=femoral
lengths ^nns++++=lengths
increased ^vbd+++xvbn+=increased
in ^in++++=in
the ^ati++++=the
late ^jj+atrb+++=late
pre ^nn+++??+=pre-Black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
Death ^nn++++=Death
period ^nn++++=period
but ^cc++++=but
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
the ^ati++++=the
D ^zz++++=D
index ^nn++++=index
rose ^vbd+++xvbn+=rose
slightly ^rb+down+++=slightly.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
female ^nn++++=female
femoral ^jj++++=femoral
length ^rb++++=length
decreased ^vprf+++xvbn+=decreased
at ^rb++++=at
a ^at++++=a
greater ^jjr+atrb+++=greater
rate ^nn++++=rate
than ^in++++=than
the ^ati++++=the
male ^jj+atrb+++=male
femoral ^jj+atrb+++=femoral
length ^nn++++=length.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
framework ^nn++++=framework
of ^in++++=of
developmental ^nn+++??+=developmental
plasticity ^nn++++=plasticity,
, ^zz++++=EXTRAWORD
differential ^jj+atrb+++=differential
femoral ^jj+atrb+++=femoral
and ^cc+phrs+++=and
tibial ^jj+atrb++??+=tibial
growth ^nn++++=growth
may ^md+pos+++=may
be ^vb+be+aux++=be
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
the ^ati++++=the
distal ^jj+atrb+++=distal
blood ^nn++++=blood
flow ^nn++++=flow
hypothesis ^nn++++=hypothesis,
, ^zz++++=EXTRAWORD
originally ^rb+tm+++=originally
proposed ^jj+++xvbn+=proposed
to ^to++++=to
explain ^vbi+vpub+++=explain
the ^ati++++=the
relative ^jj+atrb+++=relative
stunting ^nn+++??+=stunting
of ^in++++=of
the ^ati++++=the
tibia ^nn+++??+=tibia
in ^in++++=in
utero ^nn++++=utero
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
head ^nn++++=head,
, ^zz++++=EXTRAWORD
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
upper ^jjb+atrb+++=upper
limbs ^nns++++=limbs
from ^in++++=from
hypoxia ^nn++++=hypoxia
induced ^vwbn+++xvbn+=induced
by ^in++++=by
exposure ^nn++++=exposure
to ^in++++=to
maternal ^jj++++=maternal
smoking ^jj+++xvbg+=smoking
during ^in++++=during
pregnancy ^nn++++=pregnancy
( ^zz++++=(Lampl
lampl ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
