Many ^ap++++=Many
studies ^nns++++=studies
have ^vb+hv+aux++=have
relied ^vprf+++xvbnx+=relied
on ^in++++=on
single ^jj+atrb+++=single
measures ^nns++++=measures
of ^in++++=of
immunity ^nn+nom+++=immunity
to ^to++++=to
draw ^vbi++++=draw
broad ^jj+atrb+++=broad
conclusions ^nns++++=conclusions
about ^in++++=about
the ^ati++++=the
regulation ^nn+nom+++=regulation
of ^in++++=of
immune ^jj+atrb+++=immune
function ^nn+nom+++=function
and ^cc+cls+++=and
how ^wrb+who+++=how
immune ^jj+atrb+++=immune
function ^nn+nom+++=function
trades ^nns++++=trades-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
with ^in++++=with
other ^ap++++=other
life ^nn++++=life
history ^nn++++=history
demands ^nns++++=demands.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
immunity ^nn+nom+++=immunity
is ^vbz+bez+aux++=is
multifaceted ^vpsv++agls+xvbnx+=multifaceted
and ^cc++++=and
single ^jj+atrb+++=single
measures ^nns++++=measures
are ^vb+ber+vrb++=are
unlikely ^jj+pred+++=unlikely
to ^to+jcmp+++=to
accurately ^rb++splt++=accurately
capture ^vbi++++=capture
the ^ati++++=the
full ^jj+atrb+++=full
range ^nn++++=range
and ^cc++++=and
plasticity ^nn+nom+++=plasticity
of ^in++++=of
human ^jj+atrb+++=human
immune ^jj+atrb+++=immune
function ^nn+nom+++=function.
. ^zz++++=EXTRAWORD
Luckily ^rb+cnj+++=Luckily,
, ^zz++++=EXTRAWORD
the ^ati++++=the
repertoire ^nn++++=repertoire
of ^in++++=of
methods ^nns++++=methods
for ^in++++=for
the ^ati++++=the
minimally ^rb++++=minimally
invasive ^jj+atrb+++=invasive
measurement ^nn+nom+++=measurement
of ^in++++=of
immune ^jj+atrb+++=immune
function ^nn+nom+++=function
is ^vbz+bez+aux++=is
rapidly ^rb++splt++=rapidly
expanding ^vbg+++xvbgx+=expanding.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
measures ^nns++++=measures
differ ^vb++++=differ
in ^in++++=in
the ^ati++++=the
aspects ^nns++++=aspects
of ^in++++=of
immunity ^nn+nom+++=immunity
they ^pp3a+pp3+++=they
measure ^vb++++=measure,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
in ^in++++=in
the ^ati++++=the
inferences ^nns+nom+++=inferences
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
based ^vbd+++xvbn+=based
on ^rp++++=on
them ^pp3o+pp3+++=them
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
3 ^zz++++=3
) ^zz++++=).
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
also ^rb++++=also
differ ^vb++++=differ
in ^in++++=in
cost ^nn++++=cost
and ^cc++++=and
complexity ^nn+nom+++=complexity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
summarized ^vpsv++agls+xvbnx+=summarized
in ^in++++=in
Table ^nn++++=Table
3 ^zz++++=3
. ^zz++++=.
Traditional ^jj+atrb+++=Traditional
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Elisas ^np+++??+=ELISAs
for ^in++++=for
Dbss ^np+++??+=DBSs
remain ^vb++++=remain
the ^ati++++=the
simplest ^jjt++++=simplest
and ^cc+phrs+++=and
cheapest ^jjt++++=cheapest
to ^to++++=to
implement ^nn+nom+++=implement.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
measures ^nns++++=measures
are ^vb+ber+vrb++=are
accurate ^jj+pred+++=accurate
and ^cc+phrs+++=and
easy ^jj++++=easy
to ^to+jcmp+++=to
implement ^nn+nom+++=implement
but ^cc++++=but
are ^vb+ber+aux++=are
limited ^vpsv++agls+xvbnx+=limited
in ^in++++=in
scope ^nn++++=scope
since ^cs+sub+++=since
they ^pp3a+pp3+++=they
typically ^rb++++=typically
measure ^vb++++=measure
only ^rb+down+++=only
one ^cd1++++=one
analyte ^nn+++??+=analyte
at ^rb++++=at
a ^at++++=a
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Multiplex ^np+++??+=Multiplex
immunoassays ^vbz+++??+=immunoassays
overcome ^vbd+++xvbn+=overcome
this ^dt+dem+++=this
limitation ^nn+nom+++=limitation,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
usually ^rb+down+++=usually
with ^in++++=with
a ^at++++=a
cost ^nn++++=cost
to ^in++++=to
