These ^dt+dem+++=These
contributions ^nns+nom+++=contributions
are ^vb+ber+vrb++=are
valuable ^jj+pred+++=valuable
to ^in++++=to
archaeologists ^nns+nom+++=archaeologists
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
remind ^vb++++=remind
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
avoid ^vb++++=avoid
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
material ^nn++++=material
meanings ^nns++++=meanings
are ^vb+ber+aux++=are
articulated ^vpsv++agls+xvbnx+=articulated
through ^in++++=through
language ^nn+nom+++=language
( ^zz++++=(
Preucel ^np++++=Preucel
2006 ^cd++++=2006
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
256 ^cd++++=256)
) ^zz++++=EXTRAWORD
or ^cc++++=or
that ^tht+vcmp+++=that
the ^ati++++=the
very ^ql+amp+++=very
material ^nn++++=material
properties ^nns++++=properties
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
so ^ql+emph+++=so
compelling ^jj+atrb++xvbg+=compelling
may ^md+pos+++=may
or ^cc++++=or
may ^md+pos+++=may
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
important ^jj++++=important
for ^in++++=for
people ^nns++++=people
in ^in++++=in
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
depending ^vbg+++xvbg+=depending
on ^in++++=on
the ^ati++++=the
linguistic ^jj+atrb+++=linguistic
signs ^nns++++=signs
that ^tht+ncmp+++=that
defined ^vbd+vprv++xvbn+=defined
and ^cc+phrs+++=and
characterized ^vbd+++xvbn+=characterized
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
extent ^nn++++=extent
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
archaeologists ^nns+nom+++=archaeologists
should ^md+nec+++=should
embrace ^vb++++=embrace
linguistic ^jj+atrb+++=linguistic
evidence ^nn+nom+++=evidence
in ^in++++=in
the ^ati++++=the
