Several ^ap++++=Several
scholars ^nns++++=scholars
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
Nagpra ^np+++??+=NAGPRA
results ^nns++++=results
from ^in++++=from
a ^at++++=a
fundamental ^jj+atrb+++=fundamental
conflict ^nn++++=conflict
between ^in++++=between
science ^nn+nom+++=science
and ^cc++++=and
religion ^nn++++=religion
( ^zz++++=(
Clark ^np++++=Clark
1996 ^cd+date+++=1996
, ^zz++++=,
Cryne ^np+++??+=Cryne
2010 ^cd++++=2010
) ^zz++++=);
; ^zz++++=EXTRAWORD
others ^aps++++=others
argue ^vb+vpub+++=argue
more ^rbr++++=more
bluntly ^rb++++=bluntly
that ^cs+sub+++=that
Nagpra ^np+++??+=NAGPRA
is ^vbz+bez+vrb++=is
a ^at++++=a
threat ^nn++++=threat
to ^to+ncmp+++=to
science ^nn+nom+++=science
( ^zz++++=(
Arnold ^np++++=Arnold
& ^zz++++=&
Jeske ^np+++??+=Jeske
2014 ^cd++++=2014
, ^zz++++=,
Clark ^np++++=Clark
1999 ^cd+date+++=1999
, ^zz++++=,
Weiss ^np+++??+=Weiss
2008 ^cd++++=2008
) ^zz++++=).
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
others ^aps++++=others
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
Nagpra ^np+++??+=NAGPRA
is ^vbz+bez+aux++=is
a ^at++++=a
carefully ^rb++++=carefully
constructed ^vbd+++xvbn+=constructed
balancing ^nn++++=balancing
act ^nn++++=act,
, ^zz++++=EXTRAWORD
accommodating ^jj+atrb++xvbg+=accommodating
human ^jj+atrb+++=human
rights ^nns++++=rights,
, ^zz++++=EXTRAWORD
race ^nn++++=race
relations ^nns+nom+++=relations,
, ^zz++++=EXTRAWORD
religion ^nn++++=religion,
, ^zz++++=EXTRAWORD
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ethics ^nn++++=ethics
( ^zz++++=(
Klesert ^np++++=Klesert
& ^zz++++=&
Powell ^np++++=Powell
1993 ^cd+date+++=1993
, ^zz++++=,
Mckeown ^np+++??+=McKeown
2002 ^cd++++=2002
, ^zz++++=,
Ousley ^np+++??+=Ousley
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005
) ^zz++++=).
. ^zz++++=EXTRAWORD
Regardless ^rb++++=Regardless
of ^in++++=of
whether ^cs+who+++=whether
one ^cd1++++=one
sees ^vbz+vprv+++=sees
in ^in++++=in
Nagpra ^np+++??+=NAGPRA
a ^at++++=a
conflict ^nn++++=conflict
or ^cc++++=or
a ^at++++=a
balancing ^nn++++=balancing
act ^nn++++=act,
, ^zz++++=EXTRAWORD
reducing ^vbg+++xvbg+=reducing
the ^ati++++=the
discussion ^nn++++=discussion
to ^in++++=to
binary ^jj+atrb+++=binary
dichotomies ^nns+++??+=dichotomies
does ^vbz+doz+aux++=does
not ^xnot++not++=not
do ^vb+do+vrb++=do
justice ^nn++++=justice
to ^in++++=to
the ^ati++++=the
remarkable ^jj+atrb+++=remarkable
complexity ^nn+nom+++=complexity
of ^in++++=of
Nagpra ^np++++=NAGPRA's
's ^$++++=EXTRAWORD
reach ^vb++++=reach
and ^cc++++=and
its ^pp$+it+++=its
implications ^nns+nom+++=implications,
, ^zz++++=EXTRAWORD
the ^ati++++=the
full ^jj+atrb+++=full
effects ^nns++++=effects
of ^in++++=of
which ^whp+rel+pied++=which
continue ^vb++++=continue
to ^to++++=to
play ^vbi++++=play
out ^rp+pl+++=out
in ^in++++=in
archaeology ^nn++++=archaeology,
, ^zz++++=EXTRAWORD
museums ^nns++++=museums,
, ^zz++++=EXTRAWORD
indian ^jj+atrb+++=Indian
country ^nn++++=country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in+strn+++=beyond.
. ^zz++++=EXTRAWORD
