An ^at++++=An
organization ^nn++++=organization's
's ^$++++=EXTRAWORD
philosophy ^nn++++=philosophy,
, ^zz++++=EXTRAWORD
ethics ^nn++++=ethics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
values ^nns++++=values
are ^vb+ber+vrb++=are
evident ^jj+pred+++=evident
in ^in++++=in
what ^wdt+who+++=what
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
in ^in++++=in
what ^wdt+who+++=what
it ^pp3+it+++=it
chooses ^vbz++++=chooses
not ^xnot++not++=not
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
The ^ati++++=The
American ^jj+atrb+++=American
Alliance ^nn++++=Alliance
of ^in++++=of
Museums ^nns++++=Museums,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
represents ^vbz++++=represents
some ^dti++++=some
35,000 ^cd++++=35,000
museums ^nns++++=museums
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
remains ^nns++++=remains
largely ^rb++++=largely
silent ^jj++++=silent
on ^in++++=on
Nagpra ^np+++??+=NAGPRA
specifically ^rb++++=specifically
and ^cc++++=and
on ^in++++=on
repatriation ^nn++++=repatriation
issues ^nns++++=issues
in ^in++++=in
general ^nn++++=general.
. ^zz++++=EXTRAWORD
The ^ati++++=The
American ^jj+atrb+++=American
Association ^nn++++=Association
of ^in++++=of
Art ^nn++++=Art
Museum ^npl++++=Museum
Directors ^nns++++=Directors,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
represents ^vbz++++=represents
leaders ^nns++++=leaders
from ^in++++=from
organizations ^nns++++=organizations
that ^tht+rel+subj++=that
receive ^vb++++=receive
federal ^jj+atrb+++=federal
funding ^nn+++??+=funding
and ^cc++++=and
to ^to++++=to
which ^whp+who+++=which
Nagpra ^np+++??+=NAGPRA
therefore ^rb+cnj+++=therefore
applies ^vbz++++=applies,
, ^zz++++=EXTRAWORD
also ^rb++++=also
remains ^nns++++=remains
too ^ql++++=too
quiet ^nn++++=quiet
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
Us ^pp1o+pp1+++=US
museums ^nns++++=museums
have ^vb+hv+aux++=have
justifiably ^rb++splt++=justifiably
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++agls+xvbnx+=taken
to ^to+vcmp+++=to
task ^vb++++=task
for ^in++++=for
failing ^vb++++=failing
to ^to+vcmp+++=to
comprehensively ^vb+++??+=comprehensively
address ^nn++++=address
the ^ati++++=the
repatriation ^nn++++=repatriation
issue ^nn++++=issue
( ^zz++++=(
wunderlich ^np++++=Wunderlich
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
