Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chips ^nns++++=chips
found ^vbd+vprv++xvbn+=found
on ^in++++=on
the ^ati++++=the
posterior ^jj+atrb+++=posterior
dentition ^nn+nom+++=dentition
( ^zz++++=(deciduous
deciduous ^jj+atrb+++=EXTRAWORD
premolars ^nns+++??+=premolars
from ^in++++=from
all ^abn++++=all
the ^ati++++=the
sites ^nns++++=sites
and ^cc++++=and
technocultural ^jj+atrb+++=technocultural
contexts ^nns++++=contexts)
) ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
originated ^vprf+++xvbnx+=originated
during ^in++++=during
mastication ^nn+nom+++=mastication,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
dust ^nn++++=dust
and ^cc++++=and
grit ^nn++++=grit
introduced ^vwbn+++xvbn+=introduced
with ^in++++=with
the ^ati++++=the
food ^nn++++=food,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
physical ^jj+atrb+++=physical
properties ^nns++++=properties
of ^in++++=of
the ^ati++++=the
food ^nn++++=food
itself ^ppl++++=itself
( ^zz++++=(
Constantino ^np++++=Constantino
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
; ^zz++++=;
Scott ^np++++=Scott
and ^cc++++=and
Winn ^np+++??+=Winn,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
A ^at++++=A
similar ^jj+atrb+++=similar
case ^nn++++=case
of ^in++++=of
chipped ^jj+atrb++xvbn+=chipped
enamel ^nn++++=enamel
on ^in++++=on
deciduous ^jj+atrb+++=deciduous
teeth ^nns++++=teeth
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
on ^in++++=on
a ^at++++=a
left ^jj+atrb++xvbn+=left
dp ^nn+++??+=dP
3 ^zz++++=3
of ^in++++=of
an ^at++++=an
early ^jj+atrb+++=early
Homo ^np+++??+=Homo
sapiens ^nns+++??+=sapiens
from ^in++++=from
Sibudu ^np+++??+=Sibudu
Cave ^nn++++=Cave,
, ^zz++++=EXTRAWORD
South ^nr+pl+++=South
Africa ^np++++=Africa
( ^zz++++=(
Riga ^np++++=Riga
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=),
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
an ^at++++=an
antemortem ^nn+++??+=antemortem
chip ^nn++++=chip
was ^vbd+bedz+aux++=was
located ^vpsv++agls+xvbnx+=located
on ^in++++=on
the ^ati++++=the
distobuccal ^jj+atrb+++=distobuccal
corner ^npl++++=corner
on ^in++++=on
the ^ati++++=the
occlusal ^jj+atrb+++=occlusal
surface ^nn++++=surface.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
chips ^nns++++=chips
on ^in++++=on
the ^ati++++=the
posterior ^jj+atrb+++=posterior
dentition ^nn+nom+++=dentition
provide ^vb+vsua+++=provide
us ^pp1o+pp1+++=us
with ^in++++=with
information ^nn+nom+++=information
regarding ^in++++=regarding
the ^ati++++=the
food ^nn++++=food
preparation ^nn+nom+++=preparation
techniques ^nns++++=techniques
utilized ^vwbn+++xvbn+=utilized
