Among ^in++++=Among
males ^nns++++=males
with ^in++++=with
multiple ^jj+atrb+++=multiple
takeovers ^nns+++??+=takeovers
( ^zz++++=(
n ^zz++++=n
= ^zz++++==
29 ^cd++++=29
males ^nns++++=males
with ^in++++=with
2 ^zz++++=2+
+ ^zz++++=EXTRAWORD
takeovers ^nns+++??+=takeovers),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
variation ^nn++++=variation
both ^abx++++=both
among ^in++++=among
males ^nns++++=males
in ^in++++=in
their ^pp$+pp3+++=their
use ^nn++++=use
of ^in++++=of
aggression ^nn++++=aggression
and ^cc++++=and
within ^in++++=within
males ^nns++++=males
in ^in++++=in
their ^pp$+pp3+++=their
use ^nn++++=use
of ^in++++=of
aggression ^nn++++=aggression
over ^in++++=over
subsequent ^jj+atrb+++=subsequent
takeovers ^nns+++??+=takeovers.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
eight ^cd++++=eight
of ^in++++=of
these ^dt+dem+++=these
males ^nns++++=males
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
exclusively ^rb++++=exclusively
non ^&fw++++=non-aggressive
- ^zz++++=EXTRAWORD
aggressive ^jj+atrb+++=EXTRAWORD
takeovers ^nns+++??+=takeovers
and ^cc++++=and
two ^cd++++=two
engaged ^vbd+++xvbn+=engaged
in ^in++++=in
exclusively ^rb++++=exclusively
aggressive ^jj+atrb+++=aggressive
takeovers ^nns+++??+=takeovers,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
there ^ex+pex+++=there
may ^md+pos+++=may
be ^vb+be+vrb++=be
some ^dti++++=some
consistency ^nn++++=consistency
in ^in++++=in
individual ^jj+atrb+++=individual
strategies ^nns+++??+=strategies.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
considerable ^jj+atrb+++=considerable
variation ^nn++++=variation
across ^in+pl+++=across
males ^nns++++=males
in ^in++++=in
the ^ati++++=the
percentage ^nn++++=percentage
of ^in++++=of
takeovers ^nns+++??+=takeovers
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
aggressive ^jj+pred+++=aggressive
( ^zz++++=(mean
mean ^jj+atrb+++=EXTRAWORD
= ^zz++++==
41.3 ^cd++++=41.3%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
31.0% ^cd++++=31.0%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
flexibility ^nn++++=flexibility
more ^rbr++++=more
broadly ^rb+down+++=broadly
across ^in+pl+++=across
males ^nns++++=males.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
variation ^nn++++=variation
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
aggression ^nn++++=aggression
by ^in++++=by
individual ^jj+atrb+++=individual
males ^nns++++=males
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
over ^in++++=over
their ^pp$+pp3+++=their
sequence ^nn++++=sequence
of ^in++++=of
takeovers ^nns+++??+=takeovers
( ^zz++++=(
Fig ^np++++=Fig.
. ^zz++++=EXTRAWORD
1 ^zz++++=1
; ^zz++++=;
percentage ^nn++++=percentage
of ^in++++=of
takeovers ^nns+++??+=takeovers
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
aggressive ^jj+pred+++=aggressive:
: ^zz++++=EXTRAWORD
1st ^cd++++=1st
takeovers ^nns+++??+=takeovers:
: ^zz++++=EXTRAWORD
43.8 ^cd++++=43.8%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
n ^zz++++=n
= ^zz++++==
32 ^cd++++=32
takeovers ^nns+++??+=takeovers;
; ^zz++++=EXTRAWORD
2nd ^cd++++=2nd
takeovers ^nns+++??+=takeovers:
: ^zz++++=EXTRAWORD
36.7 ^cd++++=36.7%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
n ^zz++++=n
= ^zz++++==
30 ^cd++++=30
takeovers ^nns+++??+=takeovers;
; ^zz++++=EXTRAWORD
3rd ^cd++++=3rd
takeovers ^nns+++??+=takeovers:
: ^zz++++=EXTRAWORD
60 ^cd++++=60%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
n ^zz++++=n
= ^zz++++==
15 ^cd++++=15
takeovers ^nns+++??+=takeovers;
