Total ^jj++++=Total
positive ^jj++++=positive
and ^cc+phrs+++=and
negative ^jj+atrb+++=negative
mechanical ^jj+atrb+++=mechanical
work ^nn++++=work
for ^in++++=for
the ^ati++++=the
complete ^jj+atrb+++=complete
stride ^nn++++=stride
( ^zz++++=(
W ^zz++++=W
+ ^zz++++=+
tot ^nn+++??+=tot
, ^zz++++=,
W ^zz++++=W
tot ^nn+++??+=tot
) ^zz++++=)
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated
as ^ql++++=as
the ^ati++++=the
sum ^nn++++=sum
of ^in++++=of
the ^ati++++=the
positive ^jj+atrb+++=positive
or ^cc+phrs+++=or
negative ^jj+atrb+++=negative
work ^nn++++=work
for ^in++++=for
the ^ati++++=the
first ^od++++=first
double ^jj++++=double-support
- ^zz++++=EXTRAWORD
support ^nn++++=EXTRAWORD
period ^nn++++=period
( ^zz++++=(
W ^zz++++=W
+ ^zz++++=+
ds1 ^nn+++??+=ds1
; ^zz++++=;
W ^zz++++=W
ds1 ^nn+++??+=ds1
) ^zz++++=),
, ^zz++++=EXTRAWORD
single ^jj++++=single-support
- ^zz++++=EXTRAWORD
support ^nn++++=EXTRAWORD
period ^nn++++=period
( ^zz++++=(
W ^zz++++=W
+ ^zz++++=+
ss ^nnu++++=ss
; ^zz++++=;
W ^zz++++=W
ss ^np++++=ss
) ^zz++++=),
, ^zz++++=EXTRAWORD
second ^od++++=second
double ^jj++++=double-support
- ^zz++++=EXTRAWORD
support ^nn++++=EXTRAWORD
period ^nn++++=period
( ^zz++++=(
W ^zz++++=W
+ ^zz++++=+
ds2 ^nn+++??+=ds2
; ^zz++++=;
W ^zz++++=W
ds2 ^nn+++??+=ds2
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
limb ^nn++++=limb
swing ^vb++++=swing
( ^zz++++=(
W ^zz++++=W
+ ^zz++++=+
sw ^nn+++??+=sw
; ^zz++++=;
W ^zz++++=W
sw ^nn+++??+=sw
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
positive ^jj+atrb+++=positive
and ^cc+phrs+++=and
negative ^jj+atrb+++=negative
work ^nn++++=work
terms ^nns++++=terms
were ^vbd+bed+aux++=were
subsequently ^rb+tm+splt++=subsequently
divided ^vpsv++by+xvbnx+=divided
by ^in++++=by
the ^ati++++=the
stride ^nn++++=stride
time ^nn++++=time
to ^to++++=to
determine ^vbi++++=determine
the ^ati++++=the
average ^jj+atrb+++=average
power ^nn++++=power
output ^nn++++=output
( ^zz++++=(
p ^zz++++=P
+ ^zz++++=+
i ^pp1a+pp1+++=i
; ^zz++++=;
p ^zz++++=P
i ^pp1a+pp1+++=i
) ^zz++++=).
. ^zz++++=EXTRAWORD
