The ^ati++++=The
striking ^jj+atrb++xvbg+=striking
difference ^nn++++=difference
in ^in++++=in
relative ^jj+atrb+++=relative
maxillary ^nn+++??+=maxillary
height ^nn++++=height
between ^in++++=between
males ^nns++++=males
and ^cc++++=and
females ^nns++++=females,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
here ^rn+pl+++=here
for ^in++++=for
H ^zz++++=H.
. ^zz++++=EXTRAWORD
sapiens ^nns+++??+=sapiens
( ^zz++++=(
Fig ^np++++=Fig.
. ^zz++++=EXTRAWORD
10 ^cd++++=10
Q ^zz++++=Q
T ^zz++++=T),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
not ^xnot++not++=not
normally ^rb+down+++=normally
listed ^vbd+++xvbn+=listed
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
established ^vbn+vprv++xvbn+=established
criteria ^nns++++=criteria
to ^to++++=to
assign ^vbi++++=assign
sex ^nn++++=sex
to ^in++++=to
human ^jj+atrb+++=human
crania ^nn+++??+=crania
( ^zz++++=(
Brothwell ^np++++=Brothwell,
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981
; ^zz++++=;
Bass ^np++++=Bass,
, ^zz++++=EXTRAWORD
1987 ^cd+date+++=1987
; ^zz++++=;
Buikstra ^np+++??+=Buikstra
and ^cc++++=and
Ubelaker ^np+++??+=Ubelaker,
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994
; ^zz++++=;
Mays ^np+++??+=Mays
and ^cc++++=and
Cox ^np+++??+=Cox,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
; ^zz++++=;
White ^jj++++=White
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
this ^dt+dem+++=this
morphology ^nn++++=morphology
is ^vbz+bez+vrb++=is
genuinely ^rb++++=genuinely
diagnostic ^nn+++??+=diagnostic
for ^in++++=for
sex ^nn++++=sex
in ^in++++=in
all ^rb++++=all
or ^cc++++=or
some ^dti++++=some
human ^jj+atrb+++=human
populations ^nns++++=populations
will ^md+prd+++=will
have ^md"++pmd"++=have
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
explored ^vprf+++xvbn+=explored
in ^in++++=in
more ^rbr++++=more
detail ^nn++++=detail.
. ^zz++++=EXTRAWORD
For ^in++++=For
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
results ^nns++++=results
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
with ^in++++=with
caution ^nn++++=caution
given ^vwbn+++xvbn+=given
that ^dt+dem+++=that
the ^ati++++=the
H ^zz++++=H.
. ^zz++++=EXTRAWORD
sapiens ^nns+++??+=sapiens
sample ^nn++++=sample
was ^vbd+bedz+aux++=was
compiled ^vpsv++agls+xvbnx+=compiled
to ^to++++=to
maximize ^vbi++++=maximize
individual ^jj+atrb+++=individual
geographic ^nn+++??+=geographic
diversity ^nn++++=diversity,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
to ^to++++=to
provide ^vbi+vsua+++=provide
a ^at++++=a
good ^jj+atrb+++=good
representation ^nn++++=representation
of ^in++++=of
specific ^jj+atrb+++=specific
populations ^nns++++=populations
with ^in++++=with
a ^at++++=a
balanced ^jj+atrb++xvbn+=balanced
sex ^nn++++=sex
ratio ^nn++++=ratio.
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
collection ^nn++++=collection
records ^vbz+vpub+++=records
do ^vb+do+aux++=do
not ^xnot++not++=not
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
report ^vbi++++=report
sex ^nn++++=sex
from ^in++++=from
autopsy ^nn+++??+=autopsy
or ^cc++++=or
burial ^nn++++=burial
records ^nns++++=records,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
historical ^jj+atrb+++=historical
sex ^nn++++=sex
attribution ^nn++++=attribution
based ^vwbn+++xvbn+=based
on ^in++++=on
cranial ^nn+++??+=cranial
morphology ^nn++++=morphology
will ^md+prd+++=will
include ^vb++++=include
elements ^nns++++=elements
of ^in++++=of
size ^nn++++=size
and ^cc++++=and
perceived ^vbd+vprv++xvbn+=perceived
robusticity ^nn++++=robusticity
that ^tht+rel+subj++=that
can ^md+pos+++=can
potentially ^rb++splt++=potentially
bias ^vb++++=bias
the ^ati++++=the
findings ^nns++++=findings
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
