Understanding ^nvbg+++xvbg+=Understanding
the ^ati++++=the
paleoclimatic ^nn+++??+=paleoclimatic
and ^cc++++=and
paleoenvironmental ^jj+atrb++??+=paleoenvironmental
context ^nn++++=context
of ^in++++=of
hominin ^nn+++??+=hominin
occupations ^nns++++=occupations
in ^in++++=in
western ^jj+atrb+++=western
Europe ^np++++=Europe
in ^in++++=in
Mis ^npt++++=MIS
13 ^cd++++=13
11 ^cd++++=11
is ^vbz+bez+vrb++=is
dependent ^jj+pred+++=dependent
on ^in++++=on
a ^at++++=a
combination ^nn++++=combination
of ^in++++=of
continuous ^jj++++=continuous
global ^jj++++=global
( ^zz++++=(isotope)
isotope ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
records ^vbz+vpub+++=records,
, ^zz++++=EXTRAWORD
site ^nn++++=site-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
reconstructions ^nns+++??+=reconstructions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regional ^jj+atrb+++=regional
models ^nns++++=models.
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
of ^in++++=of
the ^ati++++=the
currently ^rb++++=currently
available ^jj+atrb+++=available
evidence ^nn++++=evidence
suggests ^vbz+vpub+++=suggests
a ^at++++=a
series ^nn++++=series
of ^in++++=of
conclusions ^nns++++=conclusions.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
breadth ^nn++++=breadth
of ^in++++=of
paleoclimatic ^nn+++??+=paleoclimatic
conditions ^nns++++=conditions
on ^in++++=on
hominin ^nn+++??+=hominin
sites ^nns++++=sites
from ^in++++=from
Mis ^npt++++=MIS
13 ^cd++++=13
and ^cc++++=and
11 ^cd++++=11
is ^vbz+bez+vrb++=is
in ^in++++=in
contrast ^nn++++=contrast
to ^in++++=to
the ^ati++++=the
earlier ^jjr+atrb+++=earlier
European ^jj+atrb+++=European
record ^nn++++=record.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sustained ^jj+atrb++xvbn+=sustained
mild ^jj+atrb+++=mild
conditions ^nns++++=conditions
of ^in++++=of
Mis ^npt++++=MIS
15 ^cd++++=15
13 ^cd++++=13,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
relatively ^rb++++=relatively
weak ^jj+atrb+++=weak
south ^nr+pl+++=south-north
- ^zz++++=EXTRAWORD
north ^nr+pl+++=EXTRAWORD
temperature ^nn++++=temperature
transect ^nn+++??+=transect
in ^in++++=in
late ^jj+atrb+++=late
Mis ^npt++++=MIS
13 ^cd++++=13,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
have ^vb+hv+aux++=have
supported ^vprf+++xvbnx+=supported
hominin ^nn+++??+=hominin
dispersals ^nns+++??+=dispersals
in ^in++++=in
Mis ^npt++++=MIS
15 ^cd++++=15
13 ^cd++++=13.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cooler ^jjr+atrb+++=cooler
conditions ^nns++++=conditions
of ^in++++=of
late ^jj+atrb+++=late
Mis ^npt++++=MIS
13 ^cd++++=13
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
key ^jjb+atrb+++=key
behavioral ^jj+atrb+++=behavioral
changes ^nns++++=changes
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Acheulean ^np+++??+=Acheulean
behavioral ^jj+atrb+++=behavioral
package ^nn++++=package
) ^zz++++=)
were ^vbd+bed+vrb++=were
already ^rb++++=already
in ^in++++=in
place ^nn++++=place
during ^in++++=during
Mis ^npt++++=MIS
13 ^cd++++=13,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
also ^rb++splt++=also
indicate ^vb+vprv+++=indicate
tolerated ^vbd+++xvbn+=tolerated
as ^cs+sub+++=as
opposed ^jj+++xvbn+=opposed
to ^to++++=to
preferred ^vbi++++=preferred
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
general ^jj+atrb+++=general
intraregional ^nn+++??+=intraregional
similarity ^nn++++=similarity
of ^in++++=of
paleoclimatic ^nn+++??+=paleoclimatic
conditions ^nns++++=conditions
on ^in++++=on
hominin ^nn+++??+=hominin
sites ^nns++++=sites
in ^in++++=in
Mis ^npt++++=MIS
13 ^cd++++=13
and ^cc++++=and
Mis ^npt++++=MIS
11 ^cd++++=11
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
expanded ^jj+atrb++xvbn+=expanded
archaeological ^jj+atrb+++=archaeological
record ^nn++++=record
of ^in++++=of
Mis ^npt++++=MIS
11 ^cd++++=11
reflects ^vbz++++=reflects
the ^ati++++=the
extended ^jj+atrb++xvbn+=extended
mild ^jj+atrb+++=mild
conditions ^nns++++=conditions
of ^in++++=of
Mis ^npt++++=MIS
11c ^cd++++=11c,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
a ^at++++=a
widening ^nn++++=widening
of ^in++++=of
the ^ati++++=the
hominin ^nn+++??+=hominin
climatic ^jj+atrb+++=climatic
niche ^nn++++=niche.
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
general ^jj+atrb+++=general
intraregional ^nn+++??+=intraregional
similarities ^nns++++=similarities
of ^in++++=of
paleoclimatic ^nn+++??+=paleoclimatic
conditions ^nns++++=conditions
on ^in++++=on
hominin ^nn+++??+=hominin
and ^cc++++=and
nonhominin ^nn+++??+=nonhominin
sites ^nns++++=sites
in ^in++++=in
Mis ^npt++++=MIS
11 ^cd++++=11
and ^cc++++=and,
, ^zz++++=EXTRAWORD
to ^in++++=to
some ^dti++++=some
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
Mis ^npt++++=MIS
13 ^cd++++=13
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
hominin ^nn+++??+=hominin
evidence ^nn++++=evidence
on ^in++++=on
selected ^xvbn+++xvbn+=selected
sites ^nns++++=sites
is ^vbz+bez+vrb++=is
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
sampling ^vb++++=sampling
bias ^nn++++=bias
and ^cc++++=and
taphonomic ^nn+++??+=taphonomic
factors ^nns++++=factors.
