Marine ^jj+atrb+++=Marine
Isotope ^np+++??+=Isotope
Stage ^nn++++=Stage
12 ^cd++++=12
occupations ^nns++++=occupations
are ^vb+ber+aux++=are
predominantly ^rb++splt++=predominantly
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
south ^nr+pl+++=south-western
- ^zz++++=EXTRAWORD
western ^jj+atrb+++=EXTRAWORD
Europe ^np++++=Europe
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Caune ^np+++??+=Caune
de ^&fw++++=de
l ^zz++++=l
Arago ^np+++??+=Arago
and ^cc++++=and
Atapuerca ^np+++??+=Atapuerca
[ ^zz++++=[Trinchera
trinchera ^nn+++??+=EXTRAWORD
Dolina ^np+++??+=Dolina
10.4] ^cd++++=10.4]),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
conditions ^nns++++=conditions
were ^vbd+bed+vrb++=were
relatively ^rb++++=relatively
stable ^nn++++=stable
( ^zz++++=(
L ^zz++++=L
pez ^np++++=pez-Garc
- ^zz++++=EXTRAWORD
garc ^nn+++??+=EXTRAWORD
a ^at++++=a
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
in ^in++++=in
marked ^jj+atrb++xvbn+=marked
contrast ^nn++++=contrast
to ^in++++=to
northern ^jj+atrb+++=northern
sites ^nns++++=sites
associated ^vbd+++xvbn+=associated
with ^in++++=with
Mis ^npt++++=MIS
12 ^cd++++=12
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ostend ^np+++??+=Ostend)
) ^zz++++=EXTRAWORD
or ^cc++++=or
Mis ^npt++++=MIS
11 ^cd++++=11
cold ^jj+atrb+++=cold
substages ^nns+++??+=substages
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Quinton ^np+++??+=Quinton
Faunal ^np+++??+=Faunal
Unit ^nn++++=Unit
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Habitats ^np+++??+=Habitats
at ^in++++=at
Atapuerca ^np+++??+=Atapuerca
predominantly ^rb++++=predominantly
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
Mediterranean ^np++++=Mediterranean
open ^jj+atrb+++=open
woodland ^nn++++=woodland,
, ^zz++++=EXTRAWORD
with ^in++++=with
steppe ^nn++++=steppe
occurring ^vwbg+++xvbg+=occurring
in ^in++++=in
the ^ati++++=the
coldest ^nn+++??+=coldest
and ^cc++++=and
driest ^nn+++??+=driest
periods ^nns++++=periods
( ^zz++++=(
rodr ^np++++=Rodr
guez ^nn++++=guez
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
