Referred ^vbd+++xvbn+=Referred
material ^nn++++=material
Beremendia ^np+++??+=Beremendia
fissidens ^nns+++??+=fissidens
is ^vbz+bez+aux++=is
represented ^vpsv++agls+xvbnx+=represented
at ^rb++++=at
Dmanisi ^np+++??+=Dmanisi
by ^in++++=by
one ^cd1++++=one
complete ^jj+atrb+++=complete
maxillary ^nn+++??+=maxillary
with ^in++++=with
left ^vwbn+++xvbn+=left
I ^pp1a+pp1+++=I
1 ^zz++++=1
M ^zz++++=M
2 ^zz++++=2
and ^cc++++=and
right ^nn++++=right
A ^at++++=A
1 ^zz++++=1
M ^zz++++=M
3 ^zz++++=3
dental ^jj+atrb+++=dental
rows ^nns++++=rows,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
left ^jj+atrb++xvbn+=left
anterior ^jj+atrb+++=anterior
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
maxilla ^nn+++??+=maxilla
preserving ^vwbg+++xvbg+=preserving
the ^ati++++=the
I ^pp1a+pp1+++=I
1 ^zz++++=1
A ^at++++=A
4 ^zz++++=4
row ^nn++++=row,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
fragmented ^xvbn+++xvbn+=fragmented
right ^jj+atrb+++=right
I1 ^np+++??+=I1,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
labial ^nn+++??+=labial
fragment ^nn++++=fragment
of ^in++++=of
a ^at++++=a
right ^jj+atrb+++=right
M ^zz++++=M
2 ^zz++++=2
, ^zz++++=,
and ^cc+cls+++=and
one ^cd1++++=one
right ^jj+atrb+++=right
hemimandible ^nn+++??+=hemimandible
with ^in++++=with
the ^ati++++=the
complete ^jj+atrb+++=complete
row ^nn++++=row
i ^pp1a+pp1+++=I
1 ^zz++++=1
m ^zz++++=M
3 ^zz++++=3
( ^zz++++=(A
a ^at++++=EXTRAWORD
1 ^zz++++=1
loose ^jj++++=loose).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
