Even ^rb++++=Even
though ^cs+sub+++=though
activity ^nn++++=activity
is ^vbz+bez+aux++=is
eliminated ^vpsv++agls+xvbnx+=eliminated
from ^in++++=from
the ^ati++++=the
Bee ^np+++??+=BEE
measurements ^nns++++=measurements,
, ^zz++++=EXTRAWORD
Gmv ^np+++??+=GMV
in ^in++++=in
activity ^nn++++=activity
might ^md+pos+++=might
still ^rb++++=still
have ^vb+hv+vrb++=have
an ^at++++=an
indirect ^jj+atrb+++=indirect
role ^nn++++=role
to ^to++++=to
play ^vbi++++=play
in ^in++++=in
generating ^xvbg+++xvbg+=generating
Gmv ^np+++??+=GMV
in ^in++++=in
Bee ^np+++??+=BEE
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
training ^vb++++=training
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
regular ^jj+atrb+++=regular
exercise ^nn++++=exercise
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
increase ^vbi++++=increase
heart ^nn++++=heart
size ^nn++++=size,
, ^zz++++=EXTRAWORD
mitochondrial ^nn+++??+=mitochondrial
count ^npt++++=count,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blood ^nn++++=blood
volume ^nn++++=volume
( ^zz++++=(
Mcardle ^np++++=McArdle
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=),
, ^zz++++=EXTRAWORD
decrease ^vb++++=decrease
levels ^nns++++=levels
of ^in++++=of
certain ^jj+atrb+++=certain
hormones ^nns++++=hormones
and ^cc++++=and
cytokines ^nns+++??+=cytokines
( ^zz++++=(
Node ^np++++=Node
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
; ^zz++++=;
Silverman ^np+++??+=Silverman
and ^cc++++=and
Deuster ^np+++??+=Deuster,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
; ^zz++++=;
Pontzer ^np+++??+=Pontzer,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
improve ^vb++++=improve
mitochondrial ^nn+++??+=mitochondrial
oxidative ^nn+++??+=oxidative
capacity ^nn++++=capacity
( ^zz++++=(
Cardinale ^np++++=Cardinale
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
One ^cd1++++=One
possibility ^nn++++=possibility,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
males ^nns++++=males
have ^vb+hv+aux++=have
evolved ^vprf+++xvbnx+=evolved
to ^to++++=to
exhibit ^vbi++++=exhibit
considerably ^rb++++=considerably
more ^rbr++++=more
interindividual ^jj+atrb++??+=interindividual
variation ^nn++++=variation
in ^in++++=in
Aee ^np+++??+=AEE
than ^in++++=than
have ^vb+hv+vrb++=have
females ^nns++++=females,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
drives ^vbz++++=drives
greater ^jjr+atrb+++=greater
variability ^nn++++=variability
in ^in++++=in
both ^abx++++=both
bee ^np++++=BEE
and ^cc++++=and
tee ^np++++=TEE.
. ^zz++++=EXTRAWORD
