According ^in++++=According
to ^in++++=to
sociological ^jj+atrb+++=sociological
theory ^nn++++=theory,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
people ^nns++++=people
are ^vb+ber+aux++=are
left ^vpsv++agls+xvbnx+=left
to ^in++++=to
act ^nn++++=act
on ^in++++=on
their ^pp$+pp3+++=their
own ^ap++++=own
devices ^nns++++=devices,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
may ^md+pos+++=may
interpret ^vb++++=interpret
reality ^nn++++=reality
on ^in++++=on
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
their ^pp$+pp3+++=their
background ^nn++++=background
and ^cc++++=and
understanding ^nvbg+++xvbg+=understanding.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
could ^md+pos+++=could
potentially ^rb++++=potentially
result ^nn++++=result
in ^in++++=in
biases ^nns+++??+=biases,
, ^zz++++=EXTRAWORD
discrimination ^nn++++=discrimination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
misconceptions ^nns+++??+=misconceptions.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
biases ^nns+++??+=biases,
, ^zz++++=EXTRAWORD
discrimination ^nn++++=discrimination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
misconceptions ^nns+++??+=misconceptions
are ^vb+ber+vrb++=are
largely ^rb++++=largely
structural ^jj+pred+++=structural
than ^in++++=than
individual ^nn++++=individual
in ^in++++=in
the ^ati++++=the
sense ^nn++++=sense
that ^tht+ncmp+++=that
problematic ^nn+++??+=problematic
attitudes ^nns++++=attitudes
are ^vb+ber+aux++=are
nurtured ^vpsv++agls+xvbnx+=nurtured
or ^cc++++=or
are ^vb+ber+aux++=are
left ^vpsv++agls+xvbnx+=left
uninformed ^jj++++=uninformed
and ^cc++++=and
unguided ^nn+++??+=unguided
in ^in++++=in
a ^at++++=a
context ^nn++++=context,
, ^zz++++=EXTRAWORD
like ^in++++=like
Covid ^np+++??+=Covid-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
people ^nns++++=people
themselves ^ppls+pp3+++=themselves
know ^vb+vprv+++=know
so ^ql++++=so
little ^ap++++=little
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
even ^rb++++=even
though ^cs+sub+++=though
discriminatory ^jj+atrb+++=discriminatory
actions ^nns++++=actions
may ^md+pos+++=may
be ^vb+be+aux++=be
rooted ^vpsv++agls+xvbnx+=rooted
structurally ^rb+cnj+++=structurally,
, ^zz++++=EXTRAWORD
responsibility ^nn++++=responsibility
is ^vbz+bez+vrb++=is
individualized ^nn+++??+=individualized.
. ^zz++++=EXTRAWORD
A ^at++++=A
concerning ^in++++=concerning
issue ^nn++++=issue
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
Beck ^nn++++=Beck
s ^zz++++=s
observation ^nn++++=observation
that ^tht+ncmp+++=that
intensification ^nn+++??+=intensification
and ^cc++++=and
individualization ^nn+++??+=individualization
of ^in++++=of
social ^jj+atrb+++=social
inequalities ^nns++++=inequalities
interlock ^nn++++=interlock.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
consequence ^nn++++=consequence,
, ^zz++++=EXTRAWORD
problems ^nns++++=problems
of ^in++++=of
the ^ati++++=the
system ^nn++++=system
are ^vb+ber+aux++=are
lessened ^vpsv++agls+xvbnx+=lessened
politically ^rb++++=politically
and ^cc++++=and
transformed ^vpsv++agls+xvbn+=transformed
into ^in++++=into
personal ^jj+atrb+++=personal
failure ^nn++++=failure
and ^cc++++=and
inequalities ^nns++++=inequalities
by ^in++++=by
no ^at++++=no
means ^nn++++=means
disappear ^vb+seem+++=disappear.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
merely ^rb+down+++=merely
become ^vb++++=become
redefined ^vprf+++xvbn+=redefined
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
an ^at++++=an
individualization ^nn+++??+=individualization
of ^in++++=of
social ^jj+atrb+++=social
risks ^nns++++=risks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
result ^nn++++=result
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
social ^jj+atrb+++=social
problems ^nns++++=problems
are ^vb+ber+aux++=are
increasingly ^rb++splt++=increasingly
perceived ^vpsv++agls+xvbnx+=perceived
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
psychological ^jj+atrb+++=psychological
dispositions ^nns+++??+=dispositions:
: ^zz++++=EXTRAWORD
as ^ql++++=as
personal ^jj+atrb+++=personal
inadequacies ^nns++++=inadequacies,
, ^zz++++=EXTRAWORD
guilt ^nn++++=guilt
feelings ^nns++++=feelings,
, ^zz++++=EXTRAWORD
anxieties ^nns++++=anxieties,
, ^zz++++=EXTRAWORD
conflicts ^nns++++=conflicts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
neuroses ^nns++++=neuroses.
. ^zz++++=EXTRAWORD
