As ^cs+sub+++=As
mentioned ^vbd+vpub++xvbn+=mentioned
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
replacing ^vbg+++xvbg+=replacing
race ^nn++++=race
with ^in++++=with
immigrant ^nn++++=immigrant
status ^nn++++=status
or ^cc++++=or
visible ^jj+atrb+++=visible
minority ^nn++++=minority
is ^vbz+bez+vrb++=is
simply ^rb++++=simply
not ^xnot++not++=not
an ^at++++=an
acceptable ^jj+atrb+++=acceptable
alternative ^nn++++=alternative
to ^to++++=to
measuring ^vbi++++=measuring
race ^nn++++=race.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
considerable ^jj+atrb+++=considerable
evidence ^nn++++=evidence
that ^tht+rel+obj++=that
children ^nns++++=children
of ^in++++=of
immigrants ^nns++++=immigrants
have ^vb+hv+vrb++=have
higher ^jjr+atrb+++=higher
educational ^jj+atrb+++=educational
achievement ^nn++++=achievement
and ^cc++++=and
attainment ^nn++++=attainment
than ^in++++=than
native ^jj++++=native-born
- ^zz++++=EXTRAWORD
born ^vbd+++xvbn+=EXTRAWORD
Canadians ^nn++++=Canadians
( ^zz++++=(see,
see ^vb+vprv+++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Abada ^np+++??+=Abada,
, ^zz++++=EXTRAWORD
Hou ^np+++??+=Hou,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ram ^vb++++=Ram
2009 ^cd++++=2009
; ^zz++++=;
Boyd ^np++++=Boyd
2002 ^cd++++=2002
) ^zz++++=),
, ^zz++++=EXTRAWORD
a ^at++++=a
fact ^nn++++=fact
that ^tht+ncmp+++=that
is ^vbz+bez+aux++=is
celebrated ^vpsv++agls+xvbnx+=celebrated
triannually ^nn+++??+=triannually
when ^wrb+who+++=when
Pisa ^np++++=PISA
results ^nns++++=results
are ^vb+ber+aux++=are
announced ^vpsv++agls+xvbnx+=announced.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
the ^ati++++=the
highly ^rb+amp+++=highly
selective ^jj+atrb+++=selective
points ^nns++++=points-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
system ^nn++++=system
of ^in++++=of
Canadian ^jj+atrb+++=Canadian
immigration ^nn++++=immigration,
, ^zz++++=EXTRAWORD
economic ^jj+atrb+++=economic
migrants ^nns+++??+=migrants
to ^in++++=to
Canada ^np++++=Canada
tend ^vb++++=tend
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
highly ^rb+amp+splt++=highly
educated ^vpsv++agls+xvbnx+=educated
and ^cc++++=and
financially ^rb++++=financially
stable ^nn++++=stable
( ^zz++++=(
Entorf ^np++++=Entorf
and ^cc++++=and
Minoiu ^np+++??+=Minoiu
2005 ^cd++++=2005
) ^zz++++=)
two ^cd++++=two
parental ^jj+atrb+++=parental
characteristics ^nns++++=characteristics
that ^tht+rel+obj++=that
account ^nn++++=account
for ^in++++=for
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
student ^nn++++=student
upward ^jjb+atrb+++=upward
mobility ^nn++++=mobility
in ^in++++=in
Canada ^np++++=Canada.
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
recent ^jj+atrb+++=recent
immigrants ^nns++++=immigrants
to ^in++++=to
Canada ^np++++=Canada
tend ^vb++++=tend
to ^to+vcmp+++=to
possess ^vbi++++=possess
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
characteristics ^nns++++=characteristics
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
positively ^rb++splt++=positively
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
their ^pp$+pp3+++=their
children ^nns++++=children
s ^zz++++=s
achievement ^nn++++=achievement
and ^cc++++=and
attainment ^nn++++=attainment.
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
visible ^jj+atrb+++=visible
minority ^nn++++=minority
which ^whp+rel+subj++=which
essentially ^rb+down+++=essentially
is ^vbz+bez+vrb++=is
a ^at++++=a
white ^jj+atrb+++=white/non-white
demarcation ^nn++++=demarcation
not ^xnot++not++=not
all ^rb++++=all
non ^&fw++++=non-white
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
students ^nns++++=students
are ^vb+ber+vrb++=are
the ^ati++++=the
same ^ap++++=same
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
educational ^jj+atrb+++=educational
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
considerable ^jj+atrb+++=considerable
heterogeneity ^nn+++??+=heterogeneity
in ^in++++=in
that ^dt+dem+++=that
category ^nn++++=category
which ^whp+rel+subj++=which
masks ^vbz++++=masks
the ^ati++++=the
real ^jj+atrb+++=real
differences ^nns++++=differences
experienced ^vwbn+++xvbn+=experienced
by ^in++++=by
different ^jj+atrb+++=different
racialized ^nn+++??+=racialized
groups ^nns++++=groups
in ^in++++=in
Canada ^np++++=Canada.
. ^zz++++=EXTRAWORD
Lumping ^np+++??+=Lumping
all ^abn++++=all
