Psychotherapists ^np+++??+=Psychotherapists
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
undergone ^vprf+++xvbn+=undergone
psychological ^jj+atrb+++=psychological
training ^nn++++=training
often ^rb++++=often
encourage ^vb++++=encourage
their ^pp$+pp3+++=their
clients ^nns++++=clients
to ^to++++=to
acquiesce ^vbi++++=acquiesce,
, ^zz++++=EXTRAWORD
adapt ^vb++++=adapt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
adjust ^vb++++=adjust
themselves ^ppls+pp3+++=themselves
to ^in++++=to
difficult ^jj+atrb+++=difficult
life ^nn++++=life
circumstances ^nns++++=circumstances.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
degree ^nn++++=degree
of ^in++++=of
suffering ^xvbg+++xvbg+=suffering
and ^cc++++=and
accommodation ^nn++++=accommodation
is ^vbz+bez+vrb++=is
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
human ^jj+atrb+++=human
experience ^nn++++=experience,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sociologists ^nns++++=sociologists
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
suffering ^vbg+++xvbg+=suffering
is ^vbz+bez+aux++=is
complicated ^vpsv++agls+xvbnx+=complicated
and ^cc+phrs+++=and
made ^vprf+++xvbn+=made
worse ^jjr++++=worse
by ^in++++=by
prejudice ^nn++++=prejudice,
, ^zz++++=EXTRAWORD
discrimination ^nn++++=discrimination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
institutional ^jj+atrb+++=institutional
barriers ^nns++++=barriers
to ^in++++=to
life ^nn++++=life
necessities ^nns++++=necessities.
. ^zz++++=EXTRAWORD
Sociotherapists ^np+++??+=Sociotherapists
are ^vb+ber+vrb++=are
less ^rbr++++=less
likely ^jj+pred+++=likely
than ^in++++=than
psychologists ^nns++++=psychologists
to ^in++++=to
focus ^nn++++=focus
on ^in++++=on
individual ^jj+atrb+++=individual
accommodation ^nn++++=accommodation
and ^cc++++=and
adjustment ^nn++++=adjustment
to ^in++++=to
untenable ^jj+atrb+++=untenable
life ^nn++++=life
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
most ^ql+emph+++=most
psychologists ^nns++++=psychologists,
, ^zz++++=EXTRAWORD
like ^in++++=like
sociotherapists ^nns+++??+=sociotherapists,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
support ^vb++++=support
their ^pp$+pp3+++=their
clients ^nns++++=clients
in ^in++++=in
leaving ^xvbg+++xvbg+=leaving
abusive ^nn+++??+=abusive
relationships ^nns++++=relationships,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
less ^rbr++++=less
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
interdependence ^nn+++??+=interdependence
of ^in++++=of
the ^ati++++=the
personal ^jj++++=personal
and ^cc++++=and
the ^ati++++=the
political ^jj++++=political,
, ^zz++++=EXTRAWORD
the ^ati++++=the
psychic ^jj++++=psychic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
societal ^nn+++??+=societal
in ^in++++=in
life ^nn++++=life
situations ^nns++++=situations
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
damaging ^vbg+++xvbgx+=damaging
but ^cc++++=but
rendered ^jj+++xvbn+=rendered
normal ^jj++++=normal
( ^zz++++=(or
or ^cc++++=EXTRAWORD
typical ^jj++++=typical)
) ^zz++++=EXTRAWORD
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
escalating ^nn+++??+=escalating
workloads ^nns+++??+=workloads,
, ^zz++++=EXTRAWORD
lack ^nn++++=lack
of ^in++++=of
affordable ^nn+++??+=affordable
childcare ^nn+++??+=childcare,
, ^zz++++=EXTRAWORD
gender ^nn++++=gender-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
discrimination ^nn++++=discrimination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Too ^ql++++=Too
much ^ap++++=much
accommodation ^nn++++=accommodation,
, ^zz++++=EXTRAWORD
adjustment ^nn++++=adjustment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
submission ^nn++++=submission
to ^in++++=to
institutional ^jj+atrb+++=institutional
structures ^nns++++=structures
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
cause ^nn++++=cause
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
burn ^vb++++=burn-out,
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
classical ^jj+atrb+++=classical
approaches ^nns++++=approaches
to ^in++++=to
psychotherapy ^nn++++=psychotherapy
might ^md+pos+++=might
focus ^vb++++=focus
upon ^in++++=upon
strengthening ^xvbg+++xvbg+=strengthening
a ^at++++=a
client ^nn++++=client
s ^zz++++=s
ego ^nn++++=ego-defenses
- ^zz++++=EXTRAWORD
defenses ^nns+++??+=EXTRAWORD
( ^zz++++=(to
to ^to++++=EXTRAWORD
cope ^vbi++++=cope
