Having ^vbg+hvg++xvbg+=Having
timely ^jj+atrb+++=timely
notifications ^nns++++=notifications
also ^rb++++=also
improved ^jj+++xvbn+=improved
Fps ^np+++??+=FPs
relationships ^nns++++=relationships
with ^in++++=with
their ^pp$+pp3+++=their
patients ^nns++++=patients:
: ^zz++++=EXTRAWORD
[ ^zz++++=[It]
it ^pp3+it+++=EXTRAWORD
] ^zz++++=EXTRAWORD
allows ^vbz++++=allows
me ^pp1o+pp1+++=me
to ^to++++=to
have ^vbi++vrb++=have
a ^at++++=a
better ^nn++++=better
follow ^vb+vprv+++=follow
up ^rp++++=up
appointment ^nn++++=appointment.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
it ^pp3+it+++=it
looks ^vbz++++=looks
really ^rb+emph+++=really
bad ^jj++++=bad
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
show ^vb+vprv+++=show
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
office ^nn++++=office
and ^cc++++=and
you ^pp2+pp2+++=you
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
know ^vb+vprv+tht0++=know
we ^pp1a+pp1+++=we
might ^md+pos+++=might
not ^xnot++not++=not
be ^vb+be+aux++=be
involved ^vpsv++agls+xvbnx+=involved
in ^in++++=in
hospital ^npl++++=hospital
care ^nn++++=care,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
feel ^vb+vprv+++=feel
more ^rbr++++=more
comfortable ^jj++++=comfortable
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are.
. ^zz++++=EXTRAWORD
it ^pp3+it+++=It
helps ^vbz++++=helps
build ^vb++++=build
the ^ati++++=the
relationship ^nn++++=relationship.
. ^zz++++=EXTRAWORD
