Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
existing ^jj+atrb++xvbg+=existing
studies ^nns++++=studies
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
responding ^vbg+++xvbg+=responding
to ^in++++=to
pandemics ^nns+++??+=pandemics,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
is ^vbz+bez+aux++=is
differentiated ^vpsv++by+xvbnx+=differentiated
by ^in++++=by
geographic ^nn+++??+=geographic
regions ^nns++++=regions
( ^zz++++=(
Laestadius ^np++++=Laestadius
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=),
, ^zz++++=EXTRAWORD
risk ^vb++++=risk
perception ^nn++++=perception
and ^cc++++=and
fear ^vb++++=fear
( ^zz++++=(
Fetzer ^np++++=Fetzer
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020
; ^zz++++=;
Parikh ^np+++??+=Parikh
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=),
, ^zz++++=EXTRAWORD
socioeconomic ^nn+++??+=socioeconomic
conditions ^nns++++=conditions
( ^zz++++=(
Mackworth ^np++++=Mackworth-Young
- ^zz++++=EXTRAWORD
young ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020
; ^zz++++=;
Ranscombe ^np+++??+=Ranscombe
2020 ^cd++++=2020
; ^zz++++=;
Shah ^npt++++=Shah
2020 ^cd++++=2020
) ^zz++++=),
, ^zz++++=EXTRAWORD
trust ^vb+vprv+++=trust
in ^in++++=in
authorities ^nns++++=authorities,
, ^zz++++=EXTRAWORD
including ^in++++=including
health ^nn++++=health
professionals ^nns++++=professionals
( ^zz++++=(
Parikh ^np++++=Parikh
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=),
, ^zz++++=EXTRAWORD
health ^nn++++=health
beliefs ^nns++++=beliefs
( ^zz++++=(
Renner ^np++++=Renner
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008
) ^zz++++=)
and ^cc++++=and
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
accurate ^jj+atrb+++=accurate
and ^cc+phrs+++=and
reliable ^jj+atrb+++=reliable
information ^nn++++=information
( ^zz++++=(
Who ^whp+np+++=WHO
2020a ^cd++++=2020a
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
in ^in++++=in
general ^jj++++=general,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rural ^jj+atrb+++=rural
communities ^nns++++=communities,
, ^zz++++=EXTRAWORD
in ^in++++=in
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
high ^jj+atrb+++=high
misconception ^nn+++??+=misconception
about ^in++++=about
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
( ^zz++++=(
Asare ^np++++=Asare-Nuamah
- ^zz++++=EXTRAWORD
nuamah ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
N.d ^np+++??+=N.d
. ^zz++++=.),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
affect ^vb++++=affect
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
a ^at++++=a
dearth ^nn++++=dearth
of ^in++++=of
literature ^nn++++=literature
on ^in++++=on
the ^ati++++=the
factors ^nns++++=factors
influencing ^vwbg+++xvbg+=influencing
adherence ^nn++++=adherence
to ^in++++=to
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
response ^nn++++=response
strategies ^nns+++??+=strategies
in ^in++++=in
Africa ^np++++=Africa
in ^in++++=in
general ^jj++++=general
and ^cc++++=and
Ghana ^np++++=Ghana,
, ^zz++++=EXTRAWORD
Cameroon ^np+++??+=Cameroon,
, ^zz++++=EXTRAWORD
Uganda ^np++++=Uganda
and ^cc++++=and
Lesotho ^np+++??+=Lesotho
in ^in++++=in
particular ^nn++++=particular.
. ^zz++++=EXTRAWORD
With ^in++++=With
Africa ^np++++=Africa
being ^vwbg+beg++xvbg+=being
highly ^rb+amp+++=highly
vulnerable ^jj++++=vulnerable
to ^in++++=to
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
coupled ^j+++xvbn+=coupled
with ^in++++=with
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
variants ^nns++++=variants
in ^in++++=in
the ^ati++++=the
continent ^nn++++=continent,
, ^zz++++=EXTRAWORD
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
understand ^vb+vprv+++=understand
the ^ati++++=the
factors ^nns++++=factors
that ^tht+rel+obj++=that
shape ^nn++++=shape
people ^nns++++=people
s ^zz++++=s
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
pandemic ^nn+++??+=pandemic
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
essential ^nn++++=essential,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
contributing ^jj+++xvbg+=contributing
to ^to++++=to
achieving ^vbg+++xvbg+=achieving
the ^ati++++=the
dual ^jj+atrb+++=dual
goal ^nn++++=goal
of ^in++++=of
minimizing ^xvbg+++xvbg+=minimizing
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic
and ^cc++++=and
lessening ^nvbg+++xvbg+=lessening
its ^pp$+it+++=its
impact ^nn++++=impact
on ^in++++=on
society ^nn++++=society.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
s ^zz++++=s
overarching ^nn+++??+=overarching
objective ^jj++++=objective
is ^vbz+bez+vrb++=is
therefore ^rb+cnj+++=therefore
to ^to++++=to
fill ^vbi++++=fill
the ^ati++++=the
identified ^jj+atrb++xvbn+=identified
gap ^nn++++=gap
by ^in++++=by
exploring ^xvbg+++xvbg+=exploring
the ^ati++++=the
determinants ^nns++++=determinants
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
response ^nn++++=response
strategies ^nns+++??+=strategies
in ^in++++=in
selected ^jj+atrb++xvbn+=selected
African ^jj+atrb+++=African
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
underlying ^jj+atrb++xvbg+=underlying
question ^nn++++=question,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
posed ^vpsv++agls+xvbnx+=posed:
: ^zz++++=EXTRAWORD
What ^wdt+who+++=What
factors ^nns++++=factors
drive ^nn++++=drive
response ^nn++++=response
to ^in++++=to
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
selected ^jj+atrb++xvbn+=selected
African ^jj+atrb+++=African
countries ^nns++++=countries?
? ^zz++++=EXTRAWORD
The ^ati++++=The
significance ^nn++++=significance
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
lies ^vbz++++=lies
in ^in++++=in
its ^pp$+it+++=its
contribution ^nn++++=contribution
to ^in++++=to
policies ^nns++++=policies
and ^cc++++=and
practice ^nn++++=practice
that ^tht+rel+obj++=that
minimize ^nn+++??+=minimize
the ^ati++++=the
spread ^nn+++xvbn+=spread
and ^cc++++=and
impact ^nn++++=impact
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic
in ^in++++=in
the ^ati++++=the
selected ^jj+atrb++xvbn+=selected
African ^jj+atrb+++=African
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
in ^in++++=in
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
in ^in++++=in
general ^jj++++=general,
, ^zz++++=EXTRAWORD
by ^in++++=by
offering ^xvbg+++xvbg+=offering
a ^at++++=a
better ^jjr++++=better
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
socioeconomic ^nn+++??+=socioeconomic,
, ^zz++++=EXTRAWORD
demographic ^jj+atrb+++=demographic
and ^cc+phrs+++=and
environmental ^jj+atrb+++=environmental
factors ^nns++++=factors
the ^ati++++=the
shape ^nn++++=shape
people ^nns++++=people
s ^zz++++=s
response ^nn++++=response
to ^to++++=to
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
